index,Sample,Trial,Time,Primary,Secondary
1,steel,2,0.00938,0.0006592,0.00069854
2,steel,2,0.10067,0.00065906,0.00069864
3,steel,2,0.2007,0.00065902,0.00069866
4,steel,2,0.3007,0.000659,0.0006986
5,steel,2,0.40066,0.00065908,0.00069858
6,steel,2,0.5007,0.00065918,0.0006985
7,steel,2,0.60066,0.00065916,0.00069848
8,steel,2,0.70066,0.00065916,0.0006985
9,steel,2,0.80066,0.00065914,0.00069852
10,steel,2,0.90066,0.00065908,0.00069846
11,steel,2,1.0007,0.00065908,0.00069858
12,steel,2,1.1007,0.0006591,0.00069856
13,steel,2,1.2007,0.0006591,0.00069854
14,steel,2,1.30066,0.00065906,0.0006985
15,steel,2,1.40066,0.000659,0.00069848
16,steel,2,1.50066,0.000659,0.0006985
17,steel,2,1.6007,0.00065902,0.00069852
18,steel,2,1.7007,0.00065906,0.00069848
19,steel,2,1.8007,0.000659,0.00069852
20,steel,2,1.9007,0.00065896,0.0006985
21,steel,2,2.0007,0.00065898,0.00069848
22,steel,2,2.10066,0.00065898,0.0006985
23,steel,2,2.2007,0.00065898,0.0006985
24,steel,2,2.30066,0.00065898,0.00069852
25,steel,2,2.40066,0.00065898,0.00069852
26,steel,2,2.50066,0.00065894,0.00069852
27,steel,2,2.60066,0.0006589,0.0006985
28,steel,2,2.70066,0.00065882,0.00069852
29,steel,2,2.80066,0.00065884,0.00069854
30,steel,2,2.9007,0.00065882,0.00069852
31,steel,2,3.0007,0.00065886,0.00069856
32,steel,2,3.1007,0.00065884,0.00069856
33,steel,2,3.20071,0.0006588,0.00069854
34,steel,2,3.30066,0.00065878,0.00069858
35,steel,2,3.40066,0.00065874,0.00069864
36,steel,2,3.50067,0.00065872,0.00069852
37,steel,2,3.6007,0.00065788,0.0006982
38,steel,2,3.7007,0.0006553,0.00069822
39,steel,2,3.8007,0.00065388,0.00069828
40,steel,2,3.90066,0.00065302,0.00069828
41,steel,2,4.0007,0.0006524,0.00069828
42,steel,2,4.1007,0.00065196,0.00069826
