DATE,RH_percent,Run_no,Material,k,Mass,Volume,rho,cp,Trial,Material_T0_C,Sensor_T0_C,Timestamp,Valid
2026/06/24,43-44,1,carbon,8.5,1,1,2300,717,1,40.3,24.4,15:48:27,FALSE
2026/06/24,43-44,2,carbon,8.5,1,1,2300,717,2,37.9,23.9,15:52:50,FALSE
2026/06/24,43-44,3,carbon,8.5,1,1,2300,717,1,40.4,24.7,16:13:36,TRUE
2026/06/24,43-44,4,carbon,8.5,1,1,2300,717,2,40.2,24.6,16:16:19,TRUE
2026/06/24,43-44,5,carbon,8.5,1,1,2300,717,3,39.9,24.5,16:18:27,TRUE
2026/06/24,43-44,6,gypsum,0.17,1,1,2300,1090,1,40,24.6,16:21:01,TRUE
2026/06/24,43-44,7,gypsum,0.17,1,1,2300,1090,2,39.9,24.8,16:23:10,TRUE
2026/06/24,43-44,8,gypsum,0.17,1,1,2300,1090,3,39.9,24.4,16:25:33,TRUE
2026/06/24,43-44,9,cement,1.73,1,1,2700,880,1,39.8,24.5,16:27:25,TRUE
2026/06/24,43-44,10,cement,1.73,1,1,2700,880,2,39.9,24.8,16:28:49,TRUE
2026/06/24,43-44,11,cement,1.73,1,1,2700,880,3,39.9,24.7,16:30:25,TRUE
2026/06/24,43-44,12,wood,0.1,1,1,650,1700,1,40.3,24.4,16:33:26,TRUE
2026/06/24,43-44,13,wood,0.1,1,1,650,1700,2,40.3,24.4,16:35:28,TRUE
2026/06/24,43-44,14,wood,0.1,1,1,650,1700,3,40.1,24.5,16:37:22,TRUE
2026/06/24,43-44,21,PS foam,0.034,1,1,30,1400,1,40.3,24.7,16:52:47,TRUE
2026/06/24,43-44,22,PS foam,0.034,1,1,30,1400,2,40.2,24.8,16:54:44,TRUE
2026/06/24,43-44,23,PS foam,0.034,1,1,30,1400,3,40.3,24.8,16:56:21,TRUE
2026/06/24,43-44,24,PU foam,0.043,1,1,30,1400,1,40,24.7,16:59:05,TRUE
2026/06/24,43-44,25,PU foam,0.043,1,1,30,1400,2,40.2,24.9,17:00:40,TRUE
2026/06/24,43-44,26,PU foam,0.043,1,1,30,1400,3,40.1,24.9,17:02:15,TRUE
2026/06/24,43-44,27,cork fine,0.043,1,1,240,2000,1,40,24.8,17:04:26,TRUE
2026/06/24,43-44,28,cork fine,0.043,1,1,240,2000,2,40.2,24.9,17:05:45,TRUE
2026/06/24,43-44,29,cork fine,0.043,1,1,240,2000,3,40,24.5,17:06:59,TRUE
2026/06/24,43-44,30,PDMS,0.15,1,1,965,1460,1,40.2,24.6,17:12:45,FALSE
2026/06/24,43-44,31,PDMS,0.15,1,1,965,1460,1,40.1,24.4,17:15:07,TRUE
2026/06/24,43-44,32,PDMS,0.15,1,1,965,1460,2,40,24.9,17:17:11,TRUE
2026/06/24,43-44,33,PDMS,0.15,1,1,965,1460,3,40,24.8,17:18:22,TRUE
2026/06/24,43-44,34,bismuth,7.92,1,1,9800,130,1,40,24.5,17:20:25,TRUE
2026/06/24,43-44,35,bismuth,7.92,1,1,9800,130,2,40,24.5,17:22:38,TRUE
2026/06/24,43-44,36,bismuth,7.92,1,1,9800,130,3,39.9,24.8,17:23:49,TRUE
2026/06/24,43-44,37,titanium,21.9,1,1,4500,523,1,40,24.9,17:25:25,TRUE
2026/06/24,43-44,38,titanium,21.9,1,1,4500,523,2,39.9,24.8,17:26:48,TRUE
2026/06/24,43-44,39,titanium,21.9,1,1,4500,523,3,40,24.9,17:28:11,TRUE
2026/06/24,43-44,40,nickel,90.9,1,1,8900,461,1,40.1,24.4,17:30:33,TRUE
2026/06/24,43-44,41,nickel,90.9,1,1,8900,461,2,40.1,24.6,17:33:29,TRUE
2026/06/24,43-44,42,nickel,90.9,1,1,8900,461,3,39.9,25,17:35:02,TRUE
2026/06/24,43-44,43,iron,77.5,1,1,7860,449,1,39.9,25,17:36:53,TRUE
2026/06/24,43-44,44,iron,77.5,1,1,7860,449,2,39.9,25.1,17:38:06,TRUE
2026/06/24,43-44,45,iron,77.5,1,1,7860,449,3,39.9,25.1,17:39:16,TRUE
2026/06/24,43-44,46,aluminum,215,1,1,2700,897,1,40.1,25,17:41:37,TRUE
2026/06/24,43-44,47,aluminum,215,1,1,2700,897,2,40.1,25,17:42:37,TRUE
2026/06/24,43-44,48,aluminum,215,1,1,2700,897,3,40,25.3,17:43:56,TRUE
2026/06/24,43-44,49,copper,395,1,1,8940,385,1,40.1,25.1,17:45:31,TRUE
2026/06/24,43-44,50,copper,395,1,1,8940,385,2,40,24.9,17:47:36,TRUE
2026/06/24,43-44,51,copper,395,1,1,8940,385,3,39.9,25.4,17:48:51,TRUE
