DATE,Material,Trial,RH_percent,Material_T0_C,Sensor_T0_C,k,Mass,Volume,rho,cp,Run_no,Timestamp,Valid
2026/07/25,PU,1,53,51,24.2,,,,,,1,182234,FALSE
,PU,1,46,50.6,24.3,,,,,,2,182353,FALSE
,PU,2,45,50.3,24.3,,,,,,3,182538,FALSE
,PU,3,44,50.2,24.1,,,,,,4,182801,FALSE
,PS,1,43,50,24.3,,,,,,5,182943,FALSE
,PS,1,44,50.2,24.3,,,,,,6,183058,FALSE
,PS,1,46,50.2,24.7,,,,,,7,183213,FALSE
,TEST,1,0,0,0,,,,,,8,183340,FALSE
,PS,2,48,50.3,24.4,,,,,,9,183503,FALSE
,PS,3,49,50.4,24.6,,,,,,10,183655,FALSE
,cork,1,50,50.4,24.6,,,,,,11,184112,FALSE
,cork,2,51,50.5,24.8,,,,,,12,184213,FALSE
,cork,3,51,50.4,24.8,,,,,,13,184330,FALSE
,wood,1,52,50.6,24.7,,,,,,14,184516,FALSE
,wood,2,53,50.3,24.6,,,,,,15,184643,FALSE
,wood,3,53,50.4,24.7,,,,,,16,184748,FALSE
,PDMS,1,53,50.5,24.6,,,,,,17,184910,FALSE
,PDMS,2,54,50.7,24.9,,,,,,18,185013,FALSE
,PDMS,3,54,50.7,24.3,,,,,,19,185132,FALSE
,PDMS,3,54,50.4,24.4,,,,,,20,185221,FALSE
,gypsum,1,54,50.7,25,,,,,,21,185400,FALSE
,gypsum,2,55,50.9,25.1,,,,,,22,185957,FALSE
,gypsum,3,55,50.8,25.6,,,,,,23,190122,FALSE
,cement,1,55,50.7,25.5,,,,,,24,190251,FALSE
,cement,2,55,50.8,25.7,,,,,,25,190401,FALSE
,cement,3,55,50.8,25.9,,,,,,26,190524,FALSE
,graphite,1,55,50.7,24.3,,,,,,27,191020,FALSE
,graphite,2,55,0,0,,,,,,28,191131,FALSE
,graphite,2,54,50.9,25.3,,,,,,29,191238,FALSE
,graphite,3,54,50.6,25.8,,,,,,30,191336,FALSE
,Bi,1,54,50.9,25.3,,,,,,31,191627,TRUE
,Bi,2,54,50.6,25.4,,,,,,32,191730,TRUE
,Bi,3,54,50.8,25.9,,,,,,33,191830,TRUE
,Ti,1,54,50.8,25.5,,,,,,34,192205,TRUE
,Ti,2,54,50.9,25.8,,,,,,35,192324,TRUE
,Ti,3,54,50.9,26.4,,,,,,36,192450,FALSE
,Ti,3,54,50.9,26.4,,,,,,37,192540,TRUE
,Ni,1,54,50.8,25.6,,,,,,38,192929,TRUE
,Ni,2,54,50.6,26,,,,,,39,193025,FALSE
,Ni,2,54,50.6,26,,,,,,40,193103,TRUE
,Ni,3,54,50.8,26.7,,,,,,41,193347,TRUE
,Fe,1,54,50.8,26.2,,,,,,42,193509,TRUE
,Fe,2,54,50.9,25.3,,,,,,43,193714,TRUE
,Fe,3,53,50.9,25.9,,,,,,44,193820,TRUE
,Al,1,53,51,25.9,,,,,,45,194015,TRUE
,Al,2,53,51.1,26.1,,,,,,46,194121,TRUE
,Al,3,53,50.8,26.4,,,,,,47,194217,TRUE
,Cu,1,53,50.1,26.1,,,,,,48,194409,TRUE
,Cu,2,53,50.8,26.1,,,,,,49,194505,TRUE
,Cu,3,53,50.8,26,,,,,,50,194603,FALSE
,Cu,3,53,50.8,26,,,,,,51,194639,FALSE
,Cu,3,53,50.9,26.2,,,,,,52,194755,TRUE
,Bi,4,53,50.8,26.1,,,,,,53,195014,TRUE
,Bi,5,53,50.8,26,,,,,,54,195225,TRUE
,Bi,6,53,50.8,26.4,,,,,,55,195330,TRUE
,Ti,4,53,51.1,26.1,,,,,,56,195615,TRUE
,Ti,5,53,50.9,26.2,,,,,,57,195730,TRUE
,Ti,6,53,50.8,26.6,,,,,,58,195828,TRUE
,Ni,4,53,50.9,25.9,,,,,,59,200007,TRUE
,Ni,5,53,50.8,26.2,,,,,,60,200124,TRUE
,Ni,6,53,50.9,26.4,,,,,,61,200223,TRUE
,Fe,4,53,50.8,25.9,,,,,,62,200420,TRUE
,Fe,5,53,50.9,26.4,,,,,,63,200519,TRUE
,Fe,6,53,51,26.4,,,,,,64,200620,TRUE
,Al,4,53,50.8,25.9,,,,,,65,200740,TRUE
,Al,5,53,50.8,26.4,,,,,,66,200836,TRUE
,Al,6,53,50.9,26.3,,,,,,67,200941,TRUE
,Cu,4,53,50.7,26.1,,,,,,68,201106,TRUE
,Cu,5,53,50.8,26.7,,,,,,69,201208,TRUE
,Cu,6,53,50.9,26.2,,,,,,70,201332,TRUE
,PU,1,52,51.1,26.1,,,,,,71,201938,TRUE
,PU,2,52,51,26.4,,,,,,72,202055,TRUE
,PU,3,52,51.1,26.1,,,,,,73,202250,TRUE
,PU,4,53,50.7,26.4,,,,,,74,202425,TRUE
,PU,5,53,50.8,26.3,,,,,,75,202525,TRUE
,PU,6,53,50.9,26.5,,,,,,76,202630,TRUE
,PS,1,52,50.9,26.3,,,,,,77,202744,TRUE
,PS,2,53,50.9,26.6,,,,,,78,202856,TRUE
