DATE,Material,k,Mass,Volume,rho,cp,Trial,RH_percent,Material_T0_C,Sensor_T0_C,Run_no,Timestamp,Valid
2026/07/27,PS,,,,,,1,49,31.3,25.4,1,234541,TRUE
2026/07/27,PS,,,,,,2,49,30.9,25.6,2,234644,TRUE
2026/07/27,PS,,,,,,3,49,30.8,25.3,3,234741,TRUE
2026/07/27,PS,,,,,,4,49,30.8,25.3,4,234921,TRUE
2026/07/27,PS,,,,,,5,48,30.7,25.4,5,235129,TRUE
2026/07/27,PS,,,,,,6,48,30.6,25.3,6,235223,TRUE
2026/07/27,PU,,,,,,1,48,30.5,25.3,7,235347,TRUE
2026/07/27,PU,,,,,,2,48,30.6,25.3,8,235505,TRUE
2026/07/27,PU,,,,,,3,48,30.5,25.4,9,235612,TRUE
2026/07/27,PU,,,,,,4,48,30.6,25.3,10,235708,TRUE
2026/07/27,PU,,,,,,5,48,30.6,25.5,11,235808,TRUE
2026/07/27,PU,,,,,,6,48,30.4,25.2,12,235908,TRUE
2026/07/27,cork,,,,,,1,48,31.1,25.8,13,1040,TRUE
2026/07/27,cork,,,,,,2,48,31,25.8,14,1152,TRUE
2026/07/27,cork,,,,,,3,47,30.9,25.3,15,1310,TRUE
2026/07/27,cork,,,,,,4,46,30.6,25.3,16,1539,TRUE
2026/07/27,cork,,,,,,5,46,30.8,25.6,17,1638,TRUE
2026/07/27,cork,,,,,,6,47,30.8,25.3,18,1743,TRUE
2026/07/27,wood,,,,,,1,47,30.8,25.3,19,1955,TRUE
2026/07/27,wood,,,,,,2,48,30.8,25.3,20,2046,TRUE
2026/07/27,wood,,,,,,3,48,30.8,25.7,21,2238,TRUE
2026/07/27,wood,,,,,,4,48,30.7,25.1,22,2353,TRUE
2026/07/27,wood,,,,,,5,49,30.6,25.3,23,2455,TRUE
2026/07/27,wood,,,,,,6,48,30.6,25.2,24,2602,TRUE
2026/07/27,PDMS,,,,,,1,48,30.4,25.3,25,2734,TRUE
2026/07/27,PDMS,,,,,,2,49,30.5,25.1,26,2854,TRUE
2026/07/27,PDMS,,,,,,3,49,30.4,25.4,27,2951,TRUE
2026/07/27,PDMS,,,,,,4,48,30.4,25,28,3059,TRUE
2026/07/27,PDMS,,,,,,5,48,30.4,25.2,29,10348,TRUE
2026/07/27,PDMS,,,,,,6,48,30.6,25.1,30,10510,TRUE
2026/07/27,gypsum,,,,,,1,48,30.4,25.2,31,10727,TRUE
2026/07/27,gypsum,,,,,,2,48,30.4,25.4,32,10825,TRUE
2026/07/27,gypsum,,,,,,3,48,30.5,25.4,33,10926,TRUE
2026/07/27,gypsum,,,,,,4,48,30.4,25.3,34,11025,TRUE
2026/07/27,gypsum,,,,,,5,48,30.5,25.2,35,11145,TRUE
2026/07/27,gypsum,,,,,,6,48,30.4,25.3,36,11239,TRUE
2026/07/27,cement,,,,,,1,48,30.7,25.4,37,11537,TRUE
2026/07/27,cement,,,,,,2,48,30.5,25.4,38,11715,TRUE
2026/07/27,cement,,,,,,3,49,30.5,25.3,39,11825,TRUE
2026/07/27,cement,,,,,,4,49,30.5,25.2,40,11927,TRUE
2026/07/27,cement,,,,,,5,48,30.4,25.2,41,12028,TRUE
2026/07/27,cement,,,,,,6,48,30.1,25.3,42,12138,TRUE
2026/07/27,graphite,,,,,,1,48,30.5,25.2,43,12422,TRUE
2026/07/27,graphite,,,,,,2,48,30.2,25.2,44,12534,TRUE
2026/07/27,graphite,,,,,,3,48,30.2,25.3,45,12628,TRUE
2026/07/27,graphite,,,,,,4,48,30.2,25.2,46,12731,TRUE
2026/07/27,graphite,,,,,,5,48,30.3,25.2,47,12825,TRUE
