index,Sample,Trial,Time,Primary,Secondary
1,metal,1,0.00939,0.0006598,0.0006991
2,metal,1,0.10066,0.0006597,0.0006991
3,metal,1,0.2007,0.0006597,0.00069908
4,metal,1,0.3007,0.00065968,0.00069906
5,metal,1,0.4007,0.00065966,0.00069906
6,metal,1,0.50066,0.00065966,0.00069904
7,metal,1,0.60066,0.00065966,0.00069904
8,metal,1,0.70066,0.00065966,0.00069902
9,metal,1,0.8007,0.00065964,0.000699
10,metal,1,0.90066,0.00065964,0.000699
11,metal,1,1.00066,0.0006596,0.00069902
12,metal,1,1.1007,0.00065966,0.00069902
13,metal,1,1.2007,0.00065962,0.00069902
14,metal,1,1.30066,0.00065964,0.00069902
15,metal,1,1.40066,0.00065964,0.00069908
16,metal,1,1.5007,0.00065966,0.00069902
17,metal,1,1.6007,0.00065964,0.00069904
18,metal,1,1.7007,0.0006596,0.00069898
19,metal,1,1.8007,0.0006596,0.00069906
20,metal,1,1.9007,0.0006596,0.0006991
21,metal,1,2.00066,0.00065962,0.00069898
22,metal,1,2.10066,0.00065964,0.00069914
23,metal,1,2.20066,0.00065958,0.00069908
24,metal,1,2.30066,0.0006595,0.00069906
25,metal,1,2.40066,0.00065944,0.00069906
26,metal,1,2.50066,0.00065922,0.00069914
27,metal,1,2.60066,0.00065934,0.00069918
28,metal,1,2.7007,0.0006593,0.00069914
29,metal,1,2.8007,0.0006592,0.00069916
30,metal,1,2.90066,0.00065922,0.00069916
31,metal,1,3.0007,0.00065914,0.00069918
32,metal,1,3.10066,0.00065908,0.00069914
33,metal,1,3.2007,0.00065882,0.00069908
34,metal,1,3.30066,0.00065742,0.00069886
35,metal,1,3.4007,0.0006557,0.00069888
36,metal,1,3.5007,0.0006545,0.00069892
37,metal,1,3.6007,0.0006536,0.00069892
38,metal,1,3.7007,0.00065296,0.00069894
39,metal,1,3.80066,0.0006524,0.00069892
40,metal,1,3.90066,0.000652,0.00069888
41,metal,1,4.0007,0.00065164,0.00069888
42,metal,1,4.10066,0.00065136,0.00069882
43,metal,1,4.2007,0.0006511,0.0006988
44,metal,1,4.3007,0.0006509,0.0006987
45,metal,1,4.40066,0.00065072,0.00069864
46,metal,1,4.50066,0.00065054,0.00069856
47,metal,1,4.6007,0.00065036,0.0006985
48,metal,1,4.7007,0.00065026,0.00069838
49,metal,1,4.80066,0.0006501,0.00069826
50,metal,1,4.90066,0.00065,0.00069816
51,metal,1,5.0007,0.0006499,0.00069806
52,metal,1,5.1007,0.0006498,0.00069792
53,metal,1,5.20066,0.0006497,0.00069778
54,metal,1,5.30066,0.00064964,0.00069764
55,metal,1,5.4007,0.00064956,0.00069752
56,metal,1,5.5007,0.00064946,0.00069736
57,metal,1,5.60066,0.0006494,0.00069722
58,metal,1,5.70066,0.00064936,0.00069708
59,metal,1,5.80066,0.0006493,0.00069692
60,metal,1,5.90066,0.00064922,0.0006968
61,metal,1,6.00066,0.00064918,0.00069664
62,metal,1,6.1007,0.00064912,0.00069652
63,metal,1,6.2007,0.00064908,0.00069636
64,metal,1,6.30066,0.000649,0.0006962
65,metal,1,6.40066,0.00064898,0.00069608
66,metal,1,6.50066,0.00064892,0.00069596
67,metal,1,6.6007,0.0006489,0.00069582
68,metal,1,6.70066,0.00064892,0.00069568
69,metal,1,6.8007,0.00064884,0.00069556
70,metal,1,6.9007,0.00064878,0.0006954
71,metal,1,7.0007,0.00064876,0.00069526
72,metal,1,7.1007,0.00064872,0.00069514
73,metal,1,7.2007,0.0006487,0.00069502
74,metal,1,7.30066,0.00064864,0.00069486
75,metal,1,7.4007,0.0006486,0.00069478
76,metal,1,7.5007,0.0006486,0.00069464
77,metal,1,7.6007,0.00064856,0.00069454
78,metal,1,7.7007,0.00064854,0.0006944
79,metal,1,7.8007,0.0006485,0.0006943
80,metal,1,7.90066,0.00064844,0.00069416
81,metal,1,8.00066,0.00064844,0.00069406
82,metal,1,8.10066,0.0006484,0.00069392
83,metal,1,8.2007,0.00064836,0.00069384
84,metal,1,8.30066,0.00064836,0.00069374
85,metal,1,8.4007,0.00064832,0.00069362
86,metal,1,8.5007,0.0006483,0.00069348
87,metal,1,8.60066,0.00064828,0.0006934
88,metal,1,8.70066,0.00064826,0.00069328
89,metal,1,8.80066,0.00064822,0.00069318
90,metal,1,8.90066,0.0006482,0.00069306
91,metal,1,9.00066,0.00064816,0.00069298
92,metal,1,9.10066,0.00064812,0.00069286
93,metal,1,9.2007,0.00064812,0.00069278
94,metal,1,9.30066,0.00064808,0.00069268
95,metal,1,9.40066,0.00064806,0.0006926
96,metal,1,9.5007,0.00064804,0.00069248
97,metal,1,9.6007,0.00064804,0.0006924
98,metal,1,9.70066,0.00064802,0.00069232
99,metal,1,9.8007,0.00064804,0.00069224
100,metal,1,9.90066,0.00064796,0.00069214
101,metal,1,10.0007,0.00064796,0.00069204
102,metal,1,10.1007,0.00064794,0.00069196
103,metal,1,10.2007,0.00064792,0.0006919
104,metal,1,10.30066,0.0006479,0.0006918
105,metal,1,10.4007,0.00064786,0.00069176
106,metal,1,10.50066,0.00064784,0.00069168
107,metal,1,10.60066,0.00064784,0.00069158
108,metal,1,10.70066,0.00064782,0.0006915
109,metal,1,10.8007,0.00064778,0.00069144
110,metal,1,10.90067,0.00064778,0.00069136
111,metal,1,11.0007,0.00064778,0.0006913
112,metal,1,11.1007,0.00064774,0.00069124
