index,Sample,Trial,Time,Primary,Secondary
1,Corkboard,2,0.00926,0.00065976,0.00069942
2,Corkboard,2,0.1007,0.00065958,0.00069936
3,Corkboard,2,0.2007,0.00065952,0.00069934
4,Corkboard,2,0.30066,0.00065958,0.0006994
5,Corkboard,2,0.4007,0.00065956,0.0006994
6,Corkboard,2,0.50066,0.00065942,0.0006993
7,Corkboard,2,0.60066,0.0006594,0.00069926
8,Corkboard,2,0.7007,0.0006595,0.00069916
9,Corkboard,2,0.80066,0.00065956,0.00069918
10,Corkboard,2,0.90066,0.00065956,0.0006992
11,Corkboard,2,1.0007,0.00065956,0.0006992
12,Corkboard,2,1.1007,0.0006596,0.00069918
13,Corkboard,2,1.2007,0.00065964,0.00069914
14,Corkboard,2,1.30066,0.0006596,0.0006991
15,Corkboard,2,1.40066,0.00065938,0.00069908
16,Corkboard,2,1.5007,0.0006594,0.00069902
17,Corkboard,2,1.60066,0.00065938,0.000699
18,Corkboard,2,1.7007,0.00065934,0.00069898
19,Corkboard,2,1.80066,0.00065938,0.00069896
20,Corkboard,2,1.90066,0.00065932,0.00069892
21,Corkboard,2,2.00066,0.00065932,0.00069888
22,Corkboard,2,2.10066,0.00065934,0.00069894
23,Corkboard,2,2.2007,0.00065934,0.00069894
24,Corkboard,2,2.3007,0.00065934,0.00069894
25,Corkboard,2,2.4007,0.0006593,0.00069898
26,Corkboard,2,2.50066,0.00065938,0.000699
27,Corkboard,2,2.6007,0.0006594,0.000699
28,Corkboard,2,2.7007,0.00065936,0.000699
29,Corkboard,2,2.80066,0.00065936,0.00069902
30,Corkboard,2,2.90066,0.00065938,0.000699
31,Corkboard,2,3.00067,0.00065938,0.000699
32,Corkboard,2,3.10066,0.00065938,0.000699
33,Corkboard,2,3.2007,0.00065942,0.000699
34,Corkboard,2,3.30066,0.0006594,0.00069902
35,Corkboard,2,3.4007,0.0006594,0.00069904
36,Corkboard,2,3.5007,0.00065938,0.00069902
37,Corkboard,2,3.60066,0.00065944,0.00069902
38,Corkboard,2,3.7007,0.0006595,0.00069906
39,Corkboard,2,3.80066,0.0006595,0.00069906
40,Corkboard,2,3.90066,0.00065942,0.00069908
41,Corkboard,2,4.00066,0.00065936,0.00069908
42,Corkboard,2,4.1007,0.00065932,0.00069904
43,Corkboard,2,4.20066,0.0006593,0.00069892
44,Corkboard,2,4.30066,0.00065936,0.00069896
45,Corkboard,2,4.4007,0.0006594,0.00069896
46,Corkboard,2,4.50066,0.00065944,0.00069896
47,Corkboard,2,4.6007,0.00065944,0.00069894
48,Corkboard,2,4.70066,0.00065948,0.00069898
49,Corkboard,2,4.8007,0.00065936,0.00069856
50,Corkboard,2,4.90066,0.00065924,0.00069822
51,Corkboard,2,5.00066,0.00065912,0.0006984
52,Corkboard,2,5.10066,0.00065898,0.00069856
53,Corkboard,2,5.2007,0.00065888,0.00069868
54,Corkboard,2,5.3007,0.00065882,0.00069872
55,Corkboard,2,5.4007,0.0006588,0.0006987
56,Corkboard,2,5.5007,0.00065874,0.00069866
57,Corkboard,2,5.60066,0.00065876,0.0006987
58,Corkboard,2,5.70066,0.00065876,0.0006987
59,Corkboard,2,5.8007,0.00065872,0.00069866
60,Corkboard,2,5.9007,0.0006587,0.0006987
61,Corkboard,2,6.0007,0.00065866,0.00069864
62,Corkboard,2,6.10066,0.00065864,0.00069866
63,Corkboard,2,6.20066,0.00065864,0.0006987
64,Corkboard,2,6.3007,0.00065862,0.0006987
65,Corkboard,2,6.4007,0.00065862,0.0006987
66,Corkboard,2,6.5007,0.00065862,0.00069866
67,Corkboard,2,6.6007,0.0006586,0.00069864
68,Corkboard,2,6.70066,0.0006586,0.00069866
69,Corkboard,2,6.8007,0.00065856,0.00069862
70,Corkboard,2,6.90066,0.00065858,0.0006986
71,Corkboard,2,7.00066,0.00065854,0.00069858
72,Corkboard,2,7.1007,0.00065854,0.00069856
73,Corkboard,2,7.20066,0.00065854,0.00069856
74,Corkboard,2,7.3007,0.00065854,0.00069856
75,Corkboard,2,7.40066,0.00065852,0.00069852
76,Corkboard,2,7.5007,0.00065852,0.0006985
77,Corkboard,2,7.6007,0.00065852,0.00069848
78,Corkboard,2,7.7007,0.00065852,0.00069846
79,Corkboard,2,7.80066,0.00065852,0.00069844
80,Corkboard,2,7.9007,0.0006585,0.00069842
81,Corkboard,2,8.00066,0.0006585,0.00069838
