index,Sample,Trial,Time,Primary,Secondary
1,glass,2,0.00924,0.00065998,0.00069956
2,glass,2,0.10067,0.00066004,0.00069956
3,glass,2,0.2007,0.00066006,0.00069954
4,glass,2,0.30066,0.00066002,0.00069952
5,glass,2,0.4007,0.00066002,0.00069952
6,glass,2,0.5007,0.00065996,0.0006995
7,glass,2,0.6007,0.00065992,0.00069952
8,glass,2,0.70066,0.00065996,0.0006996
9,glass,2,0.80066,0.00065976,0.00069928
10,glass,2,0.90066,0.0006598,0.00069922
11,glass,2,1.0007,0.00065986,0.00069938
12,glass,2,1.1007,0.0006599,0.00069952
13,glass,2,1.20066,0.00065988,0.00069946
14,glass,2,1.3007,0.00065978,0.00069946
15,glass,2,1.4007,0.00065982,0.00069934
16,glass,2,1.5007,0.00065988,0.0006991
17,glass,2,1.6007,0.0006598,0.00069898
18,glass,2,1.7007,0.0006597,0.00069892
19,glass,2,1.8007,0.00065964,0.00069906
20,glass,2,1.90066,0.00065974,0.0006993
21,glass,2,2.00066,0.0006598,0.00069922
22,glass,2,2.1007,0.00065974,0.00069918
23,glass,2,2.20066,0.00065988,0.00069916
24,glass,2,2.3007,0.00065982,0.00069918
25,glass,2,2.40066,0.00065984,0.00069924
26,glass,2,2.50067,0.0006598,0.00069922
27,glass,2,2.6007,0.00065984,0.00069912
28,glass,2,2.70067,0.0006598,0.0006993
29,glass,2,2.8007,0.0006598,0.00069924
30,glass,2,2.90071,0.00065972,0.00069924
31,glass,2,3.00071,0.00065968,0.00069912
32,glass,2,3.10066,0.00065966,0.00069902
33,glass,2,3.20071,0.00065974,0.00069914
34,glass,2,3.3007,0.00065966,0.00069894
35,glass,2,3.4007,0.0006598,0.00069906
36,glass,2,3.50066,0.0006598,0.00069914
37,glass,2,3.6007,0.00065978,0.00069912
38,glass,2,3.70066,0.0006598,0.00069916
39,glass,2,3.8007,0.00065978,0.00069914
40,glass,2,3.9007,0.0006596,0.000699
41,glass,2,4.0007,0.00065964,0.00069912
42,glass,2,4.10066,0.0006597,0.00069914
43,glass,2,4.20066,0.00065974,0.00069916
44,glass,2,4.30066,0.00065972,0.00069912
45,glass,2,4.40071,0.00065972,0.0006991
46,glass,2,4.5007,0.0006597,0.0006991
47,glass,2,4.6007,0.00065972,0.00069908
48,glass,2,4.7007,0.0006597,0.00069908
49,glass,2,4.80071,0.00065972,0.00069906
50,glass,2,4.90071,0.00065974,0.00069908
51,glass,2,5.0007,0.00065972,0.00069908
