index,Sample,Trial,Time,Primary,Secondary
1,PDMS,2,0.00927,0.00065946,0.00069922
2,PDMS,2,0.10067,0.0006597,0.00069918
3,PDMS,2,0.20066,0.00065968,0.00069916
4,PDMS,2,0.30066,0.00065966,0.00069914
5,PDMS,2,0.4007,0.00065964,0.0006991
6,PDMS,2,0.5007,0.00065966,0.0006991
7,PDMS,2,0.6007,0.00065964,0.0006991
8,PDMS,2,0.7007,0.00065964,0.0006991
9,PDMS,2,0.80066,0.00065964,0.00069908
10,PDMS,2,0.9007,0.00065962,0.00069906
11,PDMS,2,1.0007,0.0006596,0.00069908
12,PDMS,2,1.1007,0.00065962,0.00069908
13,PDMS,2,1.2007,0.0006596,0.00069906
14,PDMS,2,1.30066,0.00065956,0.00069902
15,PDMS,2,1.4007,0.00065958,0.00069898
16,PDMS,2,1.50066,0.00065954,0.00069902
17,PDMS,2,1.60066,0.00065962,0.00069898
18,PDMS,2,1.70066,0.0006596,0.00069898
19,PDMS,2,1.80066,0.00065962,0.0006989
20,PDMS,2,1.90066,0.00065956,0.00069886
21,PDMS,2,2.00066,0.00065956,0.00069892
22,PDMS,2,2.1007,0.00065952,0.00069892
23,PDMS,2,2.2007,0.00065952,0.00069898
24,PDMS,2,2.30066,0.00065956,0.00069886
25,PDMS,2,2.40066,0.00065952,0.00069894
26,PDMS,2,2.5007,0.00065952,0.00069894
27,PDMS,2,2.6007,0.0006595,0.00069892
28,PDMS,2,2.70066,0.00065946,0.00069898
29,PDMS,2,2.80066,0.00065948,0.0006989
30,PDMS,2,2.90066,0.00065946,0.00069892
31,PDMS,2,3.0007,0.0006595,0.00069896
32,PDMS,2,3.1007,0.00065946,0.00069894
33,PDMS,2,3.2007,0.00065938,0.00069888
34,PDMS,2,3.3007,0.00065922,0.00069894
35,PDMS,2,3.4007,0.00065926,0.00069894
36,PDMS,2,3.5007,0.00065926,0.00069892
37,PDMS,2,3.60066,0.0006593,0.00069892
38,PDMS,2,3.7007,0.0006593,0.00069898
39,PDMS,2,3.8007,0.0006593,0.000699
40,PDMS,2,3.90066,0.00065936,0.00069906
41,PDMS,2,4.00066,0.00065934,0.00069898
42,PDMS,2,4.1007,0.00065944,0.0006989
43,PDMS,2,4.2007,0.0006594,0.00069896
44,PDMS,2,4.3007,0.00065938,0.00069892
45,PDMS,2,4.4007,0.00065938,0.0006989
46,PDMS,2,4.50066,0.00065936,0.00069894
47,PDMS,2,4.6007,0.00065936,0.00069894
48,PDMS,2,4.70066,0.00065936,0.00069892
49,PDMS,2,4.80066,0.00065938,0.0006989
50,PDMS,2,4.90066,0.00065938,0.00069892
51,PDMS,2,5.00066,0.00065936,0.00069892
52,PDMS,2,5.10066,0.00065936,0.00069888
53,PDMS,2,5.2007,0.00065934,0.0006989
54,PDMS,2,5.3007,0.00065938,0.00069886
55,PDMS,2,5.4007,0.00065936,0.00069888
56,PDMS,2,5.50066,0.00065936,0.0006989
57,PDMS,2,5.6007,0.00065934,0.00069888
58,PDMS,2,5.7007,0.00065934,0.00069888
59,PDMS,2,5.80066,0.00065934,0.00069886
60,PDMS,2,5.90066,0.00065934,0.0006989
61,PDMS,2,6.0007,0.00065934,0.00069888
62,PDMS,2,6.10066,0.0006593,0.00069886
63,PDMS,2,6.2007,0.00065934,0.00069886
64,PDMS,2,6.30066,0.00065932,0.00069884
65,PDMS,2,6.4007,0.0006593,0.00069884
66,PDMS,2,6.5007,0.0006593,0.0006988
67,PDMS,2,6.6007,0.0006593,0.00069884
