index,Sample,Trial,k,Time,Primary,Secondary
0,cork_fine,3,0.043,0.00937,0.0006603,0.0006982
1,cork_fine,3,0.043,0.1007,0.00066018,0.00069798
2,cork_fine,3,0.043,0.20066,0.0006602,0.00069794
3,cork_fine,3,0.043,0.30066,0.00066016,0.00069792
4,cork_fine,3,0.043,0.40066,0.00066018,0.00069792
5,cork_fine,3,0.043,0.5007,0.00066018,0.00069792
6,cork_fine,3,0.043,0.6007,0.00066016,0.0006979
7,cork_fine,3,0.043,0.70066,0.00066016,0.0006979
8,cork_fine,3,0.043,0.8007,0.00066016,0.0006979
9,cork_fine,3,0.043,0.9006600000000001,0.00066016,0.00069786
10,cork_fine,3,0.043,1.0007,0.00066012,0.00069786
11,cork_fine,3,0.043,1.1007,0.00066014,0.0006979
12,cork_fine,3,0.043,1.20067,0.00066014,0.00069784
13,cork_fine,3,0.043,1.3007000000000002,0.00066012,0.00069784
14,cork_fine,3,0.043,1.40066,0.00066014,0.00069786
15,cork_fine,3,0.043,1.50066,0.00066012,0.00069784
16,cork_fine,3,0.043,1.6007000000000002,0.00066012,0.00069786
17,cork_fine,3,0.043,1.7007,0.00066012,0.00069784
18,cork_fine,3,0.043,1.8006600000000001,0.00066012,0.00069784
19,cork_fine,3,0.043,1.90066,0.00066012,0.00069784
20,cork_fine,3,0.043,2.0007,0.00066012,0.00069782
21,cork_fine,3,0.043,2.1007,0.00066008,0.00069782
22,cork_fine,3,0.043,2.20066,0.00066012,0.0006978
23,cork_fine,3,0.043,2.3007,0.00066012,0.0006978
24,cork_fine,3,0.043,2.4007,0.0006601,0.0006978
25,cork_fine,3,0.043,2.5006600000000003,0.00066012,0.0006978
26,cork_fine,3,0.043,2.6007,0.0006601,0.0006978
27,cork_fine,3,0.043,2.7007000000000003,0.0006601,0.0006978
28,cork_fine,3,0.043,2.8007000000000004,0.0006601,0.0006978
29,cork_fine,3,0.043,2.9007,0.0006601,0.00069782
30,cork_fine,3,0.043,3.0007,0.0006601,0.0006978
31,cork_fine,3,0.043,3.1007,0.00066008,0.0006978
32,cork_fine,3,0.043,3.20066,0.00066008,0.0006978
33,cork_fine,3,0.043,3.30066,0.0006601,0.00069778
34,cork_fine,3,0.043,3.4006700000000003,0.00066008,0.00069778
35,cork_fine,3,0.043,3.5007,0.00066008,0.00069778
36,cork_fine,3,0.043,3.6006600000000004,0.00066008,0.0006978
37,cork_fine,3,0.043,3.7007,0.00066008,0.00069778
38,cork_fine,3,0.043,3.8007,0.00066008,0.00069778
39,cork_fine,3,0.043,3.90066,0.0006601,0.00069776
40,cork_fine,3,0.043,4.000660000000001,0.00066008,0.00069776
41,cork_fine,3,0.043,4.10067,0.00066008,0.00069776
42,cork_fine,3,0.043,4.2007,0.00066008,0.00069776
43,cork_fine,3,0.043,4.3007,0.00066004,0.00069778
44,cork_fine,3,0.043,4.4007000000000005,0.00066006,0.00069776
45,cork_fine,3,0.043,4.5007,0.00066008,0.00069776
46,cork_fine,3,0.043,4.600700000000001,0.00066006,0.00069776
47,cork_fine,3,0.043,4.70066,0.00066004,0.00069772
48,cork_fine,3,0.043,4.8007,0.00066004,0.00069776
49,cork_fine,3,0.043,4.9007000000000005,0.00066004,0.00069776
50,cork_fine,3,0.043,5.000660000000001,0.00066006,0.00069772
51,cork_fine,3,0.043,5.100700000000001,0.00066008,0.00069776
52,cork_fine,3,0.043,5.2007,0.00066004,0.00069774
53,cork_fine,3,0.043,5.300700000000001,0.00066004,0.00069774
54,cork_fine,3,0.043,5.40066,0.00066004,0.00069776
55,cork_fine,3,0.043,5.500660000000001,0.00066006,0.00069774
56,cork_fine,3,0.043,5.600700000000001,0.00066004,0.00069776
57,cork_fine,3,0.043,5.7007,0.00066002,0.00069774
58,cork_fine,3,0.043,5.800700000000001,0.00066004,0.00069774
59,cork_fine,3,0.043,5.9007000000000005,0.00066004,0.00069772
60,cork_fine,3,0.043,6.0007,0.00066004,0.00069772
61,cork_fine,3,0.043,6.100700000000001,0.00066004,0.00069772
62,cork_fine,3,0.043,6.2007,0.00066002,0.00069772
63,cork_fine,3,0.043,6.300660000000001,0.00066004,0.0006977
