index,Sample,Trial,k,Time,Primary,Secondary
0,ps_foam,3,0.034,0.00936,0.00066028,0.00069846
1,ps_foam,3,0.034,0.1007,0.00066046,0.00069826
2,ps_foam,3,0.034,0.2007,0.00066042,0.00069824
3,ps_foam,3,0.034,0.3007,0.0006604,0.00069824
4,ps_foam,3,0.034,0.4007,0.0006604,0.0006982
5,ps_foam,3,0.034,0.50066,0.00066042,0.00069822
6,ps_foam,3,0.034,0.60066,0.00066038,0.0006982
7,ps_foam,3,0.034,0.7007000000000001,0.00066038,0.00069818
8,ps_foam,3,0.034,0.80066,0.00066038,0.0006982
9,ps_foam,3,0.034,0.9006600000000001,0.00066038,0.00069816
10,ps_foam,3,0.034,1.0007,0.0006604,0.00069814
11,ps_foam,3,0.034,1.1006600000000002,0.00066038,0.00069816
12,ps_foam,3,0.034,1.2007,0.00066038,0.00069816
13,ps_foam,3,0.034,1.3007000000000002,0.00066038,0.00069814
14,ps_foam,3,0.034,1.40071,0.00066034,0.00069814
15,ps_foam,3,0.034,1.50066,0.00066034,0.00069816
16,ps_foam,3,0.034,1.60071,0.00066038,0.00069814
17,ps_foam,3,0.034,1.7007,0.00066036,0.00069814
18,ps_foam,3,0.034,1.8006700000000002,0.00066038,0.00069814
19,ps_foam,3,0.034,1.9007,0.00066034,0.00069812
20,ps_foam,3,0.034,2.0006600000000003,0.00066034,0.00069812
21,ps_foam,3,0.034,2.10066,0.00066034,0.00069812
22,ps_foam,3,0.034,2.2007000000000003,0.00066034,0.00069812
23,ps_foam,3,0.034,2.30067,0.00066034,0.00069812
24,ps_foam,3,0.034,2.4007,0.00066032,0.00069814
25,ps_foam,3,0.034,2.5006600000000003,0.00066034,0.00069812
26,ps_foam,3,0.034,2.6006600000000004,0.00066034,0.0006981
27,ps_foam,3,0.034,2.70066,0.00066034,0.0006981
28,ps_foam,3,0.034,2.80066,0.00066034,0.0006981
29,ps_foam,3,0.034,2.90066,0.00066034,0.0006981
30,ps_foam,3,0.034,3.00071,0.00066034,0.0006981
31,ps_foam,3,0.034,3.10067,0.00066032,0.00069806
32,ps_foam,3,0.034,3.2007000000000003,0.00066032,0.0006981
33,ps_foam,3,0.034,3.30067,0.00066034,0.00069812
34,ps_foam,3,0.034,3.4007000000000005,0.00066032,0.0006981
35,ps_foam,3,0.034,3.5006600000000003,0.00066034,0.00069808
36,ps_foam,3,0.034,3.6007,0.00066032,0.00069808
37,ps_foam,3,0.034,3.700660000000001,0.00066032,0.00069808
38,ps_foam,3,0.034,3.80066,0.00066032,0.0006981
39,ps_foam,3,0.034,3.90067,0.0006603,0.00069812
40,ps_foam,3,0.034,4.000660000000001,0.00066032,0.00069814
41,ps_foam,3,0.034,4.10071,0.00066032,0.00069812
42,ps_foam,3,0.034,4.20066,0.00066032,0.0006981
43,ps_foam,3,0.034,4.3007,0.00066032,0.00069812
44,ps_foam,3,0.034,4.400670000000001,0.00066034,0.00069812
45,ps_foam,3,0.034,4.500710000000001,0.0006603,0.00069812
46,ps_foam,3,0.034,4.60071,0.00066032,0.0006981
47,ps_foam,3,0.034,4.70071,0.0006603,0.00069812
48,ps_foam,3,0.034,4.8007100000000005,0.00066032,0.0006981
49,ps_foam,3,0.034,4.9007000000000005,0.0006603,0.00069808
50,ps_foam,3,0.034,5.000710000000001,0.00066034,0.0006981
51,ps_foam,3,0.034,5.100700000000001,0.00066032,0.0006981
52,ps_foam,3,0.034,5.200670000000001,0.0006603,0.0006981
53,ps_foam,3,0.034,5.30067,0.0006603,0.00069812
54,ps_foam,3,0.034,5.4007000000000005,0.00066032,0.00069812
55,ps_foam,3,0.034,5.500660000000001,0.00066032,0.00069814
56,ps_foam,3,0.034,5.60067,0.00066032,0.0006981
