index,Sample,Trial,k,Time,Primary,Secondary
0,aluminum,6,215.0,0.00937,0.0006598,0.00069976
1,aluminum,6,215.0,0.10066,0.00065986,0.0006994
2,aluminum,6,215.0,0.20066,0.00065988,0.00069938
3,aluminum,6,215.0,0.3007,0.00065986,0.0006994
4,aluminum,6,215.0,0.4007,0.00065984,0.00069936
5,aluminum,6,215.0,0.5007,0.00065984,0.00069934
6,aluminum,6,215.0,0.6007,0.00065984,0.00069934
7,aluminum,6,215.0,0.70066,0.00065984,0.00069934
8,aluminum,6,215.0,0.80066,0.00065986,0.00069936
9,aluminum,6,215.0,0.9007,0.0006598,0.00069934
10,aluminum,6,215.0,1.00066,0.00065982,0.00069932
11,aluminum,6,215.0,1.1006600000000002,0.00065978,0.00069932
12,aluminum,6,215.0,1.20066,0.00065978,0.00069932
13,aluminum,6,215.0,1.3006600000000001,0.0006598,0.0006993
14,aluminum,6,215.0,1.4007,0.0006598,0.00069932
15,aluminum,6,215.0,1.5007,0.00065982,0.0006993
16,aluminum,6,215.0,1.6006600000000002,0.00065978,0.0006993
17,aluminum,6,215.0,1.70066,0.00065978,0.00069932
18,aluminum,6,215.0,1.8007000000000002,0.0006598,0.0006993
19,aluminum,6,215.0,1.90066,0.00065978,0.0006993
20,aluminum,6,215.0,2.00067,0.0006598,0.00069928
21,aluminum,6,215.0,2.10066,0.00065978,0.00069928
22,aluminum,6,215.0,2.20066,0.00065978,0.0006993
23,aluminum,6,215.0,2.30066,0.00065978,0.0006993
24,aluminum,6,215.0,2.4007,0.00065978,0.00069928
25,aluminum,6,215.0,2.5007,0.0006598,0.0006993
26,aluminum,6,215.0,2.6007,0.00065978,0.00069928
27,aluminum,6,215.0,2.70067,0.00065978,0.00069926
28,aluminum,6,215.0,2.80066,0.00065978,0.00069926
29,aluminum,6,215.0,2.9007,0.00065978,0.00069924
30,aluminum,6,215.0,3.00071,0.0006598,0.00069928
31,aluminum,6,215.0,3.1007,0.00065978,0.00069928
32,aluminum,6,215.0,3.2007000000000003,0.00065978,0.00069926
33,aluminum,6,215.0,3.3007000000000004,0.00065978,0.00069926
34,aluminum,6,215.0,3.4007000000000005,0.00065978,0.00069926
35,aluminum,6,215.0,3.5007,0.00065976,0.00069926
36,aluminum,6,215.0,3.6006600000000004,0.00065976,0.00069926
37,aluminum,6,215.0,3.700660000000001,0.00065976,0.00069926
38,aluminum,6,215.0,3.80066,0.00065978,0.00069924
39,aluminum,6,215.0,3.900700000000001,0.00065976,0.00069924
40,aluminum,6,215.0,4.0007,0.00065978,0.00069924
41,aluminum,6,215.0,4.10066,0.00065974,0.00069924
42,aluminum,6,215.0,4.2007,0.00065978,0.00069924
43,aluminum,6,215.0,4.3007,0.00065976,0.00069924
44,aluminum,6,215.0,4.4007000000000005,0.00065976,0.00069924
45,aluminum,6,215.0,4.500660000000001,0.00065976,0.00069924
46,aluminum,6,215.0,4.600700000000001,0.00065974,0.00069924
47,aluminum,6,215.0,4.70066,0.00065972,0.00069924
48,aluminum,6,215.0,4.8007,0.00065974,0.00069924
49,aluminum,6,215.0,4.9007000000000005,0.00065978,0.00069922
50,aluminum,6,215.0,5.000660000000001,0.00065972,0.00069922
51,aluminum,6,215.0,5.10067,0.00065974,0.00069924
52,aluminum,6,215.0,5.200670000000001,0.00065976,0.0006992
53,aluminum,6,215.0,5.300700000000001,0.00065972,0.00069922
54,aluminum,6,215.0,5.40066,0.00065976,0.00069922
55,aluminum,6,215.0,5.50067,0.0006597,0.00069922
56,aluminum,6,215.0,5.600700000000001,0.00065974,0.00069924
57,aluminum,6,215.0,5.7007,0.00065972,0.0006992
58,aluminum,6,215.0,5.800700000000001,0.00065974,0.00069922
59,aluminum,6,215.0,5.9007000000000005,0.00065976,0.00069922
60,aluminum,6,215.0,6.0007,0.00065972,0.00069918
61,aluminum,6,215.0,6.100700000000001,0.00065972,0.00069918
62,aluminum,6,215.0,6.200660000000001,0.00065972,0.00069922
63,aluminum,6,215.0,6.300700000000001,0.00065972,0.0006992
64,aluminum,6,215.0,6.40071,0.00065972,0.0006992
65,aluminum,6,215.0,6.500660000000001,0.00065972,0.00069916
66,aluminum,6,215.0,6.600700000000001,0.00065972,0.00069916
67,aluminum,6,215.0,6.7007,0.00065968,0.0006992
68,aluminum,6,215.0,6.8007100000000005,0.00065972,0.00069918
69,aluminum,6,215.0,6.9007000000000005,0.0006597,0.00069918
70,aluminum,6,215.0,7.0007,0.00065974,0.00069916
71,aluminum,6,215.0,7.100700000000001,0.00065972,0.00069918
72,aluminum,6,215.0,7.200660000000001,0.0006597,0.00069916
73,aluminum,6,215.0,7.300700000000002,0.00065972,0.0006992
74,aluminum,6,215.0,7.4007,0.00065972,0.00069916
75,aluminum,6,215.0,7.500700000000001,0.0006597,0.00069918
76,aluminum,6,215.0,7.60071,0.0006597,0.00069916
77,aluminum,6,215.0,7.7007,0.0006597,0.00069916
78,aluminum,6,215.0,7.80066,0.00065972,0.0006992
79,aluminum,6,215.0,7.9007,0.0006597,0.00069918
80,aluminum,6,215.0,8.0007,0.00065968,0.00069916
81,aluminum,6,215.0,8.100660000000001,0.0006597,0.00069916
82,aluminum,6,215.0,8.200660000000001,0.0006597,0.00069916
83,aluminum,6,215.0,8.3007,0.0006597,0.00069914
84,aluminum,6,215.0,8.4007,0.0006597,0.0006992
85,aluminum,6,215.0,8.50066,0.00065968,0.00069914
86,aluminum,6,215.0,8.600660000000001,0.00065968,0.00069916
87,aluminum,6,215.0,8.700700000000001,0.00065964,0.00069918
88,aluminum,6,215.0,8.80066,0.00065968,0.00069916
89,aluminum,6,215.0,8.90066,0.0006597,0.00069914
90,aluminum,6,215.0,9.00066,0.0006597,0.00069914
91,aluminum,6,215.0,9.100670000000001,0.00065966,0.00069914
92,aluminum,6,215.0,9.20071,0.00065968,0.00069914
93,aluminum,6,215.0,9.30071,0.00065966,0.00069918
94,aluminum,6,215.0,9.40071,0.00065966,0.00069916
95,aluminum,6,215.0,9.50071,0.00065966,0.00069916
96,aluminum,6,215.0,9.60066,0.00065966,0.00069916
97,aluminum,6,215.0,9.700660000000001,0.00065968,0.00069914
98,aluminum,6,215.0,9.80066,0.00065966,0.00069904
99,aluminum,6,215.0,9.9007,0.00065962,0.00069916
100,aluminum,6,215.0,10.0007,0.00065956,0.00069906
101,aluminum,6,215.0,10.10066,0.00065966,0.00069902
102,aluminum,6,215.0,10.2007,0.00065972,0.00069894
103,aluminum,6,215.0,10.3007,0.00065972,0.00069896
104,aluminum,6,215.0,10.4007,0.00065974,0.00069894
105,aluminum,6,215.0,10.5007,0.00065972,0.00069894
106,aluminum,6,215.0,10.600700000000002,0.00065976,0.00069894
107,aluminum,6,215.0,10.7007,0.00065978,0.00069894
108,aluminum,6,215.0,10.80066,0.00065976,0.00069894
109,aluminum,6,215.0,10.90066,0.00065968,0.00069918
110,aluminum,6,215.0,11.000660000000002,0.00065966,0.00069924
111,aluminum,6,215.0,11.10066,0.0006597,0.00069922
112,aluminum,6,215.0,11.2007,0.00065972,0.00069924
113,aluminum,6,215.0,11.30067,0.00065972,0.00069922
114,aluminum,6,215.0,11.40066,0.0006597,0.00069924
115,aluminum,6,215.0,11.5007,0.00065972,0.00069924
116,aluminum,6,215.0,11.600700000000002,0.00065972,0.00069924
117,aluminum,6,215.0,11.7007,0.00065974,0.00069922
118,aluminum,6,215.0,11.80066,0.00065972,0.00069926
119,aluminum,6,215.0,11.90066,0.00065972,0.00069928
120,aluminum,6,215.0,12.0007,0.00065972,0.00069926
121,aluminum,6,215.0,12.100700000000002,0.00065972,0.00069928
122,aluminum,6,215.0,12.20066,0.00065972,0.00069926
123,aluminum,6,215.0,12.30071,0.00065976,0.00069926
124,aluminum,6,215.0,12.4007,0.00065974,0.00069928
125,aluminum,6,215.0,12.5007,0.0006597,0.0006993
126,aluminum,6,215.0,12.60066,0.00065974,0.00069928
127,aluminum,6,215.0,12.7007,0.00065966,0.00069928
128,aluminum,6,215.0,12.8007,0.0006597,0.00069928
129,aluminum,6,215.0,12.9007,0.00065964,0.00069926
130,aluminum,6,215.0,13.000700000000002,0.00065964,0.00069924
131,aluminum,6,215.0,13.10066,0.00065964,0.00069926
132,aluminum,6,215.0,13.2007,0.00065964,0.00069924
133,aluminum,6,215.0,13.30066,0.00065964,0.00069926
134,aluminum,6,215.0,13.400670000000002,0.00065962,0.00069926
135,aluminum,6,215.0,13.500700000000002,0.0006596,0.00069924
136,aluminum,6,215.0,13.60066,0.00065958,0.00069926
