index,Sample,Trial,k,Time,Primary,Secondary
0,bismuth,6,7.92,0.00927,0.0006602,0.00069934
1,bismuth,6,7.92,0.10067,0.00066014,0.00069932
2,bismuth,6,7.92,0.20066,0.00066014,0.00069926
3,bismuth,6,7.92,0.3007,0.00066014,0.00069928
4,bismuth,6,7.92,0.40066,0.00066014,0.00069926
5,bismuth,6,7.92,0.5007,0.00066012,0.00069924
6,bismuth,6,7.92,0.6007,0.00066012,0.00069922
7,bismuth,6,7.92,0.70066,0.0006601,0.00069922
8,bismuth,6,7.92,0.80066,0.0006601,0.00069922
9,bismuth,6,7.92,0.9006600000000001,0.0006601,0.00069922
10,bismuth,6,7.92,1.00066,0.0006601,0.00069922
11,bismuth,6,7.92,1.1006600000000002,0.0006601,0.00069922
12,bismuth,6,7.92,1.2007,0.0006601,0.00069922
13,bismuth,6,7.92,1.3007000000000002,0.00066008,0.0006992
14,bismuth,6,7.92,1.40066,0.00066008,0.0006992
15,bismuth,6,7.92,1.5007,0.00066006,0.00069922
16,bismuth,6,7.92,1.6006600000000002,0.00066006,0.0006992
17,bismuth,6,7.92,1.7007,0.00066008,0.00069918
18,bismuth,6,7.92,1.8006600000000001,0.00066004,0.00069918
19,bismuth,6,7.92,1.90066,0.00066006,0.00069916
20,bismuth,6,7.92,2.0006600000000003,0.00066002,0.00069916
21,bismuth,6,7.92,2.1007,0.00066002,0.00069916
22,bismuth,6,7.92,2.2007000000000003,0.00066,0.00069916
23,bismuth,6,7.92,2.30066,0.00066002,0.00069914
24,bismuth,6,7.92,2.40066,0.00066002,0.00069914
25,bismuth,6,7.92,2.5006600000000003,0.00066,0.00069912
26,bismuth,6,7.92,2.6006600000000004,0.00065998,0.00069912
27,bismuth,6,7.92,2.7007000000000003,0.00065998,0.00069914
28,bismuth,6,7.92,2.80066,0.00065998,0.00069914
29,bismuth,6,7.92,2.9007,0.00065996,0.0006991
30,bismuth,6,7.92,3.0007,0.00065998,0.0006991
31,bismuth,6,7.92,3.1007,0.00065998,0.0006991
32,bismuth,6,7.92,3.20066,0.00065996,0.0006991
33,bismuth,6,7.92,3.30066,0.00065998,0.0006991
34,bismuth,6,7.92,3.4007000000000005,0.00065998,0.0006991
35,bismuth,6,7.92,3.5006600000000003,0.00065994,0.0006991
36,bismuth,6,7.92,3.6006600000000004,0.00066,0.00069912
37,bismuth,6,7.92,3.700660000000001,0.00065998,0.0006991
38,bismuth,6,7.92,3.8007,0.00065996,0.0006991
39,bismuth,6,7.92,3.900700000000001,0.00065992,0.00069914
40,bismuth,6,7.92,4.0007,0.00065996,0.0006991
41,bismuth,6,7.92,4.10066,0.00065994,0.00069912
42,bismuth,6,7.92,4.20066,0.00065994,0.0006991
43,bismuth,6,7.92,4.3007,0.00065992,0.0006991
44,bismuth,6,7.92,4.40066,0.00065994,0.0006991
45,bismuth,6,7.92,4.5007,0.00065992,0.0006991
46,bismuth,6,7.92,4.600700000000001,0.00065994,0.0006991
47,bismuth,6,7.92,4.7007,0.00065994,0.0006991
48,bismuth,6,7.92,4.8007,0.00065996,0.00069906
49,bismuth,6,7.92,4.9007000000000005,0.00065998,0.0006991
50,bismuth,6,7.92,5.0007,0.00065998,0.0006991
51,bismuth,6,7.92,5.10066,0.00065996,0.00069908
52,bismuth,6,7.92,5.2007,0.00065998,0.0006991
53,bismuth,6,7.92,5.300660000000001,0.00065996,0.0006991
54,bismuth,6,7.92,5.4007000000000005,0.00065994,0.00069908
55,bismuth,6,7.92,5.5007,0.00065994,0.00069906
56,bismuth,6,7.92,5.60066,0.00065996,0.00069908
57,bismuth,6,7.92,5.70066,0.00065994,0.00069906
58,bismuth,6,7.92,5.800660000000001,0.00065992,0.00069906
59,bismuth,6,7.92,5.9007000000000005,0.00065994,0.00069906
60,bismuth,6,7.92,6.0007,0.00065992,0.00069902
61,bismuth,6,7.92,6.10066,0.00065992,0.00069902
62,bismuth,6,7.92,6.2007,0.00065992,0.000699
63,bismuth,6,7.92,6.300660000000001,0.00065992,0.000699
64,bismuth,6,7.92,6.4007000000000005,0.00065992,0.00069898
65,bismuth,6,7.92,6.50067,0.00065992,0.00069898
