index,Sample,Trial,k,Time,Primary,Secondary
0,carbon,5,8.5,0.00936,0.0006606,0.00069936
1,carbon,5,8.5,0.10071,0.0006605,0.00069968
2,carbon,5,8.5,0.20063,0.0006605,0.00069968
3,carbon,5,8.5,0.30071,0.00066048,0.00069968
4,carbon,5,8.5,0.40063,0.00066048,0.00069968
5,carbon,5,8.5,0.50071,0.00066048,0.00069968
6,carbon,5,8.5,0.6007,0.00066048,0.00069964
7,carbon,5,8.5,0.7007000000000001,0.00066046,0.00069964
8,carbon,5,8.5,0.8007,0.00066046,0.00069962
9,carbon,5,8.5,0.9007100000000001,0.00066044,0.0006996
10,carbon,5,8.5,1.00071,0.00066044,0.0006996
11,carbon,5,8.5,1.10063,0.00066046,0.0006996
12,carbon,5,8.5,1.2007100000000002,0.00066046,0.00069958
13,carbon,5,8.5,1.30071,0.00066042,0.00069956
14,carbon,5,8.5,1.40063,0.00066048,0.00069956
15,carbon,5,8.5,1.50063,0.00066044,0.00069954
16,carbon,5,8.5,1.6006300000000002,0.00066044,0.00069954
17,carbon,5,8.5,1.70063,0.00066044,0.00069954
18,carbon,5,8.5,1.8007100000000005,0.00066042,0.00069952
19,carbon,5,8.5,1.90071,0.00066042,0.00069952
20,carbon,5,8.5,2.00071,0.0006604,0.0006995
21,carbon,5,8.5,2.1007100000000003,0.0006604,0.00069948
22,carbon,5,8.5,2.2007100000000004,0.0006604,0.00069948
23,carbon,5,8.5,2.30071,0.0006604,0.00069946
24,carbon,5,8.5,2.40071,0.00066038,0.00069944
25,carbon,5,8.5,2.50071,0.0006604,0.00069944
26,carbon,5,8.5,2.6007100000000003,0.00066042,0.00069944
27,carbon,5,8.5,2.7006300000000003,0.00066042,0.00069944
28,carbon,5,8.5,2.8006300000000004,0.00066038,0.00069944
29,carbon,5,8.5,2.90071,0.00066042,0.00069944
30,carbon,5,8.5,3.00071,0.00066038,0.00069942
31,carbon,5,8.5,3.1007100000000003,0.00066038,0.00069942
32,carbon,5,8.5,3.2006300000000003,0.00066042,0.00069942
33,carbon,5,8.5,3.3007100000000005,0.00066042,0.00069938
34,carbon,5,8.5,3.4006300000000005,0.0006604,0.00069942
35,carbon,5,8.5,3.50071,0.0006604,0.00069938
36,carbon,5,8.5,3.6007100000000003,0.00066038,0.00069938
37,carbon,5,8.5,3.70063,0.00066036,0.00069938
38,carbon,5,8.5,3.8007,0.00066038,0.00069938
39,carbon,5,8.5,3.90071,0.00066036,0.00069938
40,carbon,5,8.5,4.000710000000001,0.00066038,0.00069938
41,carbon,5,8.5,4.10071,0.00066036,0.00069936
42,carbon,5,8.5,4.20063,0.00066036,0.00069938
43,carbon,5,8.5,4.30063,0.00066036,0.00069936
44,carbon,5,8.5,4.40071,0.00066036,0.00069936
45,carbon,5,8.5,4.500710000000001,0.00066038,0.00069936
46,carbon,5,8.5,4.60071,0.00066038,0.00069936
47,carbon,5,8.5,4.70071,0.00066038,0.00069936
48,carbon,5,8.5,4.8007100000000005,0.00066036,0.00069936
49,carbon,5,8.5,4.90071,0.00066038,0.00069936
50,carbon,5,8.5,5.000710000000001,0.00066038,0.00069934
51,carbon,5,8.5,5.10071,0.00066038,0.00069932
52,carbon,5,8.5,5.200710000000001,0.00066036,0.00069936
53,carbon,5,8.5,5.300630000000001,0.00066038,0.00069934
54,carbon,5,8.5,5.40071,0.00066032,0.00069932
55,carbon,5,8.5,5.500710000000001,0.00066036,0.00069936
56,carbon,5,8.5,5.600630000000001,0.00066034,0.00069934
57,carbon,5,8.5,5.70063,0.00066036,0.00069934
58,carbon,5,8.5,5.800630000000001,0.00066034,0.00069932
59,carbon,5,8.5,5.9007000000000005,0.00066036,0.0006993
60,carbon,5,8.5,6.000710000000001,0.0006603,0.00069932
61,carbon,5,8.5,6.100700000000001,0.00066034,0.00069934
62,carbon,5,8.5,6.20063,0.00066034,0.00069932
63,carbon,5,8.5,6.3007100000000005,0.0006603,0.00069932
64,carbon,5,8.5,6.4006300000000005,0.00066034,0.0006993
65,carbon,5,8.5,6.500710000000001,0.00066036,0.0006993
66,carbon,5,8.5,6.600630000000001,0.00066032,0.0006993
67,carbon,5,8.5,6.7007,0.00066036,0.00069932
68,carbon,5,8.5,6.800630000000001,0.00066032,0.00069932
69,carbon,5,8.5,6.9006300000000005,0.0006603,0.00069932
70,carbon,5,8.5,7.00063,0.0006603,0.00069932
71,carbon,5,8.5,7.100630000000001,0.00066034,0.0006993
72,carbon,5,8.5,7.200710000000001,0.00066034,0.00069928
73,carbon,5,8.5,7.30071,0.00066034,0.00069928
74,carbon,5,8.5,7.40063,0.0006602,0.00069952
75,carbon,5,8.5,7.500630000000001,0.0006602,0.00069954
76,carbon,5,8.5,7.60071,0.00066018,0.00069954
77,carbon,5,8.5,7.70063,0.00066018,0.00069954
78,carbon,5,8.5,7.80071,0.00066014,0.00069958
79,carbon,5,8.5,7.90063,0.00066018,0.00069956
80,carbon,5,8.5,8.000630000000001,0.00066016,0.00069954
81,carbon,5,8.5,8.1007,0.00066016,0.00069958
82,carbon,5,8.5,8.200700000000001,0.00066014,0.00069958
83,carbon,5,8.5,8.3007,0.00066012,0.00069958
84,carbon,5,8.5,8.40071,0.00066012,0.00069956
85,carbon,5,8.5,8.500710000000002,0.00066012,0.00069958
86,carbon,5,8.5,8.600710000000001,0.0006601,0.0006996
87,carbon,5,8.5,8.70071,0.0006601,0.0006996
88,carbon,5,8.5,8.80063,0.00066012,0.00069958
89,carbon,5,8.5,8.90071,0.00066008,0.00069958
90,carbon,5,8.5,9.000710000000002,0.00066008,0.0006996
91,carbon,5,8.5,9.10063,0.00066004,0.0006996
92,carbon,5,8.5,9.20063,0.00066004,0.00069958
93,carbon,5,8.5,9.30063,0.00066002,0.0006996
94,carbon,5,8.5,9.40063,0.00066,0.00069956
95,carbon,5,8.5,9.50063,0.00066,0.00069958
96,carbon,5,8.5,9.60063,0.00066,0.00069958
97,carbon,5,8.5,9.70063,0.00065996,0.00069956
98,carbon,5,8.5,9.80071,0.00065996,0.00069956
99,carbon,5,8.5,9.90071,0.00065994,0.00069958
100,carbon,5,8.5,10.000710000000002,0.00065994,0.00069958
101,carbon,5,8.5,10.10071,0.00065992,0.00069958
102,carbon,5,8.5,10.20071,0.0006599,0.00069958
103,carbon,5,8.5,10.3007,0.00065986,0.00069956
104,carbon,5,8.5,10.40063,0.00065984,0.00069958
105,carbon,5,8.5,10.50063,0.00065984,0.00069956
106,carbon,5,8.5,10.60063,0.00065984,0.00069956
107,carbon,5,8.5,10.70071,0.0006598,0.00069954
108,carbon,5,8.5,10.80071,0.0006598,0.00069954
109,carbon,5,8.5,10.90063,0.00065976,0.00069956
110,carbon,5,8.5,11.000710000000002,0.00065976,0.00069954
111,carbon,5,8.5,11.10071,0.00065958,0.00069952
112,carbon,5,8.5,11.20071,0.0006576,0.00069936
113,carbon,5,8.5,11.30071,0.00065622,0.00069934
114,carbon,5,8.5,11.40063,0.00065536,0.00069934
115,carbon,5,8.5,11.50063,0.0006547,0.00069932
116,carbon,5,8.5,11.60063,0.00065424,0.00069928
117,carbon,5,8.5,11.70063,0.00065386,0.00069928
118,carbon,5,8.5,11.800630000000002,0.00065352,0.00069926
119,carbon,5,8.5,11.90071,0.00065326,0.00069924
120,carbon,5,8.5,12.000710000000002,0.000653,0.0006992
121,carbon,5,8.5,12.10071,0.00065278,0.00069924
122,carbon,5,8.5,12.20071,0.00065234,0.00069932
123,carbon,5,8.5,12.300630000000002,0.00065224,0.0006993
124,carbon,5,8.5,12.400710000000002,0.00065224,0.00069924
125,carbon,5,8.5,12.500710000000002,0.00065222,0.00069916
126,carbon,5,8.5,12.60063,0.0006522,0.00069908
127,carbon,5,8.5,12.70063,0.0006522,0.000699
128,carbon,5,8.5,12.80071,0.00065218,0.0006989
129,carbon,5,8.5,12.90063,0.00065216,0.0006988
130,carbon,5,8.5,13.000710000000002,0.00065216,0.00069868
131,carbon,5,8.5,13.10071,0.00065216,0.0006986
132,carbon,5,8.5,13.20071,0.0006521,0.00069848
133,carbon,5,8.5,13.30071,0.0006521,0.00069838
134,carbon,5,8.5,13.40063,0.00065208,0.00069824
135,carbon,5,8.5,13.500710000000002,0.00065206,0.00069814
136,carbon,5,8.5,13.60071,0.00065206,0.00069802
137,carbon,5,8.5,13.70063,0.00065204,0.00069792
138,carbon,5,8.5,13.80071,0.00065202,0.0006978
139,carbon,5,8.5,13.900710000000002,0.00065198,0.00069766
140,carbon,5,8.5,14.000710000000002,0.00065196,0.00069758
141,carbon,5,8.5,14.10071,0.00065196,0.00069748
142,carbon,5,8.5,14.20063,0.00065194,0.00069738
143,carbon,5,8.5,14.30071,0.00065192,0.0006973
144,carbon,5,8.5,14.40063,0.00065192,0.00069714
145,carbon,5,8.5,14.500710000000002,0.00065188,0.00069708
146,carbon,5,8.5,14.60071,0.00065188,0.00069698
147,carbon,5,8.5,14.70071,0.00065188,0.00069686
148,carbon,5,8.5,14.80071,0.00065186,0.00069678
149,carbon,5,8.5,14.900710000000002,0.00065182,0.00069668
150,carbon,5,8.5,15.000710000000002,0.00065184,0.00069658
151,carbon,5,8.5,15.10071,0.0006518,0.00069652
152,carbon,5,8.5,15.20071,0.0006518,0.00069642
153,carbon,5,8.5,15.30071,0.00065178,0.00069636
154,carbon,5,8.5,15.40063,0.00065176,0.00069626
155,carbon,5,8.5,15.50063,0.00065172,0.0006962
156,carbon,5,8.5,15.60071,0.00065172,0.0006961
157,carbon,5,8.5,15.70071,0.0006517,0.00069602
158,carbon,5,8.5,15.80071,0.00065168,0.00069596
159,carbon,5,8.5,15.900710000000002,0.00065168,0.00069586
160,carbon,5,8.5,16.00071,0.00065166,0.00069582
161,carbon,5,8.5,16.100710000000003,0.00065166,0.00069574
162,carbon,5,8.5,16.20071,0.00065164,0.00069566
163,carbon,5,8.5,16.300710000000002,0.00065162,0.0006956
164,carbon,5,8.5,16.40071,0.0006516,0.0006955
165,carbon,5,8.5,16.50071,0.0006516,0.00069546
166,carbon,5,8.5,16.600630000000002,0.00065158,0.00069538
167,carbon,5,8.5,16.70063,0.00065158,0.00069532
168,carbon,5,8.5,16.800710000000002,0.00065156,0.00069528
169,carbon,5,8.5,16.90071,0.00065154,0.0006952
170,carbon,5,8.5,17.00071,0.00065156,0.00069512
171,carbon,5,8.5,17.100710000000003,0.00065152,0.0006951
172,carbon,5,8.5,17.20071,0.0006515,0.00069502
173,carbon,5,8.5,17.300710000000002,0.0006515,0.00069496
174,carbon,5,8.5,17.40071,0.00065144,0.00069492
175,carbon,5,8.5,17.50071,0.00065146,0.00069486
176,carbon,5,8.5,17.600710000000003,0.00065146,0.00069482
177,carbon,5,8.5,17.70063,0.00065144,0.00069476
178,carbon,5,8.5,17.800710000000002,0.00065144,0.0006947
179,carbon,5,8.5,17.90071,0.00065142,0.00069466
180,carbon,5,8.5,18.00071,0.00065142,0.00069462
181,carbon,5,8.5,18.100710000000003,0.00065138,0.00069454
182,carbon,5,8.5,18.20071,0.00065138,0.0006945
183,carbon,5,8.5,18.30063,0.00065136,0.00069448
184,carbon,5,8.5,18.40071,0.00065134,0.00069442
185,carbon,5,8.5,18.50071,0.00065136,0.0006944
186,carbon,5,8.5,18.6007,0.00065134,0.00069432
187,carbon,5,8.5,18.70063,0.00065134,0.0006943
188,carbon,5,8.5,18.80063,0.00065134,0.00069426
189,carbon,5,8.5,18.90071,0.0006513,0.0006942
190,carbon,5,8.5,19.00063,0.0006513,0.00069416
191,carbon,5,8.5,19.100710000000003,0.0006513,0.00069412
192,carbon,5,8.5,19.20071,0.00065128,0.0006941
193,carbon,5,8.5,19.30071,0.00065128,0.00069406
194,carbon,5,8.5,19.40071,0.00065128,0.00069404
195,carbon,5,8.5,19.50071,0.00065126,0.00069398
196,carbon,5,8.5,19.600700000000003,0.00065124,0.00069392
197,carbon,5,8.5,19.7007,0.00065124,0.00069392
198,carbon,5,8.5,19.80071,0.00065122,0.00069388
199,carbon,5,8.5,19.90071,0.0006512,0.00069384
200,carbon,5,8.5,20.00071,0.0006512,0.0006938
201,carbon,5,8.5,20.100710000000003,0.0006512,0.00069376
202,carbon,5,8.5,20.20063,0.0006512,0.00069374
203,carbon,5,8.5,20.30071,0.00065118,0.0006937
204,carbon,5,8.5,20.40071,0.00065118,0.00069366
205,carbon,5,8.5,20.50071,0.00065116,0.00069364
206,carbon,5,8.5,20.600710000000003,0.00065116,0.0006936
207,carbon,5,8.5,20.70063,0.00065114,0.0006936
208,carbon,5,8.5,20.80071,0.00065114,0.00069354
209,carbon,5,8.5,20.90071,0.00065114,0.00069354
210,carbon,5,8.5,21.00071,0.00065112,0.0006935
211,carbon,5,8.5,21.100710000000003,0.00065112,0.00069346
212,carbon,5,8.5,21.2007,0.00065112,0.00069344
