index,Sample,Trial,k,Time,Primary,Secondary
0,gypsum,6,0.17,0.00934,0.00066066,0.00069978
1,gypsum,6,0.17,0.1007,0.00066078,0.0007
2,gypsum,6,0.17,0.2007,0.0006608,0.00069998
3,gypsum,6,0.17,0.3007,0.0006608,0.00069996
4,gypsum,6,0.17,0.4007,0.00066078,0.00069996
5,gypsum,6,0.17,0.50066,0.00066078,0.00069994
6,gypsum,6,0.17,0.60066,0.00066078,0.0006999
7,gypsum,6,0.17,0.70066,0.00066076,0.0006999
8,gypsum,6,0.17,0.8007,0.00066078,0.00069992
9,gypsum,6,0.17,0.9007,0.00066078,0.0006999
10,gypsum,6,0.17,1.0007,0.00066076,0.0006999
11,gypsum,6,0.17,1.1007,0.00066078,0.0006999
12,gypsum,6,0.17,1.20066,0.00066078,0.0006999
13,gypsum,6,0.17,1.3007000000000002,0.00066078,0.00069986
14,gypsum,6,0.17,1.4007,0.00066078,0.00069988
15,gypsum,6,0.17,1.50066,0.00066078,0.00069984
16,gypsum,6,0.17,1.6006600000000002,0.00066078,0.00069984
17,gypsum,6,0.17,1.70066,0.00066078,0.00069988
18,gypsum,6,0.17,1.8006600000000001,0.00066078,0.00069988
19,gypsum,6,0.17,1.90066,0.00066078,0.00069986
20,gypsum,6,0.17,2.0007,0.00066074,0.00069986
21,gypsum,6,0.17,2.1007,0.00066078,0.00069986
22,gypsum,6,0.17,2.20066,0.00066076,0.00069984
23,gypsum,6,0.17,2.3007,0.00066076,0.00069986
24,gypsum,6,0.17,2.40066,0.00066074,0.00069982
25,gypsum,6,0.17,2.5006600000000003,0.00066074,0.00069984
26,gypsum,6,0.17,2.6007,0.00066076,0.00069984
27,gypsum,6,0.17,2.7007000000000003,0.00066078,0.00069986
28,gypsum,6,0.17,2.8007000000000004,0.00066076,0.00069984
29,gypsum,6,0.17,2.9007,0.00066078,0.00069984
30,gypsum,6,0.17,3.0007,0.00066074,0.00069982
31,gypsum,6,0.17,3.1006600000000004,0.00066074,0.00069982
32,gypsum,6,0.17,3.20066,0.00066076,0.00069982
33,gypsum,6,0.17,3.30066,0.00066074,0.00069982
34,gypsum,6,0.17,3.40066,0.00066074,0.00069982
35,gypsum,6,0.17,3.5006600000000003,0.00066074,0.00069982
36,gypsum,6,0.17,3.6006600000000004,0.00066074,0.00069982
37,gypsum,6,0.17,3.700660000000001,0.00066074,0.00069982
38,gypsum,6,0.17,3.8007,0.00066072,0.00069984
39,gypsum,6,0.17,3.90066,0.00066072,0.00069982
40,gypsum,6,0.17,4.0007,0.00066072,0.0006998
41,gypsum,6,0.17,4.100700000000001,0.00066072,0.00069982
42,gypsum,6,0.17,4.20066,0.00066074,0.00069984
43,gypsum,6,0.17,4.3007,0.00066072,0.00069982
44,gypsum,6,0.17,4.40066,0.00066072,0.00069982
45,gypsum,6,0.17,4.500660000000001,0.0006607,0.00069982
46,gypsum,6,0.17,4.60066,0.0006607,0.0006998
47,gypsum,6,0.17,4.7007,0.0006607,0.00069982
48,gypsum,6,0.17,4.8007,0.0006607,0.00069982
49,gypsum,6,0.17,4.90066,0.00066072,0.00069982
50,gypsum,6,0.17,5.000660000000001,0.00066072,0.0006998
51,gypsum,6,0.17,5.10066,0.0006607,0.0006998
52,gypsum,6,0.17,5.2007,0.0006607,0.0006998
53,gypsum,6,0.17,5.300700000000001,0.00066072,0.0006998
54,gypsum,6,0.17,5.4007000000000005,0.0006607,0.0006998
55,gypsum,6,0.17,5.5007,0.0006607,0.00069978
56,gypsum,6,0.17,5.600700000000001,0.00066072,0.00069982
57,gypsum,6,0.17,5.7007,0.0006607,0.0006998
58,gypsum,6,0.17,5.800660000000001,0.00066072,0.0006998
59,gypsum,6,0.17,5.9007000000000005,0.00066072,0.00069978
60,gypsum,6,0.17,6.0007,0.0006607,0.0006998
61,gypsum,6,0.17,6.10066,0.0006607,0.00069978
62,gypsum,6,0.17,6.200660000000001,0.00066072,0.0006998
63,gypsum,6,0.17,6.300660000000001,0.00066072,0.0006998
64,gypsum,6,0.17,6.40066,0.00066072,0.00069978
65,gypsum,6,0.17,6.5007,0.00066072,0.0006998
66,gypsum,6,0.17,6.600700000000001,0.0006607,0.00069978
67,gypsum,6,0.17,6.7007,0.00066072,0.00069978
68,gypsum,6,0.17,6.800660000000001,0.00066068,0.00069978
69,gypsum,6,0.17,6.9007000000000005,0.00066066,0.00069974
70,gypsum,6,0.17,7.0007,0.0006605,0.0006999
71,gypsum,6,0.17,7.10066,0.0006605,0.00069988
72,gypsum,6,0.17,7.200660000000001,0.00066046,0.00069988
73,gypsum,6,0.17,7.30066,0.00066044,0.0006999
74,gypsum,6,0.17,7.4007,0.00066044,0.00069988
75,gypsum,6,0.17,7.500700000000001,0.00066042,0.00069986
76,gypsum,6,0.17,7.60066,0.00066042,0.00069988
77,gypsum,6,0.17,7.7007,0.00066036,0.00069986
78,gypsum,6,0.17,7.80067,0.0006604,0.00069988
79,gypsum,6,0.17,7.9007,0.00066042,0.00069986
80,gypsum,6,0.17,8.00066,0.00066038,0.00069986
81,gypsum,6,0.17,8.100660000000001,0.00066036,0.00069984
82,gypsum,6,0.17,8.200700000000001,0.00066036,0.00069988
83,gypsum,6,0.17,8.3007,0.00066032,0.00069982
84,gypsum,6,0.17,8.4007,0.00066032,0.00069982
85,gypsum,6,0.17,8.5007,0.00066026,0.00069986
86,gypsum,6,0.17,8.600670000000001,0.0006603,0.00069988
87,gypsum,6,0.17,8.700700000000001,0.00066028,0.00069986
88,gypsum,6,0.17,8.8007,0.00066026,0.00069984
89,gypsum,6,0.17,8.90066,0.00066024,0.00069986
90,gypsum,6,0.17,9.0007,0.00066028,0.00069984
91,gypsum,6,0.17,9.10066,0.00066028,0.00069984
92,gypsum,6,0.17,9.200660000000001,0.00066022,0.00069984
93,gypsum,6,0.17,9.30066,0.00066022,0.00069982
94,gypsum,6,0.17,9.4007,0.0006602,0.00069982
95,gypsum,6,0.17,9.5007,0.00066022,0.00069984
96,gypsum,6,0.17,9.60066,0.00066022,0.00069986
97,gypsum,6,0.17,9.700660000000001,0.0006602,0.00069984
98,gypsum,6,0.17,9.8007,0.00066016,0.00069984
99,gypsum,6,0.17,9.90066,0.00066016,0.00069986
100,gypsum,6,0.17,10.000660000000002,0.00066018,0.00069984
101,gypsum,6,0.17,10.10066,0.00066016,0.00069984
102,gypsum,6,0.17,10.20066,0.00066014,0.00069982
103,gypsum,6,0.17,10.3007,0.00066014,0.00069982
104,gypsum,6,0.17,10.40066,0.00066014,0.00069982
105,gypsum,6,0.17,10.500660000000002,0.00066012,0.00069984
106,gypsum,6,0.17,10.600700000000002,0.00066012,0.0006998
107,gypsum,6,0.17,10.7007,0.00066008,0.00069982
108,gypsum,6,0.17,10.8007,0.00066012,0.00069982
109,gypsum,6,0.17,10.9007,0.00066012,0.00069982
110,gypsum,6,0.17,11.00067,0.00066012,0.00069982
111,gypsum,6,0.17,11.100700000000002,0.0006601,0.0006998
112,gypsum,6,0.17,11.20066,0.0006595,0.00069944
113,gypsum,6,0.17,11.30066,0.00065904,0.00069936
114,gypsum,6,0.17,11.4007,0.00065874,0.00069934
115,gypsum,6,0.17,11.500660000000002,0.00065846,0.00069932
116,gypsum,6,0.17,11.600700000000002,0.00065832,0.0006993
117,gypsum,6,0.17,11.7007,0.00065814,0.0006993
118,gypsum,6,0.17,11.80066,0.000658,0.00069928
119,gypsum,6,0.17,11.9007,0.0006579,0.00069928
120,gypsum,6,0.17,12.000660000000002,0.00065782,0.00069928
121,gypsum,6,0.17,12.10067,0.0006577,0.00069924
122,gypsum,6,0.17,12.20067,0.00065764,0.0006992
123,gypsum,6,0.17,12.30066,0.00065756,0.0006992
124,gypsum,6,0.17,12.40066,0.00065748,0.00069916
125,gypsum,6,0.17,12.500660000000002,0.00065744,0.00069914
126,gypsum,6,0.17,12.600700000000002,0.00065742,0.0006991
127,gypsum,6,0.17,12.7007,0.00065732,0.00069908
128,gypsum,6,0.17,12.8007,0.00065728,0.00069904
129,gypsum,6,0.17,12.90066,0.00065724,0.00069902
130,gypsum,6,0.17,13.000700000000002,0.00065722,0.00069898
131,gypsum,6,0.17,13.100700000000002,0.00065718,0.00069896
132,gypsum,6,0.17,13.2007,0.00065716,0.00069892
133,gypsum,6,0.17,13.30067,0.00065712,0.00069888
134,gypsum,6,0.17,13.4007,0.0006571,0.00069886
135,gypsum,6,0.17,13.500660000000002,0.00065704,0.00069882
136,gypsum,6,0.17,13.600700000000002,0.000657,0.00069878
137,gypsum,6,0.17,13.70066,0.00065698,0.00069874
138,gypsum,6,0.17,13.8007,0.000657,0.00069872
139,gypsum,6,0.17,13.9007,0.00065692,0.00069868
140,gypsum,6,0.17,14.000660000000002,0.00065692,0.00069864
141,gypsum,6,0.17,14.100700000000002,0.00065692,0.0006986
142,gypsum,6,0.17,14.20066,0.0006569,0.00069856
143,gypsum,6,0.17,14.3007,0.00065688,0.00069852
144,gypsum,6,0.17,14.4007,0.00065684,0.00069852
145,gypsum,6,0.17,14.500700000000002,0.00065682,0.00069842
146,gypsum,6,0.17,14.600700000000002,0.00065676,0.00069842
147,gypsum,6,0.17,14.70066,0.00065676,0.00069838
148,gypsum,6,0.17,14.80066,0.00065676,0.00069834
149,gypsum,6,0.17,14.9007,0.00065674,0.00069832
150,gypsum,6,0.17,15.000700000000002,0.00065672,0.00069828
151,gypsum,6,0.17,15.10066,0.00065668,0.00069824
152,gypsum,6,0.17,15.20066,0.00065668,0.00069822
153,gypsum,6,0.17,15.3007,0.00065666,0.00069818
154,gypsum,6,0.17,15.400660000000002,0.00065666,0.00069816
155,gypsum,6,0.17,15.500700000000002,0.00065664,0.00069812
156,gypsum,6,0.17,15.60066,0.00065662,0.00069808
157,gypsum,6,0.17,15.7007,0.0006566,0.00069804
158,gypsum,6,0.17,15.8007,0.00065658,0.00069802
159,gypsum,6,0.17,15.9007,0.00065656,0.00069798
160,gypsum,6,0.17,16.00066,0.00065656,0.00069796
161,gypsum,6,0.17,16.1007,0.00065656,0.00069794
162,gypsum,6,0.17,16.2007,0.00065654,0.00069788
163,gypsum,6,0.17,16.300700000000003,0.00065652,0.00069788
164,gypsum,6,0.17,16.400660000000002,0.00065652,0.00069786
165,gypsum,6,0.17,16.50071,0.0006565,0.00069782
166,gypsum,6,0.17,16.6007,0.00065648,0.0006978
167,gypsum,6,0.17,16.7007,0.00065648,0.00069774
168,gypsum,6,0.17,16.800700000000003,0.00065646,0.00069776
169,gypsum,6,0.17,16.9007,0.00065642,0.0006977
170,gypsum,6,0.17,17.000700000000002,0.00065642,0.00069764
171,gypsum,6,0.17,17.10066,0.00065642,0.00069766
172,gypsum,6,0.17,17.200660000000003,0.0006564,0.00069762
173,gypsum,6,0.17,17.30066,0.0006564,0.00069758
174,gypsum,6,0.17,17.400660000000002,0.00065638,0.00069758
175,gypsum,6,0.17,17.50066,0.00065638,0.00069756
176,gypsum,6,0.17,17.6007,0.00065638,0.00069752
177,gypsum,6,0.17,17.7007,0.00065634,0.00069748
178,gypsum,6,0.17,17.80066,0.00065634,0.00069748
179,gypsum,6,0.17,17.900660000000002,0.00065632,0.00069744
180,gypsum,6,0.17,18.00066,0.00065632,0.00069742
181,gypsum,6,0.17,18.10066,0.00065632,0.0006974
182,gypsum,6,0.17,18.2007,0.00065628,0.00069736
183,gypsum,6,0.17,18.30066,0.00065628,0.00069738
184,gypsum,6,0.17,18.4007,0.00065628,0.00069732
185,gypsum,6,0.17,18.50066,0.00065624,0.0006973
186,gypsum,6,0.17,18.60067,0.00065626,0.00069728
187,gypsum,6,0.17,18.70067,0.00065624,0.00069726
188,gypsum,6,0.17,18.800700000000003,0.00065622,0.00069726
189,gypsum,6,0.17,18.90066,0.00065624,0.00069722
190,gypsum,6,0.17,19.00066,0.0006562,0.0006972
191,gypsum,6,0.17,19.10066,0.00065618,0.00069718
192,gypsum,6,0.17,19.2007,0.00065618,0.00069716
193,gypsum,6,0.17,19.300700000000003,0.00065618,0.00069714
194,gypsum,6,0.17,19.4007,0.00065618,0.00069712
195,gypsum,6,0.17,19.50066,0.00065616,0.0006971
196,gypsum,6,0.17,19.60066,0.00065616,0.00069708
197,gypsum,6,0.17,19.700660000000003,0.00065616,0.00069706
198,gypsum,6,0.17,19.800700000000003,0.00065614,0.00069704
199,gypsum,6,0.17,19.9007,0.00065612,0.00069702
200,gypsum,6,0.17,20.0007,0.0006561,0.000697
201,gypsum,6,0.17,20.10066,0.00065612,0.00069698
202,gypsum,6,0.17,20.2007,0.0006561,0.00069698
203,gypsum,6,0.17,20.30066,0.0006561,0.00069696
204,gypsum,6,0.17,20.40066,0.00065604,0.00069694
205,gypsum,6,0.17,20.500660000000003,0.00065608,0.00069692
206,gypsum,6,0.17,20.60067,0.00065604,0.0006969
207,gypsum,6,0.17,20.7007,0.00065606,0.0006969
208,gypsum,6,0.17,20.800700000000003,0.00065604,0.0006969
209,gypsum,6,0.17,20.90066,0.00065602,0.00069684
210,gypsum,6,0.17,21.000660000000003,0.00065602,0.00069684
211,gypsum,6,0.17,21.100700000000003,0.00065602,0.00069684
212,gypsum,6,0.17,21.200660000000003,0.00065602,0.0006968
213,gypsum,6,0.17,21.300700000000003,0.00065602,0.0006968
214,gypsum,6,0.17,21.4007,0.00065598,0.00069676
215,gypsum,6,0.17,21.5007,0.000656,0.00069678
216,gypsum,6,0.17,21.60066,0.00065596,0.00069674
217,gypsum,6,0.17,21.700660000000003,0.00065598,0.00069674
218,gypsum,6,0.17,21.80066,0.00065596,0.0006967
219,gypsum,6,0.17,21.90066,0.00065596,0.00069668
220,gypsum,6,0.17,22.000660000000003,0.00065596,0.0006967
221,gypsum,6,0.17,22.100700000000003,0.00065594,0.00069666
222,gypsum,6,0.17,22.200660000000003,0.00065594,0.00069666
223,gypsum,6,0.17,22.30066,0.00065594,0.00069666
224,gypsum,6,0.17,22.40066,0.00065592,0.00069662
225,gypsum,6,0.17,22.5007,0.0006559,0.00069662
226,gypsum,6,0.17,22.60066,0.0006559,0.0006966
227,gypsum,6,0.17,22.700660000000003,0.00065588,0.0006966
228,gypsum,6,0.17,22.80066,0.0006559,0.00069658
229,gypsum,6,0.17,22.90066,0.0006559,0.00069656
230,gypsum,6,0.17,23.000660000000003,0.00065586,0.00069654
231,gypsum,6,0.17,23.100700000000003,0.00065588,0.00069654
232,gypsum,6,0.17,23.200660000000003,0.00065586,0.00069652
233,gypsum,6,0.17,23.300700000000003,0.00065586,0.0006965
