index,Sample,Trial,k,Time,Primary,Secondary
0,iron,4,77.5,0.00931,0.00066016,0.00069928
1,iron,4,77.5,0.1007,0.00066028,0.00069946
2,iron,4,77.5,0.2007,0.00066024,0.00069946
3,iron,4,77.5,0.30066,0.00066026,0.00069946
4,iron,4,77.5,0.4007,0.00066026,0.00069944
5,iron,4,77.5,0.5007,0.00066026,0.00069942
6,iron,4,77.5,0.60066,0.00066024,0.00069942
7,iron,4,77.5,0.7007000000000001,0.00066026,0.00069944
8,iron,4,77.5,0.8007,0.00066028,0.00069942
9,iron,4,77.5,0.9006600000000001,0.00066026,0.00069942
10,iron,4,77.5,1.00066,0.00066028,0.0006994
11,iron,4,77.5,1.1007,0.00066028,0.00069938
12,iron,4,77.5,1.20066,0.00066026,0.00069936
13,iron,4,77.5,1.3007000000000002,0.00066028,0.00069936
14,iron,4,77.5,1.4007,0.00066028,0.00069936
15,iron,4,77.5,1.5007,0.00066026,0.00069936
16,iron,4,77.5,1.6007000000000002,0.00066028,0.00069934
17,iron,4,77.5,1.7007,0.00066026,0.00069932
18,iron,4,77.5,1.8007000000000002,0.00066026,0.00069934
19,iron,4,77.5,1.9007,0.00066024,0.00069932
20,iron,4,77.5,2.0006600000000003,0.00066026,0.0006993
21,iron,4,77.5,2.1007,0.00066026,0.00069928
22,iron,4,77.5,2.2007000000000003,0.00066024,0.00069928
23,iron,4,77.5,2.3007,0.0006602,0.00069924
24,iron,4,77.5,2.40066,0.00066022,0.00069922
25,iron,4,77.5,2.5006600000000003,0.00066022,0.00069922
26,iron,4,77.5,2.6006600000000004,0.0006602,0.00069922
27,iron,4,77.5,2.70066,0.00066022,0.0006992
28,iron,4,77.5,2.80066,0.00066022,0.0006992
29,iron,4,77.5,2.9007,0.0006602,0.0006992
30,iron,4,77.5,3.0007,0.00066022,0.00069918
31,iron,4,77.5,3.1007,0.00066022,0.0006992
32,iron,4,77.5,3.2007000000000003,0.0006602,0.00069916
33,iron,4,77.5,3.3007000000000004,0.00066022,0.0006992
34,iron,4,77.5,3.40066,0.00066022,0.0006992
35,iron,4,77.5,3.5006600000000003,0.00066024,0.0006992
36,iron,4,77.5,3.6006600000000004,0.00066022,0.00069916
37,iron,4,77.5,3.700660000000001,0.0006602,0.00069916
38,iron,4,77.5,3.80066,0.0006602,0.00069916
39,iron,4,77.5,3.900700000000001,0.00066022,0.00069916
40,iron,4,77.5,4.000660000000001,0.00066022,0.00069916
41,iron,4,77.5,4.10066,0.0006602,0.00069916
42,iron,4,77.5,4.2007,0.00066022,0.00069916
43,iron,4,77.5,4.300660000000001,0.00066022,0.00069918
44,iron,4,77.5,4.40066,0.0006602,0.00069918
45,iron,4,77.5,4.500660000000001,0.0006602,0.00069918
46,iron,4,77.5,4.600700000000001,0.0006602,0.00069916
47,iron,4,77.5,4.7007,0.0006602,0.00069916
48,iron,4,77.5,4.8007,0.00066022,0.00069916
49,iron,4,77.5,4.90066,0.0006602,0.00069916
50,iron,4,77.5,5.000660000000001,0.00066022,0.00069916
51,iron,4,77.5,5.10066,0.00066022,0.00069916
52,iron,4,77.5,5.2007,0.0006602,0.00069916
53,iron,4,77.5,5.300700000000001,0.00066022,0.00069916
54,iron,4,77.5,5.4007000000000005,0.0006602,0.00069916
55,iron,4,77.5,5.5007,0.00066022,0.00069914
56,iron,4,77.5,5.60066,0.00066022,0.00069914
57,iron,4,77.5,5.70066,0.00066022,0.00069914
58,iron,4,77.5,5.800700000000001,0.00066022,0.00069916
59,iron,4,77.5,5.9007000000000005,0.00066022,0.00069916
60,iron,4,77.5,6.0007,0.0006602,0.00069914
61,iron,4,77.5,6.100700000000001,0.0006602,0.00069912
62,iron,4,77.5,6.200660000000001,0.0006602,0.00069914
63,iron,4,77.5,6.300700000000001,0.00066016,0.00069912
64,iron,4,77.5,6.40066,0.0006602,0.00069914
65,iron,4,77.5,6.500660000000001,0.00066018,0.00069914
66,iron,4,77.5,6.600700000000001,0.00066018,0.00069914
67,iron,4,77.5,6.700660000000001,0.00066018,0.00069914
68,iron,4,77.5,6.800660000000001,0.0006602,0.0006991
69,iron,4,77.5,6.90066,0.00066016,0.00069914
70,iron,4,77.5,7.0007,0.00066016,0.0006991
71,iron,4,77.5,7.10066,0.00066012,0.00069916
72,iron,4,77.5,7.2007,0.00065998,0.0006993
73,iron,4,77.5,7.300700000000002,0.00065994,0.0006993
74,iron,4,77.5,7.4007,0.00065992,0.0006993
75,iron,4,77.5,7.500700000000001,0.0006599,0.00069932
76,iron,4,77.5,7.6007,0.0006599,0.0006993
77,iron,4,77.5,7.700660000000002,0.00065988,0.0006993
78,iron,4,77.5,7.800700000000002,0.00065988,0.0006993
