index,Sample,Trial,k,Time,Primary,Secondary
0,nickel,6,90.9,0.00939,0.00066006,0.00069922
1,nickel,6,90.9,0.1007,0.00066012,0.0006992
2,nickel,6,90.9,0.20066,0.0006601,0.00069918
3,nickel,6,90.9,0.30066,0.00066012,0.00069916
4,nickel,6,90.9,0.4007,0.0006601,0.00069916
5,nickel,6,90.9,0.50066,0.00066012,0.00069916
6,nickel,6,90.9,0.60066,0.00066008,0.00069914
7,nickel,6,90.9,0.7007000000000001,0.0006601,0.00069912
8,nickel,6,90.9,0.8007,0.0006601,0.0006991
9,nickel,6,90.9,0.9007,0.00066008,0.00069912
10,nickel,6,90.9,1.0007,0.0006601,0.00069912
11,nickel,6,90.9,1.1007,0.00066008,0.00069914
12,nickel,6,90.9,1.2007,0.00066008,0.0006991
13,nickel,6,90.9,1.3007000000000002,0.00066008,0.00069908
14,nickel,6,90.9,1.4007,0.00066008,0.00069912
15,nickel,6,90.9,1.5007,0.00066008,0.00069908
16,nickel,6,90.9,1.6007000000000002,0.00066006,0.0006991
17,nickel,6,90.9,1.7007,0.00066008,0.0006991
18,nickel,6,90.9,1.8007000000000002,0.00066006,0.00069906
19,nickel,6,90.9,1.9007,0.00066006,0.00069908
20,nickel,6,90.9,2.0007,0.00066006,0.00069908
21,nickel,6,90.9,2.10066,0.00066008,0.00069908
22,nickel,6,90.9,2.20066,0.00066006,0.00069908
23,nickel,6,90.9,2.3007,0.00066006,0.00069908
24,nickel,6,90.9,2.40066,0.00066006,0.00069906
25,nickel,6,90.9,2.5006600000000003,0.00066006,0.00069908
26,nickel,6,90.9,2.6006600000000004,0.00066006,0.00069906
27,nickel,6,90.9,2.70066,0.00066002,0.00069906
28,nickel,6,90.9,2.8007000000000004,0.00066004,0.00069906
29,nickel,6,90.9,2.9007,0.00066006,0.00069906
30,nickel,6,90.9,3.0007,0.00066006,0.00069906
31,nickel,6,90.9,3.1007,0.00066002,0.00069906
32,nickel,6,90.9,3.20066,0.00066004,0.00069906
33,nickel,6,90.9,3.3007000000000004,0.00066002,0.00069906
34,nickel,6,90.9,3.4007000000000005,0.00066004,0.00069906
35,nickel,6,90.9,3.5006600000000003,0.00066002,0.00069904
