index,Sample,Trial,k,Time,Primary,Secondary
0,pdms,4,0.15,0.00931,0.00066064,0.0007003
1,pdms,4,0.15,0.1007,0.00066044,0.00070016
2,pdms,4,0.15,0.20066,0.00066044,0.00070018
3,pdms,4,0.15,0.30066,0.00066042,0.00070014
4,pdms,4,0.15,0.4007,0.00066044,0.00070016
5,pdms,4,0.15,0.50066,0.00066044,0.00070014
6,pdms,4,0.15,0.60066,0.00066044,0.00070012
7,pdms,4,0.15,0.70066,0.00066042,0.00070012
8,pdms,4,0.15,0.8007,0.00066042,0.0007001
9,pdms,4,0.15,0.9007,0.00066042,0.0007001
10,pdms,4,0.15,1.0007,0.00066042,0.0007001
11,pdms,4,0.15,1.1006600000000002,0.00066042,0.0007001
12,pdms,4,0.15,1.2007,0.00066042,0.00070008
13,pdms,4,0.15,1.3006600000000001,0.00066044,0.00070008
14,pdms,4,0.15,1.4007,0.0006604,0.00070006
15,pdms,4,0.15,1.5007,0.00066044,0.00070008
16,pdms,4,0.15,1.6007000000000002,0.00066042,0.00070006
17,pdms,4,0.15,1.70066,0.00066044,0.00070008
18,pdms,4,0.15,1.8007000000000002,0.0006604,0.00070004
19,pdms,4,0.15,1.9007,0.0006604,0.00070004
20,pdms,4,0.15,2.0007,0.0006604,0.00070006
21,pdms,4,0.15,2.1007,0.00066038,0.00070006
22,pdms,4,0.15,2.2007000000000003,0.00066042,0.00070006
23,pdms,4,0.15,2.3007,0.00066042,0.00070006
24,pdms,4,0.15,2.4007,0.00066042,0.00070004
25,pdms,4,0.15,2.5006600000000003,0.0006604,0.00070004
26,pdms,4,0.15,2.6007,0.0006604,0.00070004
27,pdms,4,0.15,2.7007000000000003,0.00066038,0.00070004
28,pdms,4,0.15,2.8007000000000004,0.00066042,0.00070004
29,pdms,4,0.15,2.9007,0.0006604,0.00070004
30,pdms,4,0.15,3.0007,0.00066038,0.00070002
31,pdms,4,0.15,3.1006600000000004,0.00066036,0.00070002
32,pdms,4,0.15,3.2007000000000003,0.00066038,0.00070002
33,pdms,4,0.15,3.3007000000000004,0.00066038,0.0007
34,pdms,4,0.15,3.4006700000000003,0.00066038,0.00070002
35,pdms,4,0.15,3.5006600000000003,0.0006604,0.00070002
36,pdms,4,0.15,3.6006600000000004,0.00066038,0.00070002
37,pdms,4,0.15,3.700660000000001,0.00066038,0.0007
38,pdms,4,0.15,3.8007,0.0006604,0.0007
39,pdms,4,0.15,3.900700000000001,0.00066038,0.00070002
40,pdms,4,0.15,4.000660000000001,0.00066038,0.0007
41,pdms,4,0.15,4.10066,0.00066038,0.00070002
42,pdms,4,0.15,4.20066,0.00066038,0.00070002
43,pdms,4,0.15,4.300660000000001,0.0006604,0.0007
44,pdms,4,0.15,4.40066,0.00066038,0.0007
45,pdms,4,0.15,4.5007,0.00066038,0.00069996
46,pdms,4,0.15,4.60066,0.0006604,0.0007
47,pdms,4,0.15,4.70066,0.0006604,0.0007
48,pdms,4,0.15,4.8007,0.00066038,0.00069998
49,pdms,4,0.15,4.90066,0.0006604,0.00069998
50,pdms,4,0.15,5.0007,0.00066038,0.00069996
51,pdms,4,0.15,5.100700000000001,0.00066038,0.00069996
52,pdms,4,0.15,5.2007,0.00066038,0.00069998
53,pdms,4,0.15,5.300700000000001,0.00066038,0.00069998
54,pdms,4,0.15,5.40066,0.00066038,0.0007
55,pdms,4,0.15,5.5007,0.0006604,0.00069996
56,pdms,4,0.15,5.600700000000001,0.00066038,0.00069998
57,pdms,4,0.15,5.70066,0.00066038,0.00069996
58,pdms,4,0.15,5.800700000000001,0.00066038,0.0007
59,pdms,4,0.15,5.9007000000000005,0.00066038,0.00069996
60,pdms,4,0.15,6.0007,0.00066038,0.00069996
61,pdms,4,0.15,6.10066,0.00066038,0.0007
62,pdms,4,0.15,6.200660000000001,0.0006604,0.00069998
63,pdms,4,0.15,6.300660000000001,0.00066042,0.00069998
64,pdms,4,0.15,6.4007000000000005,0.00066042,0.00069996
65,pdms,4,0.15,6.500660000000001,0.0006604,0.0007
66,pdms,4,0.15,6.600700000000001,0.00066042,0.0007
67,pdms,4,0.15,6.700660000000001,0.00066046,0.0007
68,pdms,4,0.15,6.800660000000001,0.00066044,0.00070002
69,pdms,4,0.15,6.90066,0.0006605,0.0007
70,pdms,4,0.15,7.000660000000001,0.00066058,0.0007001
71,pdms,4,0.15,7.100700000000001,0.00066052,0.00070014
72,pdms,4,0.15,7.2007,0.00066044,0.00069996
73,pdms,4,0.15,7.300700000000002,0.00066046,0.00069994
74,pdms,4,0.15,7.40066,0.00066044,0.00069994
75,pdms,4,0.15,7.500700000000001,0.00066044,0.00069994
76,pdms,4,0.15,7.60066,0.00066044,0.00069996
77,pdms,4,0.15,7.700660000000002,0.00066046,0.00069994
78,pdms,4,0.15,7.80066,0.00066048,0.00069994
79,pdms,4,0.15,7.9007,0.00066046,0.00069992
80,pdms,4,0.15,8.0007,0.00066042,0.00069994
81,pdms,4,0.15,8.100660000000001,0.00066044,0.00069992
82,pdms,4,0.15,8.20067,0.00066042,0.00069994
83,pdms,4,0.15,8.30066,0.00066042,0.00069994
84,pdms,4,0.15,8.4007,0.00066042,0.00069992
85,pdms,4,0.15,8.50066,0.00066042,0.00069992
86,pdms,4,0.15,8.600660000000001,0.00066044,0.00069994
87,pdms,4,0.15,8.700660000000001,0.00066042,0.0006999
88,pdms,4,0.15,8.80066,0.00066038,0.00069992
89,pdms,4,0.15,8.90066,0.00066042,0.0006999
90,pdms,4,0.15,9.0007,0.00066038,0.0006999
91,pdms,4,0.15,9.1007,0.00066038,0.00069992
92,pdms,4,0.15,9.2007,0.0006604,0.0006999
93,pdms,4,0.15,9.3007,0.00066038,0.00069992
94,pdms,4,0.15,9.40066,0.00066038,0.00069992
95,pdms,4,0.15,9.50066,0.0006604,0.00069992
96,pdms,4,0.15,9.6007,0.00066038,0.00069992
97,pdms,4,0.15,9.7007,0.00066038,0.00069992
98,pdms,4,0.15,9.8007,0.00066038,0.0006999
99,pdms,4,0.15,9.90066,0.0006604,0.0006999
100,pdms,4,0.15,10.000660000000002,0.00066036,0.0006999
101,pdms,4,0.15,10.10071,0.00066038,0.0006999
102,pdms,4,0.15,10.20066,0.00066036,0.00069988
103,pdms,4,0.15,10.3007,0.00066036,0.00069988
104,pdms,4,0.15,10.4007,0.00066038,0.00069994
105,pdms,4,0.15,10.5007,0.00066034,0.0006999
106,pdms,4,0.15,10.600700000000002,0.00066034,0.0006999
107,pdms,4,0.15,10.7007,0.00066036,0.0006999
108,pdms,4,0.15,10.80066,0.00066036,0.00069986
109,pdms,4,0.15,10.90066,0.00066034,0.00069986
110,pdms,4,0.15,11.000660000000002,0.00066034,0.00069988
111,pdms,4,0.15,11.100700000000002,0.00066034,0.00069986
112,pdms,4,0.15,11.20071,0.00066034,0.00069986
