index,Sample,Trial,k,Time,Primary,Secondary
0,pu_foam,6,0.043,0.00929,0.00066034,0.0006994
1,pu_foam,6,0.043,0.10067,0.00066044,0.00069916
2,pu_foam,6,0.043,0.20066,0.00066044,0.0006991
3,pu_foam,6,0.043,0.3007,0.00066046,0.0006991
4,pu_foam,6,0.043,0.4007,0.00066044,0.00069908
5,pu_foam,6,0.043,0.50066,0.00066042,0.0006991
6,pu_foam,6,0.043,0.60066,0.00066044,0.00069908
7,pu_foam,6,0.043,0.70066,0.00066042,0.0006991
8,pu_foam,6,0.043,0.8007,0.00066042,0.00069908
9,pu_foam,6,0.043,0.9007,0.00066044,0.00069906
10,pu_foam,6,0.043,1.00066,0.00066042,0.00069906
11,pu_foam,6,0.043,1.1007,0.00066044,0.00069908
12,pu_foam,6,0.043,1.2007,0.00066044,0.00069906
13,pu_foam,6,0.043,1.3007000000000002,0.00066044,0.00069904
14,pu_foam,6,0.043,1.40066,0.00066044,0.00069906
15,pu_foam,6,0.043,1.5007,0.00066042,0.00069906
16,pu_foam,6,0.043,1.6007000000000002,0.00066042,0.00069906
17,pu_foam,6,0.043,1.70066,0.00066042,0.00069902
18,pu_foam,6,0.043,1.8007000000000002,0.00066044,0.00069902
19,pu_foam,6,0.043,1.90066,0.00066042,0.00069902
20,pu_foam,6,0.043,2.0007,0.00066044,0.00069902
21,pu_foam,6,0.043,2.10066,0.00066042,0.00069902
22,pu_foam,6,0.043,2.20066,0.00066042,0.00069902
23,pu_foam,6,0.043,2.3007,0.00066044,0.00069902
24,pu_foam,6,0.043,2.4007,0.00066042,0.00069902
25,pu_foam,6,0.043,2.5007,0.00066042,0.00069902
26,pu_foam,6,0.043,2.6007,0.00066042,0.000699
27,pu_foam,6,0.043,2.70066,0.00066044,0.00069902
28,pu_foam,6,0.043,2.80066,0.00066042,0.000699
29,pu_foam,6,0.043,2.9007,0.0006604,0.00069902
30,pu_foam,6,0.043,3.00071,0.00066044,0.000699
31,pu_foam,6,0.043,3.1007,0.00066042,0.00069902
32,pu_foam,6,0.043,3.20067,0.00066042,0.000699
33,pu_foam,6,0.043,3.3007000000000004,0.0006604,0.000699
34,pu_foam,6,0.043,3.40066,0.00066042,0.000699
35,pu_foam,6,0.043,3.5006600000000003,0.00066042,0.000699
36,pu_foam,6,0.043,3.6007,0.00066042,0.000699
37,pu_foam,6,0.043,3.700660000000001,0.00066042,0.00069902
38,pu_foam,6,0.043,3.80066,0.00066042,0.00069898
39,pu_foam,6,0.043,3.90066,0.0006604,0.000699
40,pu_foam,6,0.043,4.00067,0.00066044,0.00069898
41,pu_foam,6,0.043,4.10066,0.00066042,0.00069902
42,pu_foam,6,0.043,4.20066,0.00066044,0.000699
43,pu_foam,6,0.043,4.300660000000001,0.00066046,0.00069896
44,pu_foam,6,0.043,4.40066,0.00066044,0.000699
45,pu_foam,6,0.043,4.500660000000001,0.0006604,0.00069898
46,pu_foam,6,0.043,4.60066,0.00066042,0.00069898
47,pu_foam,6,0.043,4.7007,0.00066044,0.00069898
48,pu_foam,6,0.043,4.8007,0.00066042,0.00069896
49,pu_foam,6,0.043,4.9007000000000005,0.00066042,0.00069896
50,pu_foam,6,0.043,5.000660000000001,0.00066042,0.00069896
51,pu_foam,6,0.043,5.10066,0.00066042,0.00069896
52,pu_foam,6,0.043,5.20066,0.00066044,0.00069896
53,pu_foam,6,0.043,5.300660000000001,0.00066042,0.00069898
54,pu_foam,6,0.043,5.400670000000001,0.00066044,0.00069898
55,pu_foam,6,0.043,5.5007,0.00066044,0.00069898
56,pu_foam,6,0.043,5.600700000000001,0.00066042,0.00069898
57,pu_foam,6,0.043,5.7007,0.00066042,0.00069898
58,pu_foam,6,0.043,5.800660000000001,0.00066042,0.00069898
59,pu_foam,6,0.043,5.9007000000000005,0.00066042,0.00069898
60,pu_foam,6,0.043,6.0007,0.0006604,0.000699
61,pu_foam,6,0.043,6.100700000000001,0.00066044,0.000699
62,pu_foam,6,0.043,6.200660000000001,0.00066042,0.00069894
63,pu_foam,6,0.043,6.300700000000001,0.00066042,0.00069896
64,pu_foam,6,0.043,6.4007000000000005,0.00066046,0.00069896
65,pu_foam,6,0.043,6.5007,0.00066046,0.00069896
66,pu_foam,6,0.043,6.60066,0.00066046,0.00069898
67,pu_foam,6,0.043,6.700660000000001,0.00066026,0.00069914
68,pu_foam,6,0.043,6.800660000000001,0.00066034,0.00069922
69,pu_foam,6,0.043,6.90066,0.00066034,0.0006992
70,pu_foam,6,0.043,7.0007,0.00066034,0.00069924
71,pu_foam,6,0.043,7.10066,0.00066034,0.00069924
72,pu_foam,6,0.043,7.2007,0.00066034,0.00069924
73,pu_foam,6,0.043,7.300700000000002,0.00066032,0.00069924
74,pu_foam,6,0.043,7.40066,0.0006603,0.00069922
75,pu_foam,6,0.043,7.50066,0.00066032,0.00069922
76,pu_foam,6,0.043,7.60066,0.00066032,0.00069922
77,pu_foam,6,0.043,7.700660000000002,0.0006603,0.00069926
78,pu_foam,6,0.043,7.800700000000002,0.00066032,0.00069924
79,pu_foam,6,0.043,7.9007,0.00066028,0.00069924
80,pu_foam,6,0.043,8.00066,0.00066026,0.00069924
81,pu_foam,6,0.043,8.1007,0.00066022,0.00069926
82,pu_foam,6,0.043,8.200700000000001,0.0006602,0.00069926
83,pu_foam,6,0.043,8.30066,0.00066018,0.00069924
84,pu_foam,6,0.043,8.40067,0.0006602,0.00069926
85,pu_foam,6,0.043,8.50066,0.0006602,0.00069924
86,pu_foam,6,0.043,8.600700000000002,0.00066018,0.00069924
87,pu_foam,6,0.043,8.700660000000001,0.00066016,0.00069926
88,pu_foam,6,0.043,8.8007,0.00066016,0.00069924
89,pu_foam,6,0.043,8.90066,0.00066014,0.00069926
90,pu_foam,6,0.043,9.0007,0.00066014,0.00069924
91,pu_foam,6,0.043,9.10066,0.00066012,0.00069924
92,pu_foam,6,0.043,9.200660000000001,0.00066012,0.00069924
93,pu_foam,6,0.043,9.30066,0.00066012,0.00069924
94,pu_foam,6,0.043,9.4007,0.00066012,0.00069928
95,pu_foam,6,0.043,9.5007,0.00066008,0.00069922
96,pu_foam,6,0.043,9.60066,0.00066008,0.00069924
97,pu_foam,6,0.043,9.7007,0.00066006,0.00069926
98,pu_foam,6,0.043,9.80067,0.00066002,0.00069928
99,pu_foam,6,0.043,9.9007,0.00066002,0.00069926
100,pu_foam,6,0.043,10.0007,0.00066002,0.00069924
101,pu_foam,6,0.043,10.100700000000002,0.00066002,0.00069924
102,pu_foam,6,0.043,10.20066,0.00066,0.00069924
103,pu_foam,6,0.043,10.30066,0.00065978,0.00069924
104,pu_foam,6,0.043,10.4007,0.00065974,0.00069928
105,pu_foam,6,0.043,10.5007,0.0006597,0.00069928
106,pu_foam,6,0.043,10.60066,0.0006597,0.00069926
107,pu_foam,6,0.043,10.7007,0.0006597,0.00069924
108,pu_foam,6,0.043,10.8007,0.00065968,0.00069926
109,pu_foam,6,0.043,10.9007,0.0006597,0.00069924
110,pu_foam,6,0.043,11.0007,0.00065968,0.00069924
111,pu_foam,6,0.043,11.100700000000002,0.0006597,0.00069924
