index,Sample,Trial,k,Time,Primary,Secondary
0,wood,6,0.1,0.00936,0.00066074,0.00069964
1,wood,6,0.1,0.1007,0.00066084,0.0006996
2,wood,6,0.1,0.2007,0.00066082,0.00069962
3,wood,6,0.1,0.3007,0.00066084,0.0006996
4,wood,6,0.1,0.40066,0.0006608,0.00069958
5,wood,6,0.1,0.5007,0.00066082,0.0006996
6,wood,6,0.1,0.60066,0.00066082,0.00069958
7,wood,6,0.1,0.7007000000000001,0.00066084,0.00069958
8,wood,6,0.1,0.8007,0.00066082,0.00069956
9,wood,6,0.1,0.9007,0.00066084,0.00069958
10,wood,6,0.1,1.00066,0.0006608,0.00069954
11,wood,6,0.1,1.1006600000000002,0.0006608,0.00069954
12,wood,6,0.1,1.20066,0.00066082,0.00069952
13,wood,6,0.1,1.3006600000000001,0.0006608,0.00069954
14,wood,6,0.1,1.40066,0.00066084,0.00069952
15,wood,6,0.1,1.5007,0.00066084,0.00069952
16,wood,6,0.1,1.6007000000000002,0.00066084,0.00069954
17,wood,6,0.1,1.7007,0.00066082,0.00069954
18,wood,6,0.1,1.8006600000000001,0.0006608,0.00069954
19,wood,6,0.1,1.9007,0.00066082,0.00069954
20,wood,6,0.1,2.0007,0.00066084,0.00069954
21,wood,6,0.1,2.1007,0.00066084,0.00069952
22,wood,6,0.1,2.2007000000000003,0.00066084,0.00069954
23,wood,6,0.1,2.3007,0.00066082,0.0006995
24,wood,6,0.1,2.40066,0.00066082,0.0006995
25,wood,6,0.1,2.5007,0.00066084,0.00069952
26,wood,6,0.1,2.6007,0.0006608,0.00069952
27,wood,6,0.1,2.7007000000000003,0.00066082,0.00069952
28,wood,6,0.1,2.80066,0.0006608,0.0006995
29,wood,6,0.1,2.9007,0.00066084,0.00069952
30,wood,6,0.1,3.0007,0.00066084,0.00069952
31,wood,6,0.1,3.1007,0.00066082,0.0006995
32,wood,6,0.1,3.20066,0.00066084,0.0006995
33,wood,6,0.1,3.30066,0.00066082,0.00069952
34,wood,6,0.1,3.4007000000000005,0.00066084,0.00069948
35,wood,6,0.1,3.5007,0.00066084,0.0006995
36,wood,6,0.1,3.6007,0.00066082,0.00069952
37,wood,6,0.1,3.700660000000001,0.00066082,0.00069952
38,wood,6,0.1,3.80066,0.00066082,0.0006995
39,wood,6,0.1,3.900700000000001,0.00066086,0.0006995
40,wood,6,0.1,4.0007,0.00066082,0.0006995
41,wood,6,0.1,4.100700000000001,0.00066082,0.00069948
42,wood,6,0.1,4.2007,0.00066084,0.00069948
43,wood,6,0.1,4.3007,0.00066082,0.00069948
44,wood,6,0.1,4.40066,0.00066082,0.00069946
45,wood,6,0.1,4.5007,0.0006608,0.00069948
46,wood,6,0.1,4.600700000000001,0.00066084,0.0006995
47,wood,6,0.1,4.70066,0.00066084,0.00069946
48,wood,6,0.1,4.800660000000001,0.00066084,0.00069946
49,wood,6,0.1,4.9007000000000005,0.00066084,0.00069944
50,wood,6,0.1,5.0007,0.00066084,0.00069946
51,wood,6,0.1,5.100700000000001,0.00066084,0.00069946
52,wood,6,0.1,5.20066,0.00066084,0.00069944
53,wood,6,0.1,5.300660000000001,0.00066082,0.00069946
54,wood,6,0.1,5.40066,0.00066084,0.00069946
55,wood,6,0.1,5.5007,0.00066086,0.00069946
56,wood,6,0.1,5.600700000000001,0.00066082,0.00069944
57,wood,6,0.1,5.70066,0.00066084,0.00069946
58,wood,6,0.1,5.800660000000001,0.00066082,0.00069944
59,wood,6,0.1,5.9007000000000005,0.00066078,0.00069944
60,wood,6,0.1,6.000660000000001,0.00066084,0.00069946
61,wood,6,0.1,6.10066,0.00066082,0.00069944
62,wood,6,0.1,6.2007,0.00066084,0.00069944
63,wood,6,0.1,6.300660000000001,0.00066084,0.00069942
64,wood,6,0.1,6.40066,0.00066084,0.00069944
65,wood,6,0.1,6.5007,0.0006608,0.00069944
66,wood,6,0.1,6.600700000000001,0.00066082,0.00069946
67,wood,6,0.1,6.700660000000001,0.00066064,0.00069958
68,wood,6,0.1,6.800700000000001,0.00066058,0.00069966
69,wood,6,0.1,6.9007000000000005,0.00066052,0.00069966
70,wood,6,0.1,7.000660000000001,0.00066052,0.00069966
71,wood,6,0.1,7.10066,0.00066052,0.00069968
72,wood,6,0.1,7.200660000000001,0.0006605,0.00069964
73,wood,6,0.1,7.30066,0.00066052,0.00069966
74,wood,6,0.1,7.4007,0.00066046,0.00069966
75,wood,6,0.1,7.500700000000001,0.00066048,0.00069966
76,wood,6,0.1,7.60066,0.0006605,0.00069966
77,wood,6,0.1,7.7007,0.00066044,0.00069964
78,wood,6,0.1,7.800700000000002,0.00066044,0.00069966
79,wood,6,0.1,7.90066,0.00066044,0.00069966
80,wood,6,0.1,8.00066,0.00066044,0.00069968
81,wood,6,0.1,8.1007,0.0006604,0.00069966
82,wood,6,0.1,8.200660000000001,0.00066042,0.00069966
83,wood,6,0.1,8.3007,0.00066034,0.00069966
84,wood,6,0.1,8.40066,0.00066034,0.00069964
85,wood,6,0.1,8.50066,0.00066034,0.00069966
86,wood,6,0.1,8.600700000000002,0.0006603,0.00069968
87,wood,6,0.1,8.700700000000001,0.0006603,0.00069966
88,wood,6,0.1,8.8007,0.00066028,0.00069968
89,wood,6,0.1,8.9007,0.00066028,0.00069968
90,wood,6,0.1,9.00066,0.00066028,0.00069968
91,wood,6,0.1,9.1007,0.00066028,0.00069968
92,wood,6,0.1,9.2007,0.00066026,0.00069968
93,wood,6,0.1,9.3007,0.00066026,0.00069964
94,wood,6,0.1,9.4007,0.00066024,0.00069966
95,wood,6,0.1,9.5007,0.00066024,0.00069968
96,wood,6,0.1,9.60066,0.0006602,0.00069968
97,wood,6,0.1,9.7007,0.00066022,0.00069968
98,wood,6,0.1,9.8007,0.00066022,0.00069966
99,wood,6,0.1,9.90066,0.0006602,0.00069966
100,wood,6,0.1,10.000660000000002,0.0006602,0.00069968
101,wood,6,0.1,10.10066,0.00066018,0.00069966
102,wood,6,0.1,10.2007,0.00066016,0.00069964
103,wood,6,0.1,10.3007,0.00066018,0.00069966
104,wood,6,0.1,10.4007,0.00066016,0.00069968
105,wood,6,0.1,10.500660000000002,0.00066014,0.00069972
106,wood,6,0.1,10.60066,0.00066014,0.00069966
107,wood,6,0.1,10.70066,0.00066016,0.00069966
108,wood,6,0.1,10.8007,0.00066004,0.0006995
109,wood,6,0.1,10.90066,0.00065984,0.00069934
110,wood,6,0.1,11.000660000000002,0.00065976,0.00069936
111,wood,6,0.1,11.100700000000002,0.00065968,0.00069934
112,wood,6,0.1,11.2007,0.00065964,0.00069932
113,wood,6,0.1,11.30066,0.00065958,0.0006993
114,wood,6,0.1,11.4007,0.00065956,0.0006993
115,wood,6,0.1,11.5007,0.00065952,0.0006993
116,wood,6,0.1,11.60066,0.0006595,0.0006993
117,wood,6,0.1,11.7007,0.00065948,0.00069928
118,wood,6,0.1,11.80066,0.00065944,0.00069926
119,wood,6,0.1,11.9007,0.00065942,0.00069928
120,wood,6,0.1,12.0007,0.00065938,0.00069926
121,wood,6,0.1,12.10066,0.00065938,0.00069924
122,wood,6,0.1,12.20066,0.00065936,0.00069924
123,wood,6,0.1,12.3007,0.00065936,0.00069924
124,wood,6,0.1,12.4007,0.00065934,0.00069924
125,wood,6,0.1,12.5007,0.00065934,0.00069922
126,wood,6,0.1,12.60066,0.00065932,0.0006992
127,wood,6,0.1,12.70066,0.0006593,0.0006992
128,wood,6,0.1,12.8007,0.00065928,0.00069916
129,wood,6,0.1,12.90066,0.00065928,0.00069916
130,wood,6,0.1,13.000660000000002,0.00065926,0.00069916
131,wood,6,0.1,13.100700000000002,0.00065926,0.00069912
132,wood,6,0.1,13.2007,0.00065928,0.0006991
133,wood,6,0.1,13.30066,0.00065926,0.00069912
134,wood,6,0.1,13.4007,0.00065924,0.00069908
135,wood,6,0.1,13.500700000000002,0.00065924,0.00069908
136,wood,6,0.1,13.600700000000002,0.00065922,0.00069908
137,wood,6,0.1,13.70066,0.00065922,0.00069906
138,wood,6,0.1,13.8007,0.0006592,0.00069904
139,wood,6,0.1,13.9007,0.00065918,0.00069904
140,wood,6,0.1,14.000660000000002,0.00065918,0.00069902
141,wood,6,0.1,14.100700000000002,0.00065918,0.00069902
142,wood,6,0.1,14.2007,0.00065918,0.000699
143,wood,6,0.1,14.3007,0.00065916,0.000699
144,wood,6,0.1,14.4007,0.00065914,0.00069896
145,wood,6,0.1,14.500660000000002,0.00065916,0.00069896
146,wood,6,0.1,14.600700000000002,0.00065914,0.00069896
147,wood,6,0.1,14.70066,0.00065914,0.00069894
148,wood,6,0.1,14.8007,0.00065912,0.00069894
149,wood,6,0.1,14.900660000000002,0.00065912,0.00069892
150,wood,6,0.1,15.000700000000002,0.0006591,0.00069892
151,wood,6,0.1,15.10066,0.00065912,0.0006989
152,wood,6,0.1,15.2007,0.0006591,0.00069888
153,wood,6,0.1,15.3007,0.00065908,0.00069888
154,wood,6,0.1,15.4007,0.00065908,0.00069888
155,wood,6,0.1,15.500660000000002,0.00065908,0.00069884
156,wood,6,0.1,15.600700000000002,0.00065908,0.00069886
157,wood,6,0.1,15.7007,0.00065906,0.0006988
158,wood,6,0.1,15.80066,0.00065906,0.00069882
159,wood,6,0.1,15.9007,0.00065906,0.0006988
160,wood,6,0.1,16.00066,0.00065906,0.0006988
161,wood,6,0.1,16.1007,0.00065904,0.0006988
162,wood,6,0.1,16.2007,0.00065902,0.0006988
163,wood,6,0.1,16.30066,0.00065904,0.00069878
164,wood,6,0.1,16.4007,0.00065902,0.00069874
165,wood,6,0.1,16.500700000000002,0.00065902,0.00069874
166,wood,6,0.1,16.60066,0.00065902,0.00069876
167,wood,6,0.1,16.7007,0.000659,0.00069874
168,wood,6,0.1,16.800700000000003,0.00065898,0.00069874
169,wood,6,0.1,16.9007,0.00065898,0.0006987
170,wood,6,0.1,17.000700000000002,0.00065898,0.0006987
171,wood,6,0.1,17.1007,0.00065896,0.00069868
172,wood,6,0.1,17.2007,0.00065898,0.00069868
