index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,cu,5,,,,,,0.00938,0.00065912,0.00070002
1,cu,5,,,,,,0.10066,0.0006596,0.0006998
2,cu,5,,,,,,0.20066,0.00065958,0.0006998
3,cu,5,,,,,,0.30066,0.00065958,0.00069978
4,cu,5,,,,,,0.4007,0.00065958,0.00069976
5,cu,5,,,,,,0.50066,0.00065958,0.00069976
6,cu,5,,,,,,0.6007,0.00065956,0.00069972
7,cu,5,,,,,,0.7007000000000001,0.00065954,0.00069974
8,cu,5,,,,,,0.8007,0.00065958,0.00069972
9,cu,5,,,,,,0.9006600000000001,0.00065958,0.00069972
10,cu,5,,,,,,1.0007,0.00065958,0.00069972
11,cu,5,,,,,,1.1007,0.00065956,0.0006997
12,cu,5,,,,,,1.20066,0.00065958,0.0006997
13,cu,5,,,,,,1.3007000000000002,0.00065956,0.00069972
14,cu,5,,,,,,1.40066,0.00065954,0.0006997
15,cu,5,,,,,,1.5007,0.00065954,0.00069968
16,cu,5,,,,,,1.6006600000000002,0.00065956,0.00069966
17,cu,5,,,,,,1.7007,0.00065954,0.00069966
18,cu,5,,,,,,1.8007000000000002,0.00065954,0.00069964
19,cu,5,,,,,,1.9007,0.00065954,0.00069964
20,cu,5,,,,,,2.0007,0.00065952,0.00069964
21,cu,5,,,,,,2.10066,0.00065954,0.00069962
22,cu,5,,,,,,2.2007000000000003,0.00065954,0.00069962
23,cu,5,,,,,,2.3007,0.00065952,0.00069962
24,cu,5,,,,,,2.4007,0.00065954,0.00069964
25,cu,5,,,,,,2.5007,0.00065952,0.00069962
26,cu,5,,,,,,2.6006600000000004,0.00065954,0.0006996
27,cu,5,,,,,,2.70066,0.00065952,0.0006996
28,cu,5,,,,,,2.80066,0.00065954,0.0006996
29,cu,5,,,,,,2.9007,0.00065952,0.00069958
30,cu,5,,,,,,3.0007,0.0006595,0.00069956
31,cu,5,,,,,,3.1006600000000004,0.0006595,0.00069956
32,cu,5,,,,,,3.2007000000000003,0.0006595,0.00069954
33,cu,5,,,,,,3.3007000000000004,0.0006595,0.00069956
34,cu,5,,,,,,3.4007000000000005,0.0006595,0.00069956
35,cu,5,,,,,,3.5006600000000003,0.0006595,0.00069954
36,cu,5,,,,,,3.6006600000000004,0.00065952,0.00069956
37,cu,5,,,,,,3.700660000000001,0.00065946,0.00069954
38,cu,5,,,,,,3.8007,0.00065952,0.00069956
39,cu,5,,,,,,3.90066,0.00065948,0.00069954
40,cu,5,,,,,,4.000660000000001,0.0006595,0.00069956
41,cu,5,,,,,,4.10066,0.00065948,0.00069954
42,cu,5,,,,,,4.20066,0.0006595,0.00069952
43,cu,5,,,,,,4.300660000000001,0.0006595,0.0006995
44,cu,5,,,,,,4.4007000000000005,0.00065946,0.00069952
45,cu,5,,,,,,4.5007,0.0006595,0.00069952
46,cu,5,,,,,,4.600700000000001,0.00065944,0.00069954
47,cu,5,,,,,,4.70066,0.00065946,0.00069952
48,cu,5,,,,,,4.8007,0.00065946,0.00069952
49,cu,5,,,,,,4.90066,0.00065948,0.00069952
50,cu,5,,,,,,5.000660000000001,0.0006595,0.00069952
51,cu,5,,,,,,5.100700000000001,0.00065948,0.0006995
52,cu,5,,,,,,5.20066,0.00065948,0.0006995
53,cu,5,,,,,,5.300660000000001,0.00065946,0.0006995
54,cu,5,,,,,,5.40066,0.00065946,0.0006995
55,cu,5,,,,,,5.500660000000001,0.00065946,0.0006995
56,cu,5,,,,,,5.60066,0.00065946,0.00069952
57,cu,5,,,,,,5.70066,0.0006594,0.0006995
58,cu,5,,,,,,5.800700000000001,0.0006594,0.00069938
59,cu,5,,,,,,5.90066,0.00065928,0.00069966
60,cu,5,,,,,,6.0007,0.00065928,0.00069964
61,cu,5,,,,,,6.10066,0.00065926,0.00069966
62,cu,5,,,,,,6.2007,0.00065924,0.00069966
63,cu,5,,,,,,6.300700000000001,0.00065904,0.0006997
64,cu,5,,,,,,6.4007000000000005,0.00065904,0.00069966
