index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,graphite,5,,,,,,0.00937,0.00065914,0.00070002
1,graphite,5,,,,,,0.10067,0.00065968,0.00069992
2,graphite,5,,,,,,0.20066,0.00065966,0.00069988
3,graphite,5,,,,,,0.3007,0.00065966,0.00069988
4,graphite,5,,,,,,0.4007,0.00065968,0.00069988
5,graphite,5,,,,,,0.50066,0.00065966,0.00069986
6,graphite,5,,,,,,0.6007,0.00065968,0.00069986
7,graphite,5,,,,,,0.70066,0.00065968,0.00069984
8,graphite,5,,,,,,0.80066,0.00065966,0.00069984
9,graphite,5,,,,,,0.9006600000000001,0.00065966,0.00069984
10,graphite,5,,,,,,1.0007,0.00065968,0.00069982
11,graphite,5,,,,,,1.1006600000000002,0.00065968,0.00069984
12,graphite,5,,,,,,1.2007,0.00065968,0.0006998
13,graphite,5,,,,,,1.3007000000000002,0.00065968,0.00069978
14,graphite,5,,,,,,1.40066,0.00065968,0.0006998
15,graphite,5,,,,,,1.50066,0.0006597,0.0006998
16,graphite,5,,,,,,1.6006600000000002,0.00065968,0.0006998
17,graphite,5,,,,,,1.70066,0.00065968,0.00069978
18,graphite,5,,,,,,1.8007000000000002,0.0006597,0.00069976
19,graphite,5,,,,,,1.90066,0.00065968,0.00069978
20,graphite,5,,,,,,2.0006600000000003,0.0006597,0.00069978
21,graphite,5,,,,,,2.1007,0.00065968,0.00069972
22,graphite,5,,,,,,2.20066,0.00065968,0.00069976
23,graphite,5,,,,,,2.3007,0.00065966,0.00069974
24,graphite,5,,,,,,2.4006700000000003,0.00065966,0.00069972
25,graphite,5,,,,,,2.5006600000000003,0.00065966,0.00069972
26,graphite,5,,,,,,2.6007,0.00065962,0.00069972
27,graphite,5,,,,,,2.7007000000000003,0.00065962,0.00069972
28,graphite,5,,,,,,2.8007000000000004,0.00065964,0.00069972
29,graphite,5,,,,,,2.9007,0.0006596,0.0006997
30,graphite,5,,,,,,3.0007,0.0006596,0.0006997
31,graphite,5,,,,,,3.1006600000000004,0.00065962,0.0006997
32,graphite,5,,,,,,3.20066,0.00065962,0.0006997
33,graphite,5,,,,,,3.30066,0.0006596,0.0006997
34,graphite,5,,,,,,3.4007000000000005,0.0006596,0.00069968
35,graphite,5,,,,,,3.5006700000000004,0.0006596,0.0006997
36,graphite,5,,,,,,3.6007,0.0006596,0.00069968
37,graphite,5,,,,,,3.7007,0.0006596,0.00069964
38,graphite,5,,,,,,3.8007,0.0006596,0.00069968
39,graphite,5,,,,,,3.900700000000001,0.0006596,0.00069966
40,graphite,5,,,,,,4.000660000000001,0.0006596,0.00069966
41,graphite,5,,,,,,4.10066,0.0006596,0.0006997
42,graphite,5,,,,,,4.20066,0.0006596,0.00069966
43,graphite,5,,,,,,4.3007,0.0006596,0.00069966
44,graphite,5,,,,,,4.40066,0.00065958,0.00069964
45,graphite,5,,,,,,4.5007,0.0006596,0.00069964
46,graphite,5,,,,,,4.600700000000001,0.0006596,0.00069964
47,graphite,5,,,,,,4.7007,0.0006596,0.00069962
48,graphite,5,,,,,,4.800660000000001,0.00065962,0.00069964
49,graphite,5,,,,,,4.90066,0.0006596,0.0006996
50,graphite,5,,,,,,5.0007,0.0006596,0.00069964
51,graphite,5,,,,,,5.10067,0.00065958,0.00069964
52,graphite,5,,,,,,5.20066,0.0006596,0.0006996
53,graphite,5,,,,,,5.300660000000001,0.0006596,0.00069964
54,graphite,5,,,,,,5.40066,0.0006596,0.0006996
55,graphite,5,,,,,,5.5007,0.00065958,0.0006996
56,graphite,5,,,,,,5.600700000000001,0.0006596,0.00069958
57,graphite,5,,,,,,5.7007,0.00065962,0.00069958
58,graphite,5,,,,,,5.800660000000001,0.00065958,0.0006996
59,graphite,5,,,,,,5.9007000000000005,0.0006596,0.0006996
60,graphite,5,,,,,,6.000660000000001,0.00065958,0.0006996
61,graphite,5,,,,,,6.10066,0.00065958,0.00069956
62,graphite,5,,,,,,6.200660000000001,0.00065958,0.00069954
63,graphite,5,,,,,,6.300660000000001,0.00065964,0.00069958
64,graphite,5,,,,,,6.40066,0.00065966,0.00069958
65,graphite,5,,,,,,6.5007,0.00065966,0.0006996
66,graphite,5,,,,,,6.600700000000001,0.00065936,0.00069966
67,graphite,5,,,,,,6.700660000000001,0.00065932,0.00069964
68,graphite,5,,,,,,6.800700000000001,0.00065916,0.0006997
69,graphite,5,,,,,,6.90066,0.00065916,0.00069966
70,graphite,5,,,,,,7.0007,0.00065914,0.00069966
71,graphite,5,,,,,,7.100700000000001,0.00065908,0.00069968
72,graphite,5,,,,,,7.200660000000001,0.00065908,0.0006997
73,graphite,5,,,,,,7.300700000000002,0.00065904,0.00069968
74,graphite,5,,,,,,7.40066,0.00065904,0.00069966
75,graphite,5,,,,,,7.500700000000001,0.00065908,0.00069968
76,graphite,5,,,,,,7.6007,0.00065906,0.00069972
77,graphite,5,,,,,,7.700660000000002,0.00065904,0.0006997
78,graphite,5,,,,,,7.800700000000002,0.00065906,0.00069968
79,graphite,5,,,,,,7.9007,0.00065902,0.00069968
80,graphite,5,,,,,,8.00066,0.000659,0.0006997
81,graphite,5,,,,,,8.100660000000001,0.00065902,0.0006997
82,graphite,5,,,,,,8.200700000000001,0.00065902,0.0006997
83,graphite,5,,,,,,8.3007,0.00065892,0.0006996
