index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,ti,6,,,,,,0.00933,0.00065988,0.00069968
1,ti,6,,,,,,0.1007,0.00065926,0.0006997
2,ti,6,,,,,,0.20066,0.00065926,0.00069968
3,ti,6,,,,,,0.3007,0.00065924,0.0006997
4,ti,6,,,,,,0.4007,0.00065926,0.00069964
5,ti,6,,,,,,0.5007,0.00065924,0.00069966
6,ti,6,,,,,,0.6007,0.00065924,0.00069966
7,ti,6,,,,,,0.7007000000000001,0.00065924,0.00069964
8,ti,6,,,,,,0.8007,0.00065924,0.00069966
9,ti,6,,,,,,0.9006600000000001,0.00065924,0.00069966
10,ti,6,,,,,,1.0007,0.00065922,0.00069964
11,ti,6,,,,,,1.1006600000000002,0.00065924,0.00069968
12,ti,6,,,,,,1.2007,0.00065924,0.00069964
13,ti,6,,,,,,1.3007000000000002,0.00065922,0.00069962
14,ti,6,,,,,,1.4007,0.0006592,0.00069964
15,ti,6,,,,,,1.50066,0.00065922,0.0006996
16,ti,6,,,,,,1.6007000000000002,0.00065922,0.0006996
17,ti,6,,,,,,1.7007,0.00065922,0.0006996
18,ti,6,,,,,,1.8007000000000002,0.00065922,0.0006996
19,ti,6,,,,,,1.90066,0.0006592,0.0006996
20,ti,6,,,,,,2.0006600000000003,0.00065922,0.00069962
21,ti,6,,,,,,2.10066,0.00065922,0.0006996
22,ti,6,,,,,,2.20066,0.00065918,0.00069958
23,ti,6,,,,,,2.30066,0.00065922,0.0006996
24,ti,6,,,,,,2.4007,0.00065922,0.00069958
25,ti,6,,,,,,2.5007,0.00065922,0.00069958
26,ti,6,,,,,,2.6006600000000004,0.00065922,0.0006996
27,ti,6,,,,,,2.70066,0.00065922,0.00069958
28,ti,6,,,,,,2.8007000000000004,0.00065922,0.0006996
29,ti,6,,,,,,2.9007,0.00065924,0.00069958
30,ti,6,,,,,,3.0007,0.0006592,0.00069958
31,ti,6,,,,,,3.1007,0.00065922,0.00069958
32,ti,6,,,,,,3.2007000000000003,0.00065922,0.00069958
33,ti,6,,,,,,3.3007000000000004,0.00065922,0.00069958
34,ti,6,,,,,,3.4007000000000005,0.00065924,0.00069958
35,ti,6,,,,,,3.5007,0.00065922,0.00069956
36,ti,6,,,,,,3.6007,0.00065922,0.00069958
37,ti,6,,,,,,3.7007,0.00065922,0.00069958
38,ti,6,,,,,,3.80066,0.00065918,0.00069958
39,ti,6,,,,,,3.90066,0.00065922,0.00069956
40,ti,6,,,,,,4.0007,0.00065924,0.00069956
41,ti,6,,,,,,4.100700000000001,0.00065922,0.00069956
42,ti,6,,,,,,4.2007,0.0006592,0.00069958
43,ti,6,,,,,,4.300660000000001,0.00065918,0.00069958
44,ti,6,,,,,,4.40066,0.00065922,0.00069956
45,ti,6,,,,,,4.500660000000001,0.00065922,0.00069956
46,ti,6,,,,,,4.600700000000001,0.00065924,0.00069956
47,ti,6,,,,,,4.7007,0.00065922,0.00069956
48,ti,6,,,,,,4.8007,0.00065922,0.00069956
49,ti,6,,,,,,4.90066,0.00065922,0.00069956
50,ti,6,,,,,,5.000660000000001,0.00065924,0.00069956
51,ti,6,,,,,,5.100700000000001,0.00065924,0.00069958
52,ti,6,,,,,,5.2007,0.00065922,0.00069956
53,ti,6,,,,,,5.300700000000001,0.00065924,0.00069956
54,ti,6,,,,,,5.40066,0.00065922,0.00069956
55,ti,6,,,,,,5.5007,0.00065924,0.00069956
56,ti,6,,,,,,5.600700000000001,0.00065924,0.00069956
57,ti,6,,,,,,5.7007,0.00065924,0.00069954
58,ti,6,,,,,,5.800700000000001,0.00065926,0.00069952
59,ti,6,,,,,,5.9007000000000005,0.00065924,0.00069952
60,ti,6,,,,,,6.000660000000001,0.00065928,0.0006996
61,ti,6,,,,,,6.100700000000001,0.00065926,0.00069958
62,ti,6,,,,,,6.2007,0.00065916,0.00069946
63,ti,6,,,,,,6.300700000000001,0.00065922,0.00069946
64,ti,6,,,,,,6.4007000000000005,0.00065916,0.00069968
65,ti,6,,,,,,6.5007,0.0006592,0.00069986
66,ti,6,,,,,,6.600700000000001,0.00065924,0.0006999
67,ti,6,,,,,,6.7007,0.00065926,0.00069988
68,ti,6,,,,,,6.800700000000001,0.0006592,0.00069992
69,ti,6,,,,,,6.9007000000000005,0.00065908,0.00069992
70,ti,6,,,,,,7.000660000000001,0.00065908,0.0006999
