index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,aluminum,1,215.0,1.0,1.0,2700.0,897.0,0.00937,0.0006593,0.00069754
1,aluminum,1,215.0,1.0,1.0,2700.0,897.0,0.1007,0.00065936,0.00069732
2,aluminum,1,215.0,1.0,1.0,2700.0,897.0,0.20066,0.00065936,0.0006973
3,aluminum,1,215.0,1.0,1.0,2700.0,897.0,0.3007,0.00065936,0.0006973
4,aluminum,1,215.0,1.0,1.0,2700.0,897.0,0.40066,0.00065936,0.00069728
5,aluminum,1,215.0,1.0,1.0,2700.0,897.0,0.50066,0.00065936,0.00069728
6,aluminum,1,215.0,1.0,1.0,2700.0,897.0,0.60066,0.00065936,0.00069728
7,aluminum,1,215.0,1.0,1.0,2700.0,897.0,0.70066,0.00065936,0.00069728
8,aluminum,1,215.0,1.0,1.0,2700.0,897.0,0.8007,0.00065936,0.00069726
9,aluminum,1,215.0,1.0,1.0,2700.0,897.0,0.9006600000000001,0.00065936,0.00069728
10,aluminum,1,215.0,1.0,1.0,2700.0,897.0,1.0007,0.00065936,0.00069728
11,aluminum,1,215.0,1.0,1.0,2700.0,897.0,1.1007,0.00065932,0.00069726
12,aluminum,1,215.0,1.0,1.0,2700.0,897.0,1.20066,0.00065932,0.00069726
13,aluminum,1,215.0,1.0,1.0,2700.0,897.0,1.3006700000000002,0.00065932,0.00069726
14,aluminum,1,215.0,1.0,1.0,2700.0,897.0,1.40066,0.00065936,0.00069728
15,aluminum,1,215.0,1.0,1.0,2700.0,897.0,1.5006700000000002,0.00065934,0.00069728
16,aluminum,1,215.0,1.0,1.0,2700.0,897.0,1.60071,0.00065934,0.00069726
17,aluminum,1,215.0,1.0,1.0,2700.0,897.0,1.7007,0.00065934,0.00069726
18,aluminum,1,215.0,1.0,1.0,2700.0,897.0,1.8007000000000002,0.00065934,0.00069726
19,aluminum,1,215.0,1.0,1.0,2700.0,897.0,1.9007,0.00065934,0.00069726
20,aluminum,1,215.0,1.0,1.0,2700.0,897.0,2.0007,0.00065932,0.00069726
21,aluminum,1,215.0,1.0,1.0,2700.0,897.0,2.1007,0.00065936,0.00069728
22,aluminum,1,215.0,1.0,1.0,2700.0,897.0,2.2007000000000003,0.00065934,0.00069728
23,aluminum,1,215.0,1.0,1.0,2700.0,897.0,2.3007,0.00065934,0.00069726
24,aluminum,1,215.0,1.0,1.0,2700.0,897.0,2.4007,0.00065936,0.00069728
25,aluminum,1,215.0,1.0,1.0,2700.0,897.0,2.5007,0.00065936,0.00069726
26,aluminum,1,215.0,1.0,1.0,2700.0,897.0,2.6007,0.00065934,0.00069728
27,aluminum,1,215.0,1.0,1.0,2700.0,897.0,2.7007000000000003,0.00065934,0.00069726
28,aluminum,1,215.0,1.0,1.0,2700.0,897.0,2.80066,0.00065936,0.00069726
29,aluminum,1,215.0,1.0,1.0,2700.0,897.0,2.90066,0.00065934,0.00069726
30,aluminum,1,215.0,1.0,1.0,2700.0,897.0,3.0007,0.00065936,0.00069728
31,aluminum,1,215.0,1.0,1.0,2700.0,897.0,3.1006600000000004,0.00065936,0.00069728
32,aluminum,1,215.0,1.0,1.0,2700.0,897.0,3.2007000000000003,0.00065934,0.00069722
33,aluminum,1,215.0,1.0,1.0,2700.0,897.0,3.30066,0.00065934,0.00069726
34,aluminum,1,215.0,1.0,1.0,2700.0,897.0,3.40066,0.00065936,0.00069726
35,aluminum,1,215.0,1.0,1.0,2700.0,897.0,3.5006600000000003,0.00065934,0.00069726
36,aluminum,1,215.0,1.0,1.0,2700.0,897.0,3.6006600000000004,0.00065934,0.00069726
37,aluminum,1,215.0,1.0,1.0,2700.0,897.0,3.7007,0.00065936,0.00069726
38,aluminum,1,215.0,1.0,1.0,2700.0,897.0,3.80067,0.00065936,0.00069726
39,aluminum,1,215.0,1.0,1.0,2700.0,897.0,3.90066,0.00065936,0.00069728
40,aluminum,1,215.0,1.0,1.0,2700.0,897.0,4.000660000000001,0.00065934,0.00069726
41,aluminum,1,215.0,1.0,1.0,2700.0,897.0,4.10071,0.00065934,0.00069726
42,aluminum,1,215.0,1.0,1.0,2700.0,897.0,4.200670000000001,0.00065936,0.00069726
43,aluminum,1,215.0,1.0,1.0,2700.0,897.0,4.3007100000000005,0.00065932,0.00069728
44,aluminum,1,215.0,1.0,1.0,2700.0,897.0,4.40066,0.00065934,0.00069726
45,aluminum,1,215.0,1.0,1.0,2700.0,897.0,4.500660000000001,0.00065934,0.00069728
46,aluminum,1,215.0,1.0,1.0,2700.0,897.0,4.600700000000001,0.00065936,0.00069728
47,aluminum,1,215.0,1.0,1.0,2700.0,897.0,4.70066,0.00065936,0.0006973
48,aluminum,1,215.0,1.0,1.0,2700.0,897.0,4.800660000000001,0.00065936,0.00069728
49,aluminum,1,215.0,1.0,1.0,2700.0,897.0,4.9007000000000005,0.00065936,0.00069726
50,aluminum,1,215.0,1.0,1.0,2700.0,897.0,5.0007,0.00065936,0.00069728
51,aluminum,1,215.0,1.0,1.0,2700.0,897.0,5.10066,0.00065936,0.00069732
52,aluminum,1,215.0,1.0,1.0,2700.0,897.0,5.20066,0.00065936,0.00069732
53,aluminum,1,215.0,1.0,1.0,2700.0,897.0,5.300700000000001,0.00065936,0.00069728
54,aluminum,1,215.0,1.0,1.0,2700.0,897.0,5.4007000000000005,0.00065936,0.00069728
55,aluminum,1,215.0,1.0,1.0,2700.0,897.0,5.5007,0.00065936,0.00069728
