index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,bismuth,3,7.92,1.0,1.0,9800.0,130.0,0.00931,0.00065846,0.00069632
1,bismuth,3,7.92,1.0,1.0,9800.0,130.0,0.1007,0.00065822,0.00069642
2,bismuth,3,7.92,1.0,1.0,9800.0,130.0,0.2007,0.00065822,0.00069642
3,bismuth,3,7.92,1.0,1.0,9800.0,130.0,0.3007,0.00065822,0.0006964
4,bismuth,3,7.92,1.0,1.0,9800.0,130.0,0.4007,0.00065822,0.0006964
5,bismuth,3,7.92,1.0,1.0,9800.0,130.0,0.5007,0.0006582,0.0006964
6,bismuth,3,7.92,1.0,1.0,9800.0,130.0,0.6007,0.00065818,0.0006964
7,bismuth,3,7.92,1.0,1.0,9800.0,130.0,0.7007000000000001,0.0006582,0.0006964
8,bismuth,3,7.92,1.0,1.0,9800.0,130.0,0.8007,0.00065822,0.00069638
9,bismuth,3,7.92,1.0,1.0,9800.0,130.0,0.9007,0.0006582,0.0006964
10,bismuth,3,7.92,1.0,1.0,9800.0,130.0,1.0007,0.0006582,0.00069636
11,bismuth,3,7.92,1.0,1.0,9800.0,130.0,1.1006600000000002,0.0006582,0.00069638
12,bismuth,3,7.92,1.0,1.0,9800.0,130.0,1.2007,0.0006582,0.00069636
13,bismuth,3,7.92,1.0,1.0,9800.0,130.0,1.3007000000000002,0.0006582,0.0006964
14,bismuth,3,7.92,1.0,1.0,9800.0,130.0,1.4007,0.0006582,0.00069636
15,bismuth,3,7.92,1.0,1.0,9800.0,130.0,1.50066,0.0006582,0.00069638
16,bismuth,3,7.92,1.0,1.0,9800.0,130.0,1.6007000000000002,0.00065822,0.00069636
17,bismuth,3,7.92,1.0,1.0,9800.0,130.0,1.7007,0.00065822,0.00069636
18,bismuth,3,7.92,1.0,1.0,9800.0,130.0,1.8006600000000001,0.0006582,0.00069636
19,bismuth,3,7.92,1.0,1.0,9800.0,130.0,1.9007,0.00065822,0.00069636
20,bismuth,3,7.92,1.0,1.0,9800.0,130.0,2.0007,0.00065824,0.00069638
21,bismuth,3,7.92,1.0,1.0,9800.0,130.0,2.1007,0.00065822,0.00069636
22,bismuth,3,7.92,1.0,1.0,9800.0,130.0,2.20066,0.00065822,0.00069632
