index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,iron,3,77.5,1.0,1.0,7860.0,449.0,0.00937,0.0006578,0.0006955
1,iron,3,77.5,1.0,1.0,7860.0,449.0,0.10067,0.0006576,0.0006957
2,iron,3,77.5,1.0,1.0,7860.0,449.0,0.2007,0.0006576,0.00069568
3,iron,3,77.5,1.0,1.0,7860.0,449.0,0.3007,0.0006576,0.00069564
4,iron,3,77.5,1.0,1.0,7860.0,449.0,0.40066,0.00065758,0.00069564
5,iron,3,77.5,1.0,1.0,7860.0,449.0,0.5007,0.0006576,0.00069564
6,iron,3,77.5,1.0,1.0,7860.0,449.0,0.6007,0.00065762,0.0006956
7,iron,3,77.5,1.0,1.0,7860.0,449.0,0.70066,0.0006576,0.00069566
8,iron,3,77.5,1.0,1.0,7860.0,449.0,0.8007,0.00065758,0.00069564
9,iron,3,77.5,1.0,1.0,7860.0,449.0,0.9006600000000001,0.0006576,0.00069564
10,iron,3,77.5,1.0,1.0,7860.0,449.0,1.00066,0.0006576,0.00069566
11,iron,3,77.5,1.0,1.0,7860.0,449.0,1.1006600000000002,0.0006576,0.00069562
12,iron,3,77.5,1.0,1.0,7860.0,449.0,1.20066,0.0006576,0.00069562
13,iron,3,77.5,1.0,1.0,7860.0,449.0,1.3006600000000001,0.0006576,0.00069562
14,iron,3,77.5,1.0,1.0,7860.0,449.0,1.40066,0.0006576,0.00069564
15,iron,3,77.5,1.0,1.0,7860.0,449.0,1.5007,0.00065758,0.00069564
16,iron,3,77.5,1.0,1.0,7860.0,449.0,1.6006600000000002,0.00065762,0.00069566
17,iron,3,77.5,1.0,1.0,7860.0,449.0,1.70066,0.0006576,0.00069564
18,iron,3,77.5,1.0,1.0,7860.0,449.0,1.8006600000000001,0.00065758,0.00069562
19,iron,3,77.5,1.0,1.0,7860.0,449.0,1.9007,0.00065762,0.00069566
20,iron,3,77.5,1.0,1.0,7860.0,449.0,2.0006600000000003,0.0006576,0.00069568
21,iron,3,77.5,1.0,1.0,7860.0,449.0,2.1007,0.0006576,0.00069566
22,iron,3,77.5,1.0,1.0,7860.0,449.0,2.20066,0.0006576,0.00069564
23,iron,3,77.5,1.0,1.0,7860.0,449.0,2.30066,0.0006576,0.00069566
24,iron,3,77.5,1.0,1.0,7860.0,449.0,2.40066,0.00065762,0.00069564
25,iron,3,77.5,1.0,1.0,7860.0,449.0,2.5007,0.00065762,0.00069566
