index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,nickel,5,90.9,1.0,1.0,8900.0,461.0,0.00937,0.00066014,0.0006992
1,nickel,5,90.9,1.0,1.0,8900.0,461.0,0.1007,0.0006601,0.00069922
2,nickel,5,90.9,1.0,1.0,8900.0,461.0,0.20066,0.00066006,0.00069922
3,nickel,5,90.9,1.0,1.0,8900.0,461.0,0.30066,0.00066004,0.00069922
4,nickel,5,90.9,1.0,1.0,8900.0,461.0,0.4007,0.00066006,0.00069918
5,nickel,5,90.9,1.0,1.0,8900.0,461.0,0.5007,0.00066006,0.00069918
6,nickel,5,90.9,1.0,1.0,8900.0,461.0,0.6007,0.00066006,0.00069916
7,nickel,5,90.9,1.0,1.0,8900.0,461.0,0.7007000000000001,0.00066002,0.00069918
8,nickel,5,90.9,1.0,1.0,8900.0,461.0,0.80066,0.00066004,0.00069916
9,nickel,5,90.9,1.0,1.0,8900.0,461.0,0.9007,0.00066004,0.00069916
10,nickel,5,90.9,1.0,1.0,8900.0,461.0,1.00066,0.00066004,0.00069914
11,nickel,5,90.9,1.0,1.0,8900.0,461.0,1.1007,0.00066006,0.00069914
12,nickel,5,90.9,1.0,1.0,8900.0,461.0,1.2007,0.00066002,0.00069914
13,nickel,5,90.9,1.0,1.0,8900.0,461.0,1.3006600000000001,0.00066002,0.00069912
14,nickel,5,90.9,1.0,1.0,8900.0,461.0,1.4007,0.00066004,0.00069914
15,nickel,5,90.9,1.0,1.0,8900.0,461.0,1.50066,0.00066002,0.00069914
16,nickel,5,90.9,1.0,1.0,8900.0,461.0,1.6007000000000002,0.00066006,0.00069912
17,nickel,5,90.9,1.0,1.0,8900.0,461.0,1.7007,0.00066006,0.0006991
18,nickel,5,90.9,1.0,1.0,8900.0,461.0,1.8006600000000001,0.00066002,0.00069912
19,nickel,5,90.9,1.0,1.0,8900.0,461.0,1.9007,0.00066004,0.0006991
20,nickel,5,90.9,1.0,1.0,8900.0,461.0,2.0007,0.00066002,0.00069908
21,nickel,5,90.9,1.0,1.0,8900.0,461.0,2.10066,0.00066,0.0006991
22,nickel,5,90.9,1.0,1.0,8900.0,461.0,2.2007000000000003,0.00066002,0.0006991
23,nickel,5,90.9,1.0,1.0,8900.0,461.0,2.3007,0.00066002,0.00069908
24,nickel,5,90.9,1.0,1.0,8900.0,461.0,2.40066,0.00066004,0.0006991
25,nickel,5,90.9,1.0,1.0,8900.0,461.0,2.5006600000000003,0.00066002,0.00069908
26,nickel,5,90.9,1.0,1.0,8900.0,461.0,2.6007,0.00066002,0.00069908
27,nickel,5,90.9,1.0,1.0,8900.0,461.0,2.70066,0.00066,0.00069908
28,nickel,5,90.9,1.0,1.0,8900.0,461.0,2.80066,0.00066004,0.00069908
29,nickel,5,90.9,1.0,1.0,8900.0,461.0,2.9007,0.00066002,0.00069908
30,nickel,5,90.9,1.0,1.0,8900.0,461.0,3.0006600000000003,0.00066002,0.0006991
31,nickel,5,90.9,1.0,1.0,8900.0,461.0,3.1007,0.00066,0.00069908
32,nickel,5,90.9,1.0,1.0,8900.0,461.0,3.2007000000000003,0.00066002,0.00069908
33,nickel,5,90.9,1.0,1.0,8900.0,461.0,3.3007000000000004,0.00066002,0.00069906
34,nickel,5,90.9,1.0,1.0,8900.0,461.0,3.40066,0.00066002,0.00069908
35,nickel,5,90.9,1.0,1.0,8900.0,461.0,3.5007,0.00066002,0.00069908
36,nickel,5,90.9,1.0,1.0,8900.0,461.0,3.6006600000000004,0.00066002,0.00069906
37,nickel,5,90.9,1.0,1.0,8900.0,461.0,3.7007,0.00066,0.00069908
