index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,0.00928,0.0006616,0.00070126
1,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,0.10071,0.00066166,0.00070118
2,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,0.2007,0.00066166,0.00070116
3,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,0.30066,0.00066166,0.00070116
4,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,0.40066,0.00066164,0.00070116
5,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,0.5007,0.00066162,0.00070112
6,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,0.6007,0.00066164,0.00070112
7,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,0.70066,0.00066162,0.00070112
8,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,0.8007,0.0006616,0.00070112
9,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,0.9006600000000001,0.0006616,0.0007011
10,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,1.00066,0.0006616,0.00070108
11,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,1.1006600000000002,0.00066158,0.0007011
12,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,1.20066,0.00066156,0.00070108
13,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,1.3006600000000001,0.0006616,0.00070108
14,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,1.4007,0.0006616,0.00070108
15,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,1.5007,0.00066158,0.00070106
16,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,1.6007000000000002,0.00066156,0.00070108
17,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,1.7007,0.00066156,0.00070106
18,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,1.8007000000000002,0.0006616,0.00070106
19,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,1.9007,0.0006616,0.00070104
20,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,2.0007,0.00066156,0.00070106
21,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,2.10066,0.00066156,0.00070102
22,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,2.2007000000000003,0.00066156,0.00070104
23,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,2.30066,0.00066156,0.00070102
24,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,2.40066,0.00066156,0.00070104
25,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,2.5006700000000004,0.00066152,0.00070102
26,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,2.6007,0.00066158,0.00070104
27,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,2.7007000000000003,0.00066154,0.00070102
28,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,2.80066,0.00066154,0.00070102
29,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,2.9007,0.00066154,0.00070102
30,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,3.0007,0.00066152,0.00070098
31,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,3.1006600000000004,0.00066152,0.000701
32,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,3.2007000000000003,0.00066152,0.000701
33,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,3.3007000000000004,0.00066152,0.00070102
34,ps_foam,4,0.034,1.0,1.0,30.0,1400.0,3.40066,0.00066152,0.00070098
