index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,0.00934,0.00066084,0.00069944
1,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,0.1007,0.00066074,0.00069976
2,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,0.2007,0.00066072,0.00069974
3,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,0.30066,0.00066072,0.00069974
4,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,0.4007,0.0006607,0.00069972
5,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,0.5007,0.0006607,0.00069968
6,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,0.6007,0.00066072,0.00069968
7,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,0.7007000000000001,0.00066066,0.00069968
8,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,0.80066,0.00066066,0.00069968
9,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,0.9007,0.00066066,0.00069968
10,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,1.00066,0.0006607,0.00069968
11,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,1.1006600000000002,0.00066068,0.00069968
12,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,1.20066,0.00066064,0.0006997
13,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,1.3007000000000002,0.0006607,0.00069968
14,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,1.40066,0.00066066,0.00069972
15,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,1.50066,0.00066066,0.0006997
16,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,1.6006600000000002,0.00066066,0.00069972
17,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,1.7007,0.00066064,0.00069966
18,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,1.8007000000000002,0.00066066,0.00069968
19,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,1.9007,0.00066064,0.00069968
20,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,2.00067,0.00066066,0.00069966
21,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,2.1007,0.00066066,0.00069966
22,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,2.20066,0.00066066,0.00069962
23,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,2.30066,0.00066064,0.0006996
24,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,2.4007,0.00066066,0.0006996
25,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,2.5007,0.00066066,0.0006996
26,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,2.6006600000000004,0.00066066,0.0006996
27,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,2.70066,0.00066068,0.0006996
28,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,2.8007000000000004,0.00066066,0.0006996
29,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,2.90066,0.0006607,0.00069962
30,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,3.0007,0.00066064,0.00069956
31,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,3.1007,0.00066062,0.00069952
32,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,3.20066,0.00066052,0.00069954
33,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,3.30066,0.00066044,0.00069954
34,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,3.4007000000000005,0.00066044,0.00069958
35,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,3.5007,0.00066046,0.00069952
36,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,3.6006600000000004,0.00066054,0.0006994
37,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,3.7007,0.00066054,0.0006994
38,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,3.80066,0.00066054,0.00069938
39,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,3.90066,0.00066054,0.00069936
40,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,4.0007,0.00066056,0.00069936
41,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,4.100700000000001,0.00066052,0.00069936
42,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,4.2007,0.00066052,0.00069932
43,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,4.3007,0.00066052,0.0006993
44,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,4.4007000000000005,0.00066052,0.0006993
45,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,4.5007,0.00066048,0.0006993
46,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,4.600700000000001,0.0006605,0.00069932
47,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,4.70066,0.0006605,0.0006993
48,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,4.800660000000001,0.0006605,0.00069928
49,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,4.9007000000000005,0.0006605,0.00069928
50,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,5.0007,0.0006605,0.00069928
51,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,5.100700000000001,0.0006605,0.00069924
52,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,5.20066,0.0006605,0.00069928
53,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,5.300660000000001,0.0006605,0.00069924
54,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,5.4007000000000005,0.0006605,0.00069926
55,pu_foam,5,0.043,1.0,1.0,30.0,1400.0,5.5007,0.0006605,0.00069922
