index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,titanium,4,21.9,1.0,1.0,4500.0,523.0,0.00929,0.00066018,0.00069938
1,titanium,4,21.9,1.0,1.0,4500.0,523.0,0.1007,0.0006603,0.00069938
2,titanium,4,21.9,1.0,1.0,4500.0,523.0,0.2007,0.0006603,0.00069938
3,titanium,4,21.9,1.0,1.0,4500.0,523.0,0.30066,0.00066028,0.00069942
4,titanium,4,21.9,1.0,1.0,4500.0,523.0,0.40066,0.0006603,0.00069938
5,titanium,4,21.9,1.0,1.0,4500.0,523.0,0.5007,0.0006603,0.00069936
6,titanium,4,21.9,1.0,1.0,4500.0,523.0,0.6007,0.0006603,0.00069938
7,titanium,4,21.9,1.0,1.0,4500.0,523.0,0.70066,0.00066028,0.00069936
8,titanium,4,21.9,1.0,1.0,4500.0,523.0,0.80066,0.0006603,0.00069936
9,titanium,4,21.9,1.0,1.0,4500.0,523.0,0.9007,0.00066028,0.00069936
10,titanium,4,21.9,1.0,1.0,4500.0,523.0,1.0007,0.0006603,0.00069936
11,titanium,4,21.9,1.0,1.0,4500.0,523.0,1.1006600000000002,0.00066032,0.00069936
12,titanium,4,21.9,1.0,1.0,4500.0,523.0,1.2007,0.00066032,0.00069934
13,titanium,4,21.9,1.0,1.0,4500.0,523.0,1.3007000000000002,0.0006603,0.00069932
14,titanium,4,21.9,1.0,1.0,4500.0,523.0,1.40067,0.0006603,0.00069932
15,titanium,4,21.9,1.0,1.0,4500.0,523.0,1.5007,0.0006603,0.00069932
16,titanium,4,21.9,1.0,1.0,4500.0,523.0,1.6006600000000002,0.0006603,0.0006993
17,titanium,4,21.9,1.0,1.0,4500.0,523.0,1.70066,0.0006603,0.00069932
18,titanium,4,21.9,1.0,1.0,4500.0,523.0,1.8007000000000002,0.0006603,0.00069928
19,titanium,4,21.9,1.0,1.0,4500.0,523.0,1.90066,0.00066032,0.00069928
20,titanium,4,21.9,1.0,1.0,4500.0,523.0,2.0007,0.0006603,0.0006993
21,titanium,4,21.9,1.0,1.0,4500.0,523.0,2.10066,0.00066032,0.00069932
22,titanium,4,21.9,1.0,1.0,4500.0,523.0,2.20066,0.0006603,0.0006993
23,titanium,4,21.9,1.0,1.0,4500.0,523.0,2.30066,0.0006603,0.0006993
24,titanium,4,21.9,1.0,1.0,4500.0,523.0,2.4007,0.00066032,0.00069928
25,titanium,4,21.9,1.0,1.0,4500.0,523.0,2.5006600000000003,0.00066032,0.0006993
26,titanium,4,21.9,1.0,1.0,4500.0,523.0,2.6007,0.00066028,0.00069928
27,titanium,4,21.9,1.0,1.0,4500.0,523.0,2.70066,0.00066028,0.00069926
28,titanium,4,21.9,1.0,1.0,4500.0,523.0,2.80066,0.00066026,0.00069928
29,titanium,4,21.9,1.0,1.0,4500.0,523.0,2.90066,0.00066028,0.00069928
30,titanium,4,21.9,1.0,1.0,4500.0,523.0,3.0006600000000003,0.00066028,0.00069926
31,titanium,4,21.9,1.0,1.0,4500.0,523.0,3.10067,0.00066028,0.00069926
32,titanium,4,21.9,1.0,1.0,4500.0,523.0,3.2007000000000003,0.0006603,0.00069928
33,titanium,4,21.9,1.0,1.0,4500.0,523.0,3.30067,0.00066028,0.00069926
34,titanium,4,21.9,1.0,1.0,4500.0,523.0,3.4007000000000005,0.0006603,0.00069926
