index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,cement,6,,,,,,0.00932,0.00066074,0.0006989
1,cement,6,,,,,,0.1007,0.00066042,0.00069902
2,cement,6,,,,,,0.20066,0.00066038,0.00069898
3,cement,6,,,,,,0.30066,0.00066042,0.000699
4,cement,6,,,,,,0.4007,0.00066038,0.00069898
5,cement,6,,,,,,0.5007,0.00066036,0.00069898
6,cement,6,,,,,,0.6007,0.00066038,0.00069894
7,cement,6,,,,,,0.70066,0.00066038,0.00069892
8,cement,6,,,,,,0.8007,0.00066038,0.00069892
9,cement,6,,,,,,0.9006600000000001,0.00066036,0.00069892
10,cement,6,,,,,,1.00066,0.00066036,0.00069892
11,cement,6,,,,,,1.1007,0.00066036,0.00069888
12,cement,6,,,,,,1.20066,0.00066034,0.00069888
13,cement,6,,,,,,1.3006600000000001,0.00066036,0.00069888
14,cement,6,,,,,,1.40066,0.00066032,0.00069888
15,cement,6,,,,,,1.5006700000000002,0.00066032,0.00069888
16,cement,6,,,,,,1.6007000000000002,0.0006603,0.00069886
17,cement,6,,,,,,1.7007,0.0006603,0.00069886
18,cement,6,,,,,,1.8007000000000002,0.0006603,0.00069886
19,cement,6,,,,,,1.90066,0.0006603,0.00069886
20,cement,6,,,,,,2.0006600000000003,0.0006603,0.00069886
21,cement,6,,,,,,2.10066,0.0006603,0.00069886
22,cement,6,,,,,,2.20066,0.0006603,0.0006988
23,cement,6,,,,,,2.3007,0.00066032,0.00069876
24,cement,6,,,,,,2.40066,0.0006603,0.00069884
25,cement,6,,,,,,2.5006600000000003,0.0006603,0.0006988
26,cement,6,,,,,,2.6006600000000004,0.00066026,0.00069892
27,cement,6,,,,,,2.7007000000000003,0.0006603,0.00069886
28,cement,6,,,,,,2.8007000000000004,0.00066032,0.00069888
29,cement,6,,,,,,2.90066,0.00066032,0.00069886
30,cement,6,,,,,,3.0007,0.00066032,0.00069886
31,cement,6,,,,,,3.1007,0.0006603,0.00069888
32,cement,6,,,,,,3.2007000000000003,0.0006603,0.00069884
33,cement,6,,,,,,3.3007000000000004,0.0006603,0.00069886
34,cement,6,,,,,,3.40066,0.0006603,0.00069884
35,cement,6,,,,,,3.5007,0.0006603,0.00069884
36,cement,6,,,,,,3.6007,0.00066032,0.00069884
37,cement,6,,,,,,3.700660000000001,0.00066032,0.00069886
38,cement,6,,,,,,3.80066,0.0006603,0.00069884
39,cement,6,,,,,,3.90071,0.00066026,0.00069886
40,cement,6,,,,,,4.0007,0.00066028,0.00069884
41,cement,6,,,,,,4.100700000000001,0.0006603,0.00069886
42,cement,6,,,,,,4.2007,0.00066028,0.00069884
43,cement,6,,,,,,4.3007,0.0006603,0.00069884
44,cement,6,,,,,,4.40066,0.0006603,0.00069884
45,cement,6,,,,,,4.500660000000001,0.00066028,0.00069882
46,cement,6,,,,,,4.600700000000001,0.00066028,0.00069882
47,cement,6,,,,,,4.7007,0.0006603,0.0006988
48,cement,6,,,,,,4.800660000000001,0.0006603,0.00069878
49,cement,6,,,,,,4.9007000000000005,0.00066032,0.00069882
50,cement,6,,,,,,5.0007,0.0006603,0.00069878
51,cement,6,,,,,,5.100700000000001,0.0006603,0.00069878
52,cement,6,,,,,,5.2007,0.00066028,0.00069878
53,cement,6,,,,,,5.300700000000001,0.00066032,0.00069878
54,cement,6,,,,,,5.40066,0.00066032,0.00069876
55,cement,6,,,,,,5.5007,0.00066032,0.00069876
56,cement,6,,,,,,5.600700000000001,0.00066032,0.00069878
57,cement,6,,,,,,5.70066,0.00066032,0.00069878
58,cement,6,,,,,,5.80067,0.00066032,0.0006988
59,cement,6,,,,,,5.90066,0.00066034,0.00069878
60,cement,6,,,,,,6.000660000000001,0.00066034,0.00069878
61,cement,6,,,,,,6.10066,0.00066034,0.0006988
62,cement,6,,,,,,6.2007,0.00066032,0.0006988
63,cement,6,,,,,,6.30067,0.00066032,0.00069878
64,cement,6,,,,,,6.4007000000000005,0.00066036,0.0006988
65,cement,6,,,,,,6.5007,0.00066032,0.0006988
66,cement,6,,,,,,6.60066,0.00066032,0.0006988
67,cement,6,,,,,,6.700660000000001,0.00066034,0.00069882
68,cement,6,,,,,,6.800700000000001,0.00066028,0.00069906
69,cement,6,,,,,,6.9007000000000005,0.0006603,0.00069904
70,cement,6,,,,,,7.0007,0.00066028,0.00069906
71,cement,6,,,,,,7.10066,0.00066024,0.00069906
