index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,fe,4,,,,,,0.00936,0.00066068,0.00069974
1,fe,4,,,,,,0.1007,0.00066104,0.00069964
2,fe,4,,,,,,0.2007,0.00066104,0.00069962
3,fe,4,,,,,,0.30066,0.00066108,0.0006996
4,fe,4,,,,,,0.4007,0.00066106,0.00069958
5,fe,4,,,,,,0.50066,0.00066104,0.00069956
6,fe,4,,,,,,0.6007,0.00066104,0.00069958
7,fe,4,,,,,,0.7007000000000001,0.00066106,0.00069956
8,fe,4,,,,,,0.8007,0.00066108,0.00069956
9,fe,4,,,,,,0.9007,0.00066106,0.00069954
10,fe,4,,,,,,1.00066,0.00066106,0.00069956
11,fe,4,,,,,,1.1007,0.00066106,0.00069954
12,fe,4,,,,,,1.2007,0.00066106,0.00069956
13,fe,4,,,,,,1.3006600000000001,0.00066104,0.00069954
14,fe,4,,,,,,1.40066,0.00066106,0.00069952
15,fe,4,,,,,,1.50066,0.00066104,0.00069956
16,fe,4,,,,,,1.6007000000000002,0.00066102,0.00069952
17,fe,4,,,,,,1.7007,0.00066104,0.00069952
18,fe,4,,,,,,1.8006600000000001,0.00066102,0.00069954
19,fe,4,,,,,,1.90066,0.00066102,0.00069952
20,fe,4,,,,,,2.0007,0.00066104,0.00069952
21,fe,4,,,,,,2.10066,0.00066102,0.00069954
22,fe,4,,,,,,2.20066,0.00066104,0.00069952
23,fe,4,,,,,,2.3007,0.00066104,0.00069952
24,fe,4,,,,,,2.40066,0.00066104,0.00069954
25,fe,4,,,,,,2.5007,0.00066102,0.00069952
26,fe,4,,,,,,2.6007,0.00066102,0.0006995
27,fe,4,,,,,,2.7007000000000003,0.00066104,0.00069952
28,fe,4,,,,,,2.8007000000000004,0.00066104,0.00069952
29,fe,4,,,,,,2.90066,0.00066104,0.0006995
30,fe,4,,,,,,3.0007,0.00066104,0.0006995
31,fe,4,,,,,,3.1007,0.00066104,0.00069952
32,fe,4,,,,,,3.2007000000000003,0.00066104,0.00069952
33,fe,4,,,,,,3.3007000000000004,0.00066104,0.0006995
34,fe,4,,,,,,3.40066,0.00066104,0.0006995
35,fe,4,,,,,,3.5007,0.00066104,0.00069946
36,fe,4,,,,,,3.6007,0.00066104,0.00069952
37,fe,4,,,,,,3.7007,0.00066104,0.00069952
38,fe,4,,,,,,3.80066,0.00066104,0.00069952
39,fe,4,,,,,,3.90066,0.00066104,0.00069952
40,fe,4,,,,,,4.0007,0.00066104,0.00069952
41,fe,4,,,,,,4.100700000000001,0.00066104,0.00069952
42,fe,4,,,,,,4.2007,0.00066104,0.00069952
43,fe,4,,,,,,4.300660000000001,0.00066102,0.00069956
44,fe,4,,,,,,4.40066,0.00066104,0.00069954
45,fe,4,,,,,,4.500660000000001,0.00066102,0.00069956
46,fe,4,,,,,,4.600700000000001,0.00066104,0.00069956
47,fe,4,,,,,,4.70066,0.00066102,0.00069956
48,fe,4,,,,,,4.800660000000001,0.00066102,0.00069956
49,fe,4,,,,,,4.9007000000000005,0.00066102,0.00069954
50,fe,4,,,,,,5.0007,0.00066102,0.00069954
51,fe,4,,,,,,5.10066,0.00066104,0.00069952
52,fe,4,,,,,,5.2007,0.00066102,0.00069952
53,fe,4,,,,,,5.300700000000001,0.00066102,0.00069954
54,fe,4,,,,,,5.4007000000000005,0.00066104,0.00069952
55,fe,4,,,,,,5.5007,0.00066102,0.0006995
56,fe,4,,,,,,5.600700000000001,0.00066102,0.00069952
57,fe,4,,,,,,5.7007,0.00066102,0.00069952
58,fe,4,,,,,,5.800700000000001,0.00066102,0.00069952
59,fe,4,,,,,,5.90066,0.00066102,0.00069952
60,fe,4,,,,,,6.000660000000001,0.00066102,0.00069952
61,fe,4,,,,,,6.100700000000001,0.00066102,0.00069952
62,fe,4,,,,,,6.200660000000001,0.00066102,0.00069948
63,fe,4,,,,,,6.300660000000001,0.00066102,0.0006995
64,fe,4,,,,,,6.4007000000000005,0.00066102,0.00069952
65,fe,4,,,,,,6.500660000000001,0.00066102,0.0006995
66,fe,4,,,,,,6.60066,0.00066102,0.0006995
67,fe,4,,,,,,6.7007,0.00066102,0.00069952
68,fe,4,,,,,,6.800700000000001,0.00066098,0.0006995
69,fe,4,,,,,,6.90066,0.000661,0.00069948
70,fe,4,,,,,,7.0007,0.000661,0.0006995
71,fe,4,,,,,,7.100700000000001,0.000661,0.00069944
72,fe,4,,,,,,7.2007,0.0006609,0.00069958
73,fe,4,,,,,,7.30066,0.00066078,0.00069956
74,fe,4,,,,,,7.40066,0.00066076,0.00069956
75,fe,4,,,,,,7.500700000000001,0.00066072,0.00069952
76,fe,4,,,,,,7.60066,0.00066074,0.00069952
77,fe,4,,,,,,7.700660000000002,0.00066072,0.00069956
78,fe,4,,,,,,7.80066,0.00066068,0.00069956
79,fe,4,,,,,,7.90066,0.00066062,0.00069954
80,fe,4,,,,,,8.00066,0.0006606,0.00069956
81,fe,4,,,,,,8.1007,0.00066052,0.00069956
82,fe,4,,,,,,8.200660000000001,0.0006605,0.00069956
83,fe,4,,,,,,8.30066,0.00066046,0.00069956
84,fe,4,,,,,,8.4007,0.00066046,0.00069954
85,fe,4,,,,,,8.50066,0.00066044,0.00069956
86,fe,4,,,,,,8.600660000000001,0.00066044,0.00069954
87,fe,4,,,,,,8.700660000000001,0.0006604,0.00069956
88,fe,4,,,,,,8.80066,0.00066036,0.00069956
89,fe,4,,,,,,8.9007,0.00066034,0.00069956
90,fe,4,,,,,,9.0007,0.00066034,0.00069956
91,fe,4,,,,,,9.10066,0.00066034,0.00069956
92,fe,4,,,,,,9.2007,0.00066032,0.00069956
93,fe,4,,,,,,9.3007,0.0006603,0.00069956
94,fe,4,,,,,,9.4007,0.00065888,0.00069942
95,fe,4,,,,,,9.5007,0.000655,0.00069942
96,fe,4,,,,,,9.60066,0.00065286,0.00069942
97,fe,4,,,,,,9.700660000000001,0.00065152,0.00069942
98,fe,4,,,,,,9.80066,0.0006505,0.00069938
99,fe,4,,,,,,9.9007,0.00064972,0.00069942
100,fe,4,,,,,,10.000660000000002,0.00064908,0.00069936
101,fe,4,,,,,,10.10066,0.00064858,0.00069932
102,fe,4,,,,,,10.2007,0.00064812,0.0006993
103,fe,4,,,,,,10.30066,0.00064776,0.00069924
104,fe,4,,,,,,10.40066,0.00064742,0.00069914
105,fe,4,,,,,,10.500660000000002,0.00064712,0.00069906
106,fe,4,,,,,,10.600700000000002,0.00064688,0.00069896
107,fe,4,,,,,,10.7007,0.00064662,0.00069882
108,fe,4,,,,,,10.8007,0.0006464,0.00069868
109,fe,4,,,,,,10.9007,0.0006462,0.0006985
110,fe,4,,,,,,11.0007,0.00064604,0.00069834
111,fe,4,,,,,,11.100700000000002,0.00064588,0.00069816
112,fe,4,,,,,,11.2007,0.00064574,0.000698
113,fe,4,,,,,,11.3007,0.0006456,0.00069778
114,fe,4,,,,,,11.4007,0.00064544,0.00069762
115,fe,4,,,,,,11.5007,0.00064532,0.0006974
116,fe,4,,,,,,11.60066,0.0006452,0.00069718
117,fe,4,,,,,,11.7007,0.00064512,0.000697
118,fe,4,,,,,,11.8007,0.000645,0.00069676
119,fe,4,,,,,,11.90066,0.0006449,0.00069654
120,fe,4,,,,,,12.0007,0.00064482,0.00069634
121,fe,4,,,,,,12.10066,0.00064472,0.00069612
122,fe,4,,,,,,12.2007,0.00064466,0.0006959
123,fe,4,,,,,,12.30066,0.00064454,0.00069568
124,fe,4,,,,,,12.40066,0.00064448,0.00069546
125,fe,4,,,,,,12.5007,0.0006444,0.00069526
126,fe,4,,,,,,12.60066,0.00064434,0.00069506
127,fe,4,,,,,,12.70067,0.00064428,0.00069482
128,fe,4,,,,,,12.80067,0.00064422,0.00069462
129,fe,4,,,,,,12.9007,0.00064414,0.00069442
130,fe,4,,,,,,13.000660000000002,0.0006441,0.0006942
131,fe,4,,,,,,13.100700000000002,0.00064402,0.00069402
132,fe,4,,,,,,13.20066,0.00064398,0.00069382
133,fe,4,,,,,,13.3007,0.0006439,0.0006936
134,fe,4,,,,,,13.40066,0.00064384,0.00069342
135,fe,4,,,,,,13.500660000000002,0.00064382,0.00069326
136,fe,4,,,,,,13.60067,0.00064376,0.00069306
137,fe,4,,,,,,13.70066,0.00064372,0.00069288
138,fe,4,,,,,,13.80071,0.00064366,0.00069268
139,fe,4,,,,,,13.9007,0.0006436,0.0006925
140,fe,4,,,,,,14.000700000000002,0.00064358,0.0006923
141,fe,4,,,,,,14.10067,0.00064352,0.00069214
142,fe,4,,,,,,14.20067,0.0006435,0.00069196
143,fe,4,,,,,,14.30066,0.00064344,0.0006918
144,fe,4,,,,,,14.4007,0.0006434,0.00069166
145,fe,4,,,,,,14.500660000000002,0.00064336,0.00069146
146,fe,4,,,,,,14.60066,0.00064332,0.0006913
147,fe,4,,,,,,14.7007,0.0006433,0.0006911
148,fe,4,,,,,,14.80066,0.00064324,0.00069098
149,fe,4,,,,,,14.9007,0.00064318,0.00069086
150,fe,4,,,,,,15.000700000000002,0.00064316,0.00069068
151,fe,4,,,,,,15.10066,0.00064312,0.00069052
152,fe,4,,,,,,15.20067,0.00064308,0.0006904
153,fe,4,,,,,,15.3007,0.00064306,0.00069024
154,fe,4,,,,,,15.4007,0.00064302,0.0006901
155,fe,4,,,,,,15.500660000000002,0.00064298,0.00068996
156,fe,4,,,,,,15.60066,0.00064296,0.00068982
157,fe,4,,,,,,15.70066,0.00064294,0.0006897
158,fe,4,,,,,,15.80066,0.00064288,0.00068954
159,fe,4,,,,,,15.900670000000002,0.00064288,0.00068942
160,fe,4,,,,,,16.000700000000002,0.00064284,0.0006893
161,fe,4,,,,,,16.10066,0.00064282,0.00068918
162,fe,4,,,,,,16.2007,0.00064278,0.00068902
163,fe,4,,,,,,16.300700000000003,0.00064274,0.00068892
164,fe,4,,,,,,16.4007,0.00064272,0.0006888
165,fe,4,,,,,,16.500700000000002,0.0006427,0.00068868
166,fe,4,,,,,,16.60066,0.00064266,0.00068856
167,fe,4,,,,,,16.70071,0.00064262,0.00068846
168,fe,4,,,,,,16.80067,0.0006426,0.00068834
169,fe,4,,,,,,16.9007,0.00064258,0.00068822
170,fe,4,,,,,,17.00071,0.00064254,0.00068812
171,fe,4,,,,,,17.1007,0.00064252,0.000688
172,fe,4,,,,,,17.2007,0.00064252,0.0006879
173,fe,4,,,,,,17.300700000000003,0.00064246,0.0006878
174,fe,4,,,,,,17.4007,0.00064244,0.0006877
175,fe,4,,,,,,17.50066,0.00064242,0.00068758
176,fe,4,,,,,,17.60066,0.00064244,0.00068748
177,fe,4,,,,,,17.700660000000003,0.00064238,0.00068738
178,fe,4,,,,,,17.800700000000003,0.00064238,0.00068732
179,fe,4,,,,,,17.9007,0.00064236,0.0006872
180,fe,4,,,,,,18.00066,0.00064232,0.0006871
181,fe,4,,,,,,18.10066,0.0006423,0.000687
182,fe,4,,,,,,18.2007,0.0006423,0.0006869
183,fe,4,,,,,,18.30066,0.00064228,0.00068684
184,fe,4,,,,,,18.4007,0.00064224,0.00068674
185,fe,4,,,,,,18.50066,0.00064222,0.00068664
186,fe,4,,,,,,18.60066,0.0006422,0.00068658
187,fe,4,,,,,,18.7007,0.0006422,0.0006865
188,fe,4,,,,,,18.800700000000003,0.00064218,0.00068642
189,fe,4,,,,,,18.9007,0.00064216,0.00068634
190,fe,4,,,,,,19.0007,0.00064212,0.00068626
191,fe,4,,,,,,19.10066,0.0006421,0.00068618
192,fe,4,,,,,,19.2007,0.0006421,0.0006861
193,fe,4,,,,,,19.30066,0.00064208,0.000686
194,fe,4,,,,,,19.4007,0.00064208,0.00068592
195,fe,4,,,,,,19.500670000000003,0.00064204,0.00068588
196,fe,4,,,,,,19.60066,0.00064206,0.0006858
197,fe,4,,,,,,19.700660000000003,0.00064202,0.00068574
198,fe,4,,,,,,19.80066,0.00064202,0.00068564
199,fe,4,,,,,,19.9007,0.000642,0.00068558
200,fe,4,,,,,,20.0007,0.00064196,0.00068554
201,fe,4,,,,,,20.10066,0.00064198,0.00068546
202,fe,4,,,,,,20.2007,0.00064196,0.00068542
203,fe,4,,,,,,20.300700000000003,0.00064192,0.00068532
204,fe,4,,,,,,20.40066,0.0006419,0.00068528
205,fe,4,,,,,,20.5007,0.00064188,0.00068522
