index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,pdms,6,,,,,,0.00929,0.00066036,0.00069934
1,pdms,6,,,,,,0.1007,0.00066052,0.00069914
2,pdms,6,,,,,,0.2007,0.00066048,0.00069914
3,pdms,6,,,,,,0.3007,0.0006605,0.00069912
4,pdms,6,,,,,,0.40066,0.00066048,0.00069914
5,pdms,6,,,,,,0.5007,0.00066046,0.00069912
6,pdms,6,,,,,,0.6007,0.00066046,0.00069908
7,pdms,6,,,,,,0.7007000000000001,0.00066048,0.00069908
8,pdms,6,,,,,,0.8007,0.00066046,0.00069906
9,pdms,6,,,,,,0.9007,0.00066044,0.00069906
10,pdms,6,,,,,,1.00066,0.00066044,0.00069904
11,pdms,6,,,,,,1.1006600000000002,0.00066044,0.00069904
12,pdms,6,,,,,,1.20066,0.00066044,0.00069904
13,pdms,6,,,,,,1.3006600000000001,0.00066044,0.00069904
14,pdms,6,,,,,,1.40066,0.00066046,0.00069902
15,pdms,6,,,,,,1.5007,0.0006604,0.000699
16,pdms,6,,,,,,1.6007000000000002,0.00066044,0.000699
17,pdms,6,,,,,,1.7007,0.00066042,0.00069902
18,pdms,6,,,,,,1.8006600000000001,0.0006604,0.00069902
19,pdms,6,,,,,,1.90066,0.00066038,0.000699
20,pdms,6,,,,,,2.0006600000000003,0.00066042,0.000699
21,pdms,6,,,,,,2.1007,0.0006604,0.00069898
22,pdms,6,,,,,,2.20066,0.00066038,0.00069898
23,pdms,6,,,,,,2.30066,0.0006604,0.000699
24,pdms,6,,,,,,2.40066,0.00066038,0.00069898
25,pdms,6,,,,,,2.5006600000000003,0.00066038,0.000699
26,pdms,6,,,,,,2.6007,0.00066038,0.00069898
27,pdms,6,,,,,,2.7007000000000003,0.00066038,0.00069898
28,pdms,6,,,,,,2.80066,0.00066038,0.00069898
29,pdms,6,,,,,,2.9007,0.00066038,0.000699
30,pdms,6,,,,,,3.0006600000000003,0.00066038,0.00069894
31,pdms,6,,,,,,3.1006600000000004,0.0006604,0.00069896
32,pdms,6,,,,,,3.2007000000000003,0.00066038,0.00069894
33,pdms,6,,,,,,3.30066,0.0006604,0.00069894
34,pdms,6,,,,,,3.40066,0.00066038,0.00069896
35,pdms,6,,,,,,3.5007,0.00066038,0.00069892
36,pdms,6,,,,,,3.6007,0.00066038,0.00069894
37,pdms,6,,,,,,3.7007,0.00066034,0.00069892
38,pdms,6,,,,,,3.80066,0.00066034,0.00069892
39,pdms,6,,,,,,3.90066,0.00066038,0.00069892
40,pdms,6,,,,,,4.0007,0.00066034,0.0006989
41,pdms,6,,,,,,4.10066,0.00066036,0.0006989
42,pdms,6,,,,,,4.2007,0.00066034,0.00069888
43,pdms,6,,,,,,4.300660000000001,0.00066036,0.00069888
44,pdms,6,,,,,,4.4007000000000005,0.00066036,0.0006989
45,pdms,6,,,,,,4.500660000000001,0.00066038,0.00069888
46,pdms,6,,,,,,4.600700000000001,0.00066032,0.00069886
47,pdms,6,,,,,,4.7007,0.00066034,0.00069886
48,pdms,6,,,,,,4.800660000000001,0.00066032,0.0006989
49,pdms,6,,,,,,4.90066,0.0006603,0.0006989
50,pdms,6,,,,,,5.0007,0.00066032,0.00069888
51,pdms,6,,,,,,5.10066,0.0006603,0.0006989
52,pdms,6,,,,,,5.20066,0.00066034,0.00069888
53,pdms,6,,,,,,5.300660000000001,0.0006603,0.0006989
54,pdms,6,,,,,,5.4007000000000005,0.00066034,0.00069886
55,pdms,6,,,,,,5.5007,0.0006603,0.00069888
56,pdms,6,,,,,,5.600700000000001,0.0006603,0.0006989
57,pdms,6,,,,,,5.7007,0.0006603,0.00069888
58,pdms,6,,,,,,5.800660000000001,0.0006603,0.00069888
59,pdms,6,,,,,,5.9007000000000005,0.0006603,0.00069888
60,pdms,6,,,,,,6.000660000000001,0.00066032,0.0006989
61,pdms,6,,,,,,6.100700000000001,0.0006603,0.0006989
62,pdms,6,,,,,,6.2007,0.00066032,0.0006989
63,pdms,6,,,,,,6.300700000000001,0.00066032,0.00069886
64,pdms,6,,,,,,6.4007000000000005,0.00066028,0.00069888
65,pdms,6,,,,,,6.500660000000001,0.00066028,0.00069888
66,pdms,6,,,,,,6.60066,0.0006603,0.00069888
67,pdms,6,,,,,,6.7007,0.0006603,0.00069888
68,pdms,6,,,,,,6.800700000000001,0.00066026,0.00069888
