index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,pu,1,,,,,,0.00934,0.00066072,0.00069984
1,pu,1,,,,,,0.1007,0.00066112,0.00069972
2,pu,1,,,,,,0.2007,0.0006611,0.00069972
3,pu,1,,,,,,0.30066,0.0006611,0.00069972
4,pu,1,,,,,,0.40066,0.0006611,0.00069968
5,pu,1,,,,,,0.5007,0.00066108,0.0006997
6,pu,1,,,,,,0.6007,0.00066106,0.0006997
7,pu,1,,,,,,0.7007000000000001,0.0006611,0.00069968
8,pu,1,,,,,,0.80066,0.0006611,0.00069966
9,pu,1,,,,,,0.9006600000000001,0.00066112,0.00069966
10,pu,1,,,,,,1.0007,0.0006611,0.0006997
11,pu,1,,,,,,1.1007,0.00066108,0.00069966
12,pu,1,,,,,,1.2007,0.0006611,0.00069966
13,pu,1,,,,,,1.3007000000000002,0.00066106,0.00069964
14,pu,1,,,,,,1.40066,0.00066108,0.00069966
15,pu,1,,,,,,1.50066,0.00066106,0.00069964
16,pu,1,,,,,,1.6007000000000002,0.00066108,0.00069964
17,pu,1,,,,,,1.70066,0.00066106,0.00069962
18,pu,1,,,,,,1.8007000000000002,0.00066108,0.00069964
19,pu,1,,,,,,1.9007,0.00066104,0.0006996
20,pu,1,,,,,,2.0006600000000003,0.00066104,0.00069962
21,pu,1,,,,,,2.10066,0.00066106,0.00069962
22,pu,1,,,,,,2.2007000000000003,0.00066104,0.0006996
23,pu,1,,,,,,2.30066,0.00066104,0.00069962
24,pu,1,,,,,,2.40066,0.00066106,0.00069962
25,pu,1,,,,,,2.5007,0.00066106,0.0006996
26,pu,1,,,,,,2.6007,0.00066104,0.0006996
27,pu,1,,,,,,2.70066,0.00066106,0.00069962
28,pu,1,,,,,,2.80066,0.00066104,0.00069962
29,pu,1,,,,,,2.9007,0.00066104,0.0006996
30,pu,1,,,,,,3.0007,0.00066104,0.00069964
31,pu,1,,,,,,3.1007,0.00066106,0.0006996
32,pu,1,,,,,,3.20066,0.00066104,0.0006996
33,pu,1,,,,,,3.30066,0.00066106,0.0006996
34,pu,1,,,,,,3.4007000000000005,0.00066104,0.0006996
35,pu,1,,,,,,3.5006600000000003,0.00066106,0.0006996
36,pu,1,,,,,,3.6007,0.00066104,0.00069958
37,pu,1,,,,,,3.7007,0.00066104,0.0006996
38,pu,1,,,,,,3.8007,0.00066104,0.00069958
39,pu,1,,,,,,3.900700000000001,0.00066106,0.00069958
40,pu,1,,,,,,4.0007,0.00066104,0.0006996
41,pu,1,,,,,,4.10066,0.00066106,0.0006996
42,pu,1,,,,,,4.20066,0.00066106,0.0006996
43,pu,1,,,,,,4.3007,0.00066106,0.00069958
44,pu,1,,,,,,4.4007000000000005,0.00066104,0.00069958
45,pu,1,,,,,,4.500660000000001,0.00066104,0.00069958
46,pu,1,,,,,,4.600700000000001,0.00066106,0.00069958
47,pu,1,,,,,,4.7007,0.00066106,0.00069958
48,pu,1,,,,,,4.800660000000001,0.00066106,0.00069958
49,pu,1,,,,,,4.90066,0.00066106,0.00069958
50,pu,1,,,,,,5.0007,0.00066106,0.00069958
51,pu,1,,,,,,5.100700000000001,0.00066108,0.00069958
52,pu,1,,,,,,5.20066,0.00066106,0.00069956
53,pu,1,,,,,,5.300660000000001,0.00066106,0.00069958
54,pu,1,,,,,,5.4007000000000005,0.00066106,0.00069958
