index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,al,6,,,,,,0.00936,0.00065882,0.00069874
1,al,6,,,,,,0.1007,0.0006585,0.00069856
2,al,6,,,,,,0.2007,0.0006585,0.00069854
3,al,6,,,,,,0.30066,0.00065846,0.00069852
4,al,6,,,,,,0.4007,0.00065842,0.0006985
5,al,6,,,,,,0.50066,0.00065844,0.0006985
6,al,6,,,,,,0.60066,0.00065844,0.0006985
7,al,6,,,,,,0.70066,0.0006584,0.00069848
8,al,6,,,,,,0.8007,0.00065838,0.0006985
9,al,6,,,,,,0.9007,0.00065836,0.00069848
10,al,6,,,,,,1.0007,0.0006584,0.00069844
11,al,6,,,,,,1.1007,0.00065836,0.00069848
12,al,6,,,,,,1.20066,0.00065836,0.00069848
13,al,6,,,,,,1.3007000000000002,0.00065836,0.00069844
14,al,6,,,,,,1.4007,0.00065838,0.00069848
15,al,6,,,,,,1.5007,0.00065836,0.00069846
16,al,6,,,,,,1.6007000000000002,0.00065838,0.00069842
17,al,6,,,,,,1.7007,0.00065834,0.00069844
18,al,6,,,,,,1.8007000000000002,0.00065838,0.00069846
19,al,6,,,,,,1.90066,0.00065836,0.00069844
20,al,6,,,,,,2.0007,0.00065836,0.00069844
21,al,6,,,,,,2.10066,0.00065836,0.00069844
22,al,6,,,,,,2.2007000000000003,0.00065838,0.00069844
23,al,6,,,,,,2.30066,0.00065836,0.00069842
24,al,6,,,,,,2.40066,0.00065838,0.00069848
25,al,6,,,,,,2.5007,0.00065842,0.00069846
26,al,6,,,,,,2.6006600000000004,0.00065838,0.00069848
27,al,6,,,,,,2.70066,0.00065842,0.00069844
28,al,6,,,,,,2.8007000000000004,0.0006584,0.00069846
29,al,6,,,,,,2.9007,0.00065842,0.00069844
30,al,6,,,,,,3.0007,0.00065838,0.00069844
31,al,6,,,,,,3.1006600000000004,0.00065838,0.00069844
32,al,6,,,,,,3.20066,0.00065838,0.00069846
33,al,6,,,,,,3.3007000000000004,0.00065838,0.00069844
34,al,6,,,,,,3.4007000000000005,0.0006584,0.00069842
35,al,6,,,,,,3.5007,0.00065838,0.00069844
36,al,6,,,,,,3.6006600000000004,0.00065838,0.00069844
37,al,6,,,,,,3.7007,0.00065838,0.00069844
38,al,6,,,,,,3.8007,0.00065838,0.00069844
39,al,6,,,,,,3.90066,0.00065838,0.00069844
40,al,6,,,,,,4.000660000000001,0.00065838,0.00069842
41,al,6,,,,,,4.10066,0.00065836,0.00069842
42,al,6,,,,,,4.2007,0.00065838,0.00069842
43,al,6,,,,,,4.300660000000001,0.00065836,0.00069842
44,al,6,,,,,,4.4007000000000005,0.00065836,0.00069842
45,al,6,,,,,,4.500660000000001,0.00065838,0.0006984
46,al,6,,,,,,4.60066,0.00065838,0.0006984
47,al,6,,,,,,4.7007,0.00065838,0.00069838
48,al,6,,,,,,4.800660000000001,0.00065838,0.00069836
49,al,6,,,,,,4.9007000000000005,0.00065838,0.0006984
50,al,6,,,,,,5.0007,0.00065838,0.00069836
51,al,6,,,,,,5.100700000000001,0.00065838,0.00069836
52,al,6,,,,,,5.2007,0.00065842,0.0006984
53,al,6,,,,,,5.300700000000001,0.00065838,0.0006984
54,al,6,,,,,,5.4007000000000005,0.00065838,0.00069842
55,al,6,,,,,,5.500660000000001,0.00065838,0.0006984
56,al,6,,,,,,5.600700000000001,0.00065842,0.00069842
57,al,6,,,,,,5.70066,0.00065838,0.00069844
58,al,6,,,,,,5.800660000000001,0.0006584,0.00069842
59,al,6,,,,,,5.90066,0.00065836,0.00069848
60,al,6,,,,,,6.000660000000001,0.00065838,0.00069848
61,al,6,,,,,,6.10066,0.00065838,0.0006985
62,al,6,,,,,,6.2007,0.0006584,0.00069848
63,al,6,,,,,,6.300700000000001,0.00065838,0.00069866
64,al,6,,,,,,6.40066,0.00065846,0.00069876
65,al,6,,,,,,6.500660000000001,0.00065846,0.00069878
66,al,6,,,,,,6.600700000000001,0.00065844,0.0006988
67,al,6,,,,,,6.700660000000001,0.00065836,0.00069876
68,al,6,,,,,,6.800660000000001,0.00065836,0.00069878
69,al,6,,,,,,6.90066,0.00065838,0.0006988
70,al,6,,,,,,7.0007,0.00065832,0.00069878
71,al,6,,,,,,7.100700000000001,0.00065832,0.0006988
72,al,6,,,,,,7.200660000000001,0.00065828,0.00069882
73,al,6,,,,,,7.30066,0.00065828,0.0006988
74,al,6,,,,,,7.4007,0.00065824,0.0006988
75,al,6,,,,,,7.500700000000001,0.00065824,0.00069882
76,al,6,,,,,,7.6007,0.00065824,0.00069878
77,al,6,,,,,,7.7007,0.0006582,0.00069878
78,al,6,,,,,,7.800700000000002,0.00065802,0.00069878
79,al,6,,,,,,7.9007,0.000656,0.00069878
80,al,6,,,,,,8.00066,0.00065166,0.00069874
