index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,bi,1,,,,,,0.0093,0.00065952,0.0006997
1,bi,1,,,,,,0.10066,0.00065948,0.00069998
2,bi,1,,,,,,0.2007,0.00065946,0.00069994
3,bi,1,,,,,,0.30066,0.00065944,0.00069992
4,bi,1,,,,,,0.4007,0.00065944,0.00069992
5,bi,1,,,,,,0.5007,0.00065946,0.00069992
6,bi,1,,,,,,0.6007,0.00065944,0.0006999
7,bi,1,,,,,,0.7007000000000001,0.00065944,0.00069988
8,bi,1,,,,,,0.80066,0.00065944,0.00069984
9,bi,1,,,,,,0.9006600000000001,0.00065942,0.00069986
10,bi,1,,,,,,1.0007,0.00065946,0.00069984
11,bi,1,,,,,,1.1006600000000002,0.00065944,0.00069984
12,bi,1,,,,,,1.2007,0.00065942,0.00069984
13,bi,1,,,,,,1.3007000000000002,0.0006594,0.00069984
14,bi,1,,,,,,1.4007,0.00065944,0.0006998
15,bi,1,,,,,,1.5007,0.0006594,0.00069982
16,bi,1,,,,,,1.6006600000000002,0.0006594,0.0006998
17,bi,1,,,,,,1.7007,0.00065938,0.00069978
18,bi,1,,,,,,1.8007000000000002,0.0006594,0.0006998
19,bi,1,,,,,,1.90066,0.00065942,0.00069976
20,bi,1,,,,,,2.0007,0.00065942,0.00069978
21,bi,1,,,,,,2.10066,0.0006594,0.0006998
22,bi,1,,,,,,2.20066,0.0006594,0.00069974
23,bi,1,,,,,,2.3007,0.0006594,0.00069976
24,bi,1,,,,,,2.40066,0.0006594,0.00069972
25,bi,1,,,,,,2.5007,0.00065942,0.00069972
26,bi,1,,,,,,2.6006600000000004,0.00065942,0.0006997
27,bi,1,,,,,,2.70066,0.0006594,0.0006997
28,bi,1,,,,,,2.8007000000000004,0.0006594,0.00069972
29,bi,1,,,,,,2.90066,0.00065938,0.00069972
30,bi,1,,,,,,3.0007,0.0006594,0.0006997
31,bi,1,,,,,,3.1006600000000004,0.00065942,0.0006997
32,bi,1,,,,,,3.20066,0.0006594,0.0006997
