index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,gypsum,4,,,,,,0.00928,0.00065922,0.0006994
1,gypsum,4,,,,,,0.10071,0.00065954,0.00069956
2,gypsum,4,,,,,,0.20067,0.00065954,0.00069954
3,gypsum,4,,,,,,0.3007,0.00065954,0.00069952
4,gypsum,4,,,,,,0.4007,0.00065954,0.00069952
5,gypsum,4,,,,,,0.50066,0.00065954,0.00069952
6,gypsum,4,,,,,,0.60066,0.00065952,0.00069952
7,gypsum,4,,,,,,0.7007000000000001,0.00065954,0.0006995
8,gypsum,4,,,,,,0.80066,0.00065952,0.0006995
9,gypsum,4,,,,,,0.90067,0.00065954,0.00069948
10,gypsum,4,,,,,,1.00071,0.00065954,0.00069946
11,gypsum,4,,,,,,1.10067,0.00065954,0.00069946
12,gypsum,4,,,,,,1.20066,0.00065958,0.00069946
13,gypsum,4,,,,,,1.3006700000000002,0.00065958,0.00069946
14,gypsum,4,,,,,,1.40067,0.00065956,0.00069946
15,gypsum,4,,,,,,1.5006700000000002,0.00065958,0.00069946
16,gypsum,4,,,,,,1.60067,0.0006596,0.00069944
17,gypsum,4,,,,,,1.7007100000000002,0.00065958,0.00069944
18,gypsum,4,,,,,,1.8007100000000005,0.00065962,0.00069942
19,gypsum,4,,,,,,1.90067,0.0006596,0.00069942
20,gypsum,4,,,,,,2.00067,0.0006596,0.00069944
21,gypsum,4,,,,,,2.1007100000000003,0.0006596,0.00069942
22,gypsum,4,,,,,,2.2007100000000004,0.0006596,0.00069942
23,gypsum,4,,,,,,2.30067,0.0006596,0.00069942
24,gypsum,4,,,,,,2.4006700000000003,0.00065962,0.00069942
25,gypsum,4,,,,,,2.50071,0.0006596,0.00069938
26,gypsum,4,,,,,,2.6007100000000003,0.0006596,0.00069942
27,gypsum,4,,,,,,2.7007100000000004,0.0006596,0.00069942
28,gypsum,4,,,,,,2.80071,0.00065962,0.00069942
29,gypsum,4,,,,,,2.90071,0.00065962,0.00069938
30,gypsum,4,,,,,,3.0006700000000004,0.0006596,0.00069938
31,gypsum,4,,,,,,3.1007100000000003,0.0006596,0.00069938
32,gypsum,4,,,,,,3.20067,0.00065958,0.00069938
33,gypsum,4,,,,,,3.3007100000000005,0.00065962,0.00069942
34,gypsum,4,,,,,,3.4007000000000005,0.0006596,0.0006994
35,gypsum,4,,,,,,3.50071,0.0006596,0.00069938
36,gypsum,4,,,,,,3.6007100000000003,0.00065958,0.00069938
37,gypsum,4,,,,,,3.70067,0.0006596,0.00069942
38,gypsum,4,,,,,,3.80067,0.0006596,0.00069938
39,gypsum,4,,,,,,3.900700000000001,0.0006596,0.00069936
40,gypsum,4,,,,,,4.000710000000001,0.0006596,0.00069936
41,gypsum,4,,,,,,4.10071,0.00065958,0.00069938
42,gypsum,4,,,,,,4.200670000000001,0.00065962,0.00069936
43,gypsum,4,,,,,,4.30067,0.00065958,0.00069938
44,gypsum,4,,,,,,4.40071,0.00065958,0.00069938
45,gypsum,4,,,,,,4.500710000000001,0.0006596,0.00069936
46,gypsum,4,,,,,,4.60071,0.00065958,0.00069936
47,gypsum,4,,,,,,4.70071,0.0006596,0.00069936
48,gypsum,4,,,,,,4.8007100000000005,0.00065958,0.00069934
49,gypsum,4,,,,,,4.90071,0.00065958,0.00069936
50,gypsum,4,,,,,,5.000710000000001,0.00065958,0.00069934
51,gypsum,4,,,,,,5.10067,0.0006596,0.00069936
52,gypsum,4,,,,,,5.200710000000001,0.00065958,0.00069934
53,gypsum,4,,,,,,5.3007100000000005,0.00065954,0.0006993
54,gypsum,4,,,,,,5.400670000000001,0.00065958,0.00069936
55,gypsum,4,,,,,,5.50067,0.0006596,0.00069934
56,gypsum,4,,,,,,5.60067,0.00065956,0.00069934
57,gypsum,4,,,,,,5.700710000000001,0.00065958,0.00069932
58,gypsum,4,,,,,,5.8007100000000005,0.00065956,0.00069934
59,gypsum,4,,,,,,5.90071,0.00065958,0.00069934
60,gypsum,4,,,,,,6.000710000000001,0.00065958,0.00069932
61,gypsum,4,,,,,,6.100700000000001,0.00065956,0.00069932
62,gypsum,4,,,,,,6.200670000000001,0.0006596,0.00069934
63,gypsum,4,,,,,,6.30067,0.00065958,0.00069934
64,gypsum,4,,,,,,6.400670000000001,0.0006596,0.00069934
65,gypsum,4,,,,,,6.50067,0.00065958,0.00069934
66,gypsum,4,,,,,,6.600670000000001,0.00065958,0.00069928
67,gypsum,4,,,,,,6.700710000000001,0.00065954,0.00069924
68,gypsum,4,,,,,,6.8007100000000005,0.00065954,0.00069926
69,gypsum,4,,,,,,6.90071,0.00065956,0.00069928
70,gypsum,4,,,,,,7.000710000000001,0.00065944,0.00069936
71,gypsum,4,,,,,,7.100670000000001,0.0006593,0.00069924
72,gypsum,4,,,,,,7.200670000000001,0.00065928,0.00069922
73,gypsum,4,,,,,,7.30067,0.00065924,0.00069922
74,gypsum,4,,,,,,7.40067,0.00065922,0.00069924
75,gypsum,4,,,,,,7.50071,0.00065916,0.00069922
76,gypsum,4,,,,,,7.60071,0.0006591,0.00069924
77,gypsum,4,,,,,,7.70071,0.00065906,0.00069924
78,gypsum,4,,,,,,7.80067,0.00065902,0.00069922
79,gypsum,4,,,,,,7.900710000000001,0.00065902,0.00069922
80,gypsum,4,,,,,,8.000670000000001,0.00065896,0.00069924
81,gypsum,4,,,,,,8.100670000000001,0.00065896,0.00069924
82,gypsum,4,,,,,,8.20067,0.00065894,0.00069922
83,gypsum,4,,,,,,8.30067,0.0006589,0.00069922
84,gypsum,4,,,,,,8.40067,0.00065884,0.00069922
85,gypsum,4,,,,,,8.500670000000001,0.00065886,0.00069922
86,gypsum,4,,,,,,8.600710000000001,0.0006588,0.00069922
87,gypsum,4,,,,,,8.70067,0.00065868,0.0006992
88,gypsum,4,,,,,,8.80071,0.00065808,0.0006992
89,gypsum,4,,,,,,8.90071,0.00065728,0.00069918
90,gypsum,4,,,,,,9.0007,0.00065672,0.00069918
91,gypsum,4,,,,,,9.100670000000001,0.0006563,0.00069918
92,gypsum,4,,,,,,9.20067,0.00065598,0.00069916
93,gypsum,4,,,,,,9.30071,0.00065566,0.00069914
94,gypsum,4,,,,,,9.40071,0.00065542,0.00069916
95,gypsum,4,,,,,,9.50071,0.00065522,0.00069914
96,gypsum,4,,,,,,9.60071,0.00065504,0.00069912
97,gypsum,4,,,,,,9.70071,0.0006549,0.0006991
98,gypsum,4,,,,,,9.8007,0.0006547,0.00069908
99,gypsum,4,,,,,,9.90071,0.00065458,0.00069902
