index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,ni,5,,,,,,0.00929,0.00065878,0.00069818
1,ni,5,,,,,,0.1007,0.00065836,0.00069842
2,ni,5,,,,,,0.20066,0.00065834,0.00069838
3,ni,5,,,,,,0.3007,0.00065832,0.00069842
4,ni,5,,,,,,0.40066,0.00065832,0.00069836
5,ni,5,,,,,,0.50066,0.00065834,0.00069836
6,ni,5,,,,,,0.60066,0.00065832,0.00069834
7,ni,5,,,,,,0.70066,0.0006583,0.00069836
8,ni,5,,,,,,0.8007,0.00065834,0.00069836
9,ni,5,,,,,,0.9007,0.00065836,0.00069836
10,ni,5,,,,,,1.0007,0.00065834,0.00069836
11,ni,5,,,,,,1.1007,0.00065832,0.00069838
12,ni,5,,,,,,1.2007,0.00065834,0.00069834
13,ni,5,,,,,,1.3006600000000001,0.00065832,0.00069834
14,ni,5,,,,,,1.4007,0.00065836,0.00069832
15,ni,5,,,,,,1.50066,0.00065836,0.00069832
16,ni,5,,,,,,1.6007000000000002,0.00065832,0.00069834
17,ni,5,,,,,,1.7007,0.00065832,0.00069834
18,ni,5,,,,,,1.8006700000000002,0.00065834,0.00069834
19,ni,5,,,,,,1.9007,0.00065834,0.0006983
20,ni,5,,,,,,2.0007,0.00065834,0.00069834
21,ni,5,,,,,,2.10066,0.00065832,0.00069834
22,ni,5,,,,,,2.20067,0.00065836,0.0006983
23,ni,5,,,,,,2.3007,0.00065836,0.00069832
24,ni,5,,,,,,2.40066,0.00065836,0.00069834
25,ni,5,,,,,,2.5007,0.00065836,0.00069834
26,ni,5,,,,,,2.6007,0.00065838,0.00069834
27,ni,5,,,,,,2.7007000000000003,0.00065836,0.00069832
28,ni,5,,,,,,2.80067,0.00065838,0.00069834
29,ni,5,,,,,,2.9007,0.00065838,0.0006983
30,ni,5,,,,,,3.0006700000000004,0.00065838,0.00069834
31,ni,5,,,,,,3.1006600000000004,0.00065838,0.00069836
32,ni,5,,,,,,3.20066,0.00065836,0.00069834
33,ni,5,,,,,,3.30066,0.00065838,0.00069832
34,ni,5,,,,,,3.4007000000000005,0.00065836,0.00069834
35,ni,5,,,,,,3.5007,0.0006584,0.00069836
36,ni,5,,,,,,3.6007,0.00065838,0.00069834
37,ni,5,,,,,,3.700660000000001,0.0006584,0.00069836
38,ni,5,,,,,,3.80066,0.00065842,0.00069834
39,ni,5,,,,,,3.900700000000001,0.00065844,0.00069836
40,ni,5,,,,,,4.0007,0.0006584,0.00069838
41,ni,5,,,,,,4.10066,0.0006584,0.00069836
42,ni,5,,,,,,4.20066,0.00065842,0.00069836
43,ni,5,,,,,,4.3007,0.00065842,0.00069838
44,ni,5,,,,,,4.4007000000000005,0.00065838,0.0006984
45,ni,5,,,,,,4.5007,0.00065842,0.00069836
46,ni,5,,,,,,4.60066,0.00065842,0.0006984
47,ni,5,,,,,,4.70066,0.00065842,0.0006984
48,ni,5,,,,,,4.8007,0.00065844,0.00069842
49,ni,5,,,,,,4.9007000000000005,0.00065846,0.0006984
50,ni,5,,,,,,5.0007,0.00065846,0.00069844
51,ni,5,,,,,,5.100700000000001,0.00065844,0.00069842
52,ni,5,,,,,,5.2007,0.00065846,0.0006984
53,ni,5,,,,,,5.300660000000001,0.00065846,0.00069842
54,ni,5,,,,,,5.40066,0.00065846,0.00069842
55,ni,5,,,,,,5.5007,0.00065846,0.00069842
