index,Sample,Trial,k,Time,Primary,Secondary
0,aluminum,4,215.0,0.00934,0.00066014,0.0006992
1,aluminum,4,215.0,0.1007,0.00066004,0.00069928
2,aluminum,4,215.0,0.20066,0.00066004,0.00069924
3,aluminum,4,215.0,0.30066,0.00066002,0.00069922
4,aluminum,4,215.0,0.4007,0.00066004,0.00069924
5,aluminum,4,215.0,0.50066,0.00066002,0.00069924
6,aluminum,4,215.0,0.6007,0.00066002,0.00069922
7,aluminum,4,215.0,0.70066,0.00066004,0.00069922
8,aluminum,4,215.0,0.8007,0.00066002,0.00069922
9,aluminum,4,215.0,0.9006600000000001,0.00066006,0.00069922
10,aluminum,4,215.0,1.00066,0.00066004,0.00069922
11,aluminum,4,215.0,1.1006600000000002,0.00066004,0.00069922
12,aluminum,4,215.0,1.20066,0.00066004,0.00069922
13,aluminum,4,215.0,1.3007000000000002,0.00066006,0.0006992
14,aluminum,4,215.0,1.4007,0.00066002,0.00069918
15,aluminum,4,215.0,1.5007,0.00066004,0.0006992
16,aluminum,4,215.0,1.6006600000000002,0.00066006,0.0006992
17,aluminum,4,215.0,1.7007,0.00066002,0.00069918
18,aluminum,4,215.0,1.8006600000000001,0.00066002,0.00069918
19,aluminum,4,215.0,1.90066,0.00066004,0.0006992
20,aluminum,4,215.0,2.0007,0.00066002,0.00069918
21,aluminum,4,215.0,2.1007,0.00066002,0.0006992
22,aluminum,4,215.0,2.20066,0.00066002,0.00069918
23,aluminum,4,215.0,2.30066,0.00066004,0.0006992
24,aluminum,4,215.0,2.4007,0.00066006,0.00069918
25,aluminum,4,215.0,2.5006600000000003,0.00066006,0.0006992
26,aluminum,4,215.0,2.6007,0.00066004,0.00069918
27,aluminum,4,215.0,2.7007000000000003,0.00066004,0.0006992
28,aluminum,4,215.0,2.80066,0.00066004,0.00069918
29,aluminum,4,215.0,2.9007,0.00066004,0.00069918
30,aluminum,4,215.0,3.0007,0.00066008,0.00069922
31,aluminum,4,215.0,3.1006600000000004,0.00066006,0.00069922
32,aluminum,4,215.0,3.20066,0.00066006,0.00069922
33,aluminum,4,215.0,3.3007000000000004,0.00066006,0.00069918
34,aluminum,4,215.0,3.40066,0.00066008,0.00069922
35,aluminum,4,215.0,3.5007,0.00066008,0.00069922
36,aluminum,4,215.0,3.6007,0.0006601,0.00069924
37,aluminum,4,215.0,3.700660000000001,0.00066008,0.00069922
38,aluminum,4,215.0,3.8007,0.00066006,0.00069922
39,aluminum,4,215.0,3.900700000000001,0.0006601,0.00069922
40,aluminum,4,215.0,4.000660000000001,0.00066008,0.00069922
41,aluminum,4,215.0,4.10066,0.00066006,0.00069924
42,aluminum,4,215.0,4.20066,0.00066008,0.00069924
43,aluminum,4,215.0,4.3007,0.0006601,0.00069924
44,aluminum,4,215.0,4.40066,0.00066008,0.00069926
45,aluminum,4,215.0,4.500660000000001,0.0006601,0.00069926
46,aluminum,4,215.0,4.60066,0.00066008,0.00069924
47,aluminum,4,215.0,4.70066,0.00066012,0.00069924
48,aluminum,4,215.0,4.8007,0.00066008,0.00069924
49,aluminum,4,215.0,4.9007000000000005,0.00066008,0.00069924
50,aluminum,4,215.0,5.0007,0.00066008,0.00069922
51,aluminum,4,215.0,5.10066,0.0006601,0.0006992
52,aluminum,4,215.0,5.20066,0.00066012,0.00069922
53,aluminum,4,215.0,5.300700000000001,0.00066012,0.0006992
54,aluminum,4,215.0,5.40066,0.00066012,0.00069922
55,aluminum,4,215.0,5.5007,0.00066014,0.0006992
56,aluminum,4,215.0,5.600700000000001,0.00066016,0.0006992
57,aluminum,4,215.0,5.7007,0.00066014,0.00069922
58,aluminum,4,215.0,5.800700000000001,0.00066016,0.0006992
59,aluminum,4,215.0,5.9007000000000005,0.00066018,0.00069922
60,aluminum,4,215.0,6.000660000000001,0.00066018,0.00069922
61,aluminum,4,215.0,6.10066,0.0006602,0.00069922
62,aluminum,4,215.0,6.2007,0.00066018,0.0006992
63,aluminum,4,215.0,6.300700000000001,0.0006602,0.0006992
64,aluminum,4,215.0,6.40066,0.0006602,0.0006992
65,aluminum,4,215.0,6.500660000000001,0.0006602,0.00069916
66,aluminum,4,215.0,6.60066,0.00066022,0.00069916
67,aluminum,4,215.0,6.7007,0.00066022,0.0006992
68,aluminum,4,215.0,6.800660000000001,0.0006602,0.00069916
69,aluminum,4,215.0,6.90066,0.00066022,0.00069914
70,aluminum,4,215.0,7.0007,0.00066022,0.00069916
71,aluminum,4,215.0,7.10066,0.0006602,0.0006991
72,aluminum,4,215.0,7.200660000000001,0.00066018,0.0006991
73,aluminum,4,215.0,7.300700000000002,0.00066016,0.0006991
74,aluminum,4,215.0,7.40066,0.00066012,0.00069908
75,aluminum,4,215.0,7.50066,0.00065994,0.00069926
76,aluminum,4,215.0,7.6007,0.00065996,0.00069928
77,aluminum,4,215.0,7.7007,0.00065994,0.00069928
78,aluminum,4,215.0,7.80066,0.00065992,0.00069928
79,aluminum,4,215.0,7.90066,0.00065994,0.00069926
80,aluminum,4,215.0,8.0007,0.0006599,0.00069928
81,aluminum,4,215.0,8.1007,0.00065988,0.00069928
82,aluminum,4,215.0,8.200660000000001,0.00065986,0.00069928
83,aluminum,4,215.0,8.3007,0.0006599,0.00069928
84,aluminum,4,215.0,8.40066,0.00065986,0.0006993
85,aluminum,4,215.0,8.5007,0.00065984,0.0006993
86,aluminum,4,215.0,8.600700000000002,0.00065982,0.00069928
87,aluminum,4,215.0,8.700700000000001,0.00065978,0.00069928
88,aluminum,4,215.0,8.8007,0.00065984,0.00069928
89,aluminum,4,215.0,8.9007,0.00065984,0.00069928
90,aluminum,4,215.0,9.00066,0.0006598,0.00069926
91,aluminum,4,215.0,9.10066,0.0006598,0.0006993
92,aluminum,4,215.0,9.2007,0.00065978,0.00069928
93,aluminum,4,215.0,9.3007,0.00065978,0.00069928
94,aluminum,4,215.0,9.40066,0.00065976,0.00069926
