index,Sample,Trial,k,Time,Primary,Secondary
0,cement,2,1.73,0.00927,0.0006597,0.00069806
1,cement,2,1.73,0.1007,0.00066,0.00069802
2,cement,2,1.73,0.2007,0.00066,0.000698
3,cement,2,1.73,0.3007,0.00066,0.00069796
4,cement,2,1.73,0.40066,0.00066,0.00069798
5,cement,2,1.73,0.50066,0.00066,0.00069798
6,cement,2,1.73,0.60066,0.00066,0.00069796
7,cement,2,1.73,0.70066,0.00066,0.00069798
8,cement,2,1.73,0.80066,0.00065998,0.00069796
9,cement,2,1.73,0.9007,0.00066,0.00069794
10,cement,2,1.73,1.00066,0.00066,0.00069794
11,cement,2,1.73,1.1007,0.00066,0.00069794
12,cement,2,1.73,1.2007,0.00065998,0.00069794
13,cement,2,1.73,1.3007000000000002,0.00066,0.00069794
14,cement,2,1.73,1.40066,0.00065998,0.00069794
15,cement,2,1.73,1.50066,0.00065996,0.0006979
16,cement,2,1.73,1.6006600000000002,0.00066002,0.00069788
17,cement,2,1.73,1.70066,0.00065998,0.00069792
18,cement,2,1.73,1.8006600000000001,0.00065996,0.00069792
19,cement,2,1.73,1.9007,0.00066,0.0006979
20,cement,2,1.73,2.0007,0.00066,0.0006979
21,cement,2,1.73,2.10066,0.00065996,0.0006979
22,cement,2,1.73,2.20066,0.00065996,0.00069786
23,cement,2,1.73,2.3007,0.00066,0.0006979
24,cement,2,1.73,2.40066,0.00065996,0.00069786
25,cement,2,1.73,2.5006600000000003,0.00065998,0.00069786
26,cement,2,1.73,2.6007,0.00065998,0.0006979
27,cement,2,1.73,2.7007000000000003,0.00065996,0.00069786
28,cement,2,1.73,2.8007000000000004,0.00065998,0.00069786
29,cement,2,1.73,2.9007,0.00065998,0.00069786
30,cement,2,1.73,3.0007,0.00066,0.00069788
31,cement,2,1.73,3.1006600000000004,0.00066,0.00069788
32,cement,2,1.73,3.20066,0.00065998,0.00069788
33,cement,2,1.73,3.30066,0.00065998,0.0006979
34,cement,2,1.73,3.4007000000000005,0.00065996,0.00069786
35,cement,2,1.73,3.5007,0.00065996,0.0006979
36,cement,2,1.73,3.6006600000000004,0.00065996,0.0006979
37,cement,2,1.73,3.700660000000001,0.00065996,0.00069788
38,cement,2,1.73,3.8007,0.00065996,0.00069788
39,cement,2,1.73,3.900700000000001,0.00065996,0.0006979
40,cement,2,1.73,4.0007,0.00065998,0.00069792
41,cement,2,1.73,4.100700000000001,0.00065996,0.0006979
42,cement,2,1.73,4.2007,0.00065998,0.0006979
43,cement,2,1.73,4.3007,0.00065998,0.0006979
44,cement,2,1.73,4.4007000000000005,0.00065998,0.0006979
45,cement,2,1.73,4.5007,0.00066,0.00069788
46,cement,2,1.73,4.600700000000001,0.00065996,0.00069786
47,cement,2,1.73,4.7007,0.00066,0.0006979
48,cement,2,1.73,4.800660000000001,0.00065998,0.0006979
49,cement,2,1.73,4.9007000000000005,0.00065998,0.0006979
50,cement,2,1.73,5.0007,0.00065996,0.00069788
51,cement,2,1.73,5.10066,0.00065994,0.0006979
52,cement,2,1.73,5.2007,0.00065996,0.00069788
53,cement,2,1.73,5.300700000000001,0.00065996,0.00069786
54,cement,2,1.73,5.4007000000000005,0.00065996,0.0006979
55,cement,2,1.73,5.5007,0.00065994,0.00069786
56,cement,2,1.73,5.600700000000001,0.00065996,0.00069788
57,cement,2,1.73,5.70066,0.00065996,0.00069786
58,cement,2,1.73,5.800700000000001,0.00065994,0.00069788
59,cement,2,1.73,5.9007000000000005,0.00065994,0.0006979
60,cement,2,1.73,6.000660000000001,0.00065994,0.0006979
61,cement,2,1.73,6.100700000000001,0.00065992,0.00069788
62,cement,2,1.73,6.2007,0.00065992,0.0006979
63,cement,2,1.73,6.300660000000001,0.0006599,0.0006979
64,cement,2,1.73,6.40066,0.00065992,0.0006979
65,cement,2,1.73,6.5007,0.0006599,0.0006979
66,cement,2,1.73,6.600700000000001,0.0006599,0.00069788
67,cement,2,1.73,6.7007,0.00065988,0.00069792
68,cement,2,1.73,6.800660000000001,0.0006599,0.0006979
69,cement,2,1.73,6.9007000000000005,0.0006599,0.0006979
70,cement,2,1.73,7.000660000000001,0.0006599,0.00069792
71,cement,2,1.73,7.100700000000001,0.0006599,0.0006979
72,cement,2,1.73,7.2007,0.0006599,0.00069786
73,cement,2,1.73,7.300700000000002,0.0006599,0.00069794
74,cement,2,1.73,7.40066,0.00065976,0.00069798
75,cement,2,1.73,7.500700000000001,0.00065976,0.00069798
76,cement,2,1.73,7.6007,0.00065976,0.00069794
77,cement,2,1.73,7.7007,0.00065974,0.00069792
78,cement,2,1.73,7.800700000000002,0.00065976,0.00069792
79,cement,2,1.73,7.90066,0.00065976,0.00069792
80,cement,2,1.73,8.00066,0.00065978,0.0006979
81,cement,2,1.73,8.1007,0.00065976,0.00069788
82,cement,2,1.73,8.200660000000001,0.00065974,0.0006979
83,cement,2,1.73,8.3007,0.00065974,0.00069792
84,cement,2,1.73,8.4007,0.00065974,0.00069786
85,cement,2,1.73,8.50066,0.00065974,0.00069788
86,cement,2,1.73,8.600700000000002,0.00065974,0.00069788
87,cement,2,1.73,8.700660000000001,0.00065974,0.0006979
88,cement,2,1.73,8.8007,0.00065974,0.0006979
89,cement,2,1.73,8.90066,0.00065972,0.0006979
90,cement,2,1.73,9.0007,0.00065972,0.0006979
91,cement,2,1.73,9.1007,0.0006597,0.00069788
92,cement,2,1.73,9.2007,0.0006597,0.0006979
93,cement,2,1.73,9.30066,0.00065968,0.0006979
94,cement,2,1.73,9.4007,0.00065968,0.00069792
95,cement,2,1.73,9.5007,0.00065966,0.00069792
96,cement,2,1.73,9.60066,0.00065966,0.0006979
97,cement,2,1.73,9.700660000000001,0.00065966,0.0006979
98,cement,2,1.73,9.8007,0.00065962,0.0006979
99,cement,2,1.73,9.9007,0.00065962,0.0006979
100,cement,2,1.73,10.0007,0.0006596,0.0006979
101,cement,2,1.73,10.10066,0.00065958,0.00069792
102,cement,2,1.73,10.20066,0.00065952,0.00069784
103,cement,2,1.73,10.3007,0.00065918,0.00069784
104,cement,2,1.73,10.40066,0.00065884,0.00069786
105,cement,2,1.73,10.500660000000002,0.0006586,0.00069784
106,cement,2,1.73,10.60066,0.0006584,0.00069786
107,cement,2,1.73,10.70066,0.0006582,0.00069784
108,cement,2,1.73,10.8007,0.00065806,0.00069784
109,cement,2,1.73,10.9007,0.0006579,0.00069784
110,cement,2,1.73,11.0007,0.00065778,0.00069786
111,cement,2,1.73,11.10067,0.0006577,0.00069784
112,cement,2,1.73,11.20066,0.00065752,0.0006978
113,cement,2,1.73,11.30066,0.00065744,0.0006978
114,cement,2,1.73,11.4007,0.00065736,0.00069778
115,cement,2,1.73,11.500660000000002,0.00065728,0.00069778
116,cement,2,1.73,11.60066,0.0006572,0.00069776
117,cement,2,1.73,11.7007,0.00065712,0.00069776
118,cement,2,1.73,11.8007,0.00065704,0.00069772
119,cement,2,1.73,11.9007,0.00065696,0.0006977
120,cement,2,1.73,12.0007,0.00065692,0.00069766
121,cement,2,1.73,12.100700000000002,0.00065684,0.00069762
122,cement,2,1.73,12.20066,0.0006568,0.00069758
123,cement,2,1.73,12.3007,0.00065676,0.00069758
124,cement,2,1.73,12.4007,0.0006567,0.00069754
125,cement,2,1.73,12.500660000000002,0.00065664,0.00069748
126,cement,2,1.73,12.60066,0.00065658,0.00069744
127,cement,2,1.73,12.7007,0.00065654,0.00069742
128,cement,2,1.73,12.80066,0.0006565,0.00069736
129,cement,2,1.73,12.90066,0.00065646,0.00069732
130,cement,2,1.73,13.000660000000002,0.0006564,0.00069728
131,cement,2,1.73,13.10066,0.00065638,0.00069724
132,cement,2,1.73,13.2007,0.00065636,0.0006972
133,cement,2,1.73,13.3007,0.00065628,0.00069714
134,cement,2,1.73,13.40066,0.00065628,0.0006971
135,cement,2,1.73,13.500660000000002,0.00065622,0.00069708
136,cement,2,1.73,13.60066,0.00065618,0.00069702
137,cement,2,1.73,13.70066,0.00065616,0.00069698
138,cement,2,1.73,13.80066,0.00065614,0.00069692
139,cement,2,1.73,13.9007,0.00065608,0.00069686
140,cement,2,1.73,14.000700000000002,0.00065606,0.00069686
141,cement,2,1.73,14.100700000000002,0.00065604,0.00069678
142,cement,2,1.73,14.20066,0.000656,0.00069678
143,cement,2,1.73,14.30066,0.00065598,0.0006967
144,cement,2,1.73,14.4007,0.00065594,0.00069668
145,cement,2,1.73,14.500700000000002,0.0006559,0.00069662
146,cement,2,1.73,14.600700000000002,0.00065588,0.0006966
147,cement,2,1.73,14.7007,0.00065586,0.00069652
148,cement,2,1.73,14.80066,0.00065584,0.00069648
149,cement,2,1.73,14.900660000000002,0.00065582,0.00069648
150,cement,2,1.73,15.000660000000002,0.00065576,0.0006964
151,cement,2,1.73,15.100700000000002,0.00065576,0.00069638
152,cement,2,1.73,15.20067,0.00065572,0.00069634
153,cement,2,1.73,15.30066,0.00065572,0.0006963
154,cement,2,1.73,15.4007,0.0006557,0.00069626
155,cement,2,1.73,15.500700000000002,0.00065564,0.0006962
156,cement,2,1.73,15.60066,0.00065564,0.00069618
157,cement,2,1.73,15.70066,0.00065558,0.00069614
158,cement,2,1.73,15.80066,0.00065558,0.00069608
159,cement,2,1.73,15.9007,0.00065554,0.00069604
160,cement,2,1.73,16.000700000000002,0.00065554,0.000696
161,cement,2,1.73,16.10066,0.0006555,0.00069596
162,cement,2,1.73,16.2007,0.00065546,0.00069592
163,cement,2,1.73,16.30066,0.00065546,0.0006959
164,cement,2,1.73,16.400660000000002,0.00065546,0.00069584
165,cement,2,1.73,16.500700000000002,0.0006554,0.00069582
166,cement,2,1.73,16.6007,0.0006554,0.00069576
167,cement,2,1.73,16.700660000000003,0.00065538,0.00069574
168,cement,2,1.73,16.80066,0.00065534,0.00069568
169,cement,2,1.73,16.900660000000002,0.00065534,0.00069568
170,cement,2,1.73,17.000670000000003,0.00065532,0.00069562
171,cement,2,1.73,17.10067,0.00065532,0.00069558
172,cement,2,1.73,17.2007,0.00065526,0.00069554
173,cement,2,1.73,17.300700000000003,0.00065528,0.0006955
174,cement,2,1.73,17.4007,0.00065522,0.00069548
175,cement,2,1.73,17.500700000000002,0.00065522,0.00069544
176,cement,2,1.73,17.60066,0.0006552,0.00069542
177,cement,2,1.73,17.7007,0.00065518,0.00069538
178,cement,2,1.73,17.800700000000003,0.00065516,0.00069534
179,cement,2,1.73,17.9007,0.00065514,0.00069528
180,cement,2,1.73,18.00066,0.00065514,0.00069526
181,cement,2,1.73,18.10066,0.0006551,0.00069524
182,cement,2,1.73,18.2007,0.0006551,0.00069518
183,cement,2,1.73,18.300700000000003,0.00065508,0.00069516
184,cement,2,1.73,18.4007,0.00065504,0.00069516
185,cement,2,1.73,18.5007,0.000655,0.0006951
186,cement,2,1.73,18.6007,0.00065502,0.00069506
187,cement,2,1.73,18.7007,0.00065498,0.00069506
188,cement,2,1.73,18.80066,0.00065496,0.000695
189,cement,2,1.73,18.9007,0.00065498,0.000695
190,cement,2,1.73,19.0007,0.00065496,0.00069492
191,cement,2,1.73,19.10067,0.00065494,0.00069492
192,cement,2,1.73,19.2007,0.0006549,0.00069488
