index,Sample,Trial,k,Time,Primary,Secondary
0,copper,5,395.0,0.0093,0.00065986,0.00069914
1,copper,5,395.0,0.10072,0.00065996,0.00069894
2,copper,5,395.0,0.20068,0.00065994,0.00069894
3,copper,5,395.0,0.30071,0.00065992,0.00069892
4,copper,5,395.0,0.40071,0.00065994,0.0006989
5,copper,5,395.0,0.50067,0.00065992,0.00069892
6,copper,5,395.0,0.60071,0.00065994,0.0006989
7,copper,5,395.0,0.70071,0.00065998,0.00069892
8,copper,5,395.0,0.80071,0.00065998,0.00069892
9,copper,5,395.0,0.9007100000000001,0.00065998,0.0006989
10,copper,5,395.0,1.00068,0.00065996,0.00069892
11,copper,5,395.0,1.10071,0.00065996,0.00069892
12,copper,5,395.0,1.2006800000000002,0.00065998,0.00069892
13,copper,5,395.0,1.30071,0.00065994,0.0006989
14,copper,5,395.0,1.4006800000000001,0.00065998,0.00069892
15,copper,5,395.0,1.50068,0.00065998,0.00069888
16,copper,5,395.0,1.60068,0.00065994,0.00069888
17,copper,5,395.0,1.7007100000000002,0.00065996,0.00069892
18,copper,5,395.0,1.8007100000000005,0.00065994,0.0006989
19,copper,5,395.0,1.90071,0.00065998,0.00069892
20,copper,5,395.0,2.00071,0.00065994,0.00069888
21,copper,5,395.0,2.1007200000000004,0.00065998,0.00069886
22,copper,5,395.0,2.20068,0.00065998,0.00069888
23,copper,5,395.0,2.3006800000000003,0.00065998,0.00069888
24,copper,5,395.0,2.40071,0.00066,0.00069886
25,copper,5,395.0,2.50068,0.00066,0.00069886
26,copper,5,395.0,2.6007100000000003,0.00066,0.0006989
27,copper,5,395.0,2.70068,0.00066002,0.00069888
28,copper,5,395.0,2.80071,0.00066002,0.00069888
29,copper,5,395.0,2.90071,0.00066,0.00069888
30,copper,5,395.0,3.0007200000000003,0.00066,0.00069888
31,copper,5,395.0,3.10068,0.00065998,0.00069888
32,copper,5,395.0,3.2007100000000004,0.00066,0.00069888
33,copper,5,395.0,3.3006800000000003,0.00066,0.00069888
34,copper,5,395.0,3.40072,0.00066,0.00069886
35,copper,5,395.0,3.50071,0.00066,0.0006989
36,copper,5,395.0,3.6006700000000005,0.00066,0.00069888
37,copper,5,395.0,3.70067,0.00066,0.00069886
38,copper,5,395.0,3.80067,0.00066004,0.00069886
39,copper,5,395.0,3.90071,0.00066002,0.00069888
40,copper,5,395.0,4.00068,0.00066006,0.00069888
41,copper,5,395.0,4.10072,0.00066008,0.0006989
42,copper,5,395.0,4.20071,0.0006601,0.00069888
43,copper,5,395.0,4.30072,0.0006601,0.00069892
44,copper,5,395.0,4.40068,0.00066012,0.00069888
45,copper,5,395.0,4.500710000000001,0.0006601,0.00069892
46,copper,5,395.0,4.60071,0.00066012,0.00069894
47,copper,5,395.0,4.700670000000001,0.00066012,0.00069892
48,copper,5,395.0,4.800680000000001,0.0006601,0.0006989
49,copper,5,395.0,4.90068,0.00066014,0.00069888
50,copper,5,395.0,5.00072,0.00066014,0.00069892
51,copper,5,395.0,5.10071,0.00066012,0.00069892
52,copper,5,395.0,5.200710000000001,0.00066012,0.00069888
53,copper,5,395.0,5.30067,0.00066014,0.00069888
54,copper,5,395.0,5.40068,0.00066012,0.0006989
55,copper,5,395.0,5.500710000000001,0.00066014,0.00069888
56,copper,5,395.0,5.60071,0.00066014,0.00069888
57,copper,5,395.0,5.700710000000001,0.0006601,0.00069888
58,copper,5,395.0,5.8007100000000005,0.00066012,0.00069886
59,copper,5,395.0,5.90068,0.0006601,0.00069888
60,copper,5,395.0,6.00072,0.00066008,0.00069888
61,copper,5,395.0,6.1006800000000005,0.0006601,0.00069892
62,copper,5,395.0,6.20068,0.0006601,0.0006989
63,copper,5,395.0,6.300680000000001,0.00066012,0.00069892
64,copper,5,395.0,6.400670000000001,0.00066008,0.00069894
65,copper,5,395.0,6.500710000000001,0.00066012,0.00069896
66,copper,5,395.0,6.60071,0.00066014,0.00069894
67,copper,5,395.0,6.700710000000001,0.00066018,0.00069898
68,copper,5,395.0,6.800680000000001,0.00066014,0.00069896
69,copper,5,395.0,6.90071,0.00066016,0.00069898
70,copper,5,395.0,7.000680000000001,0.00066016,0.00069898
71,copper,5,395.0,7.1006800000000005,0.00066016,0.00069896
72,copper,5,395.0,7.2007200000000005,0.00066016,0.000699
73,copper,5,395.0,7.30071,0.00066012,0.00069896
74,copper,5,395.0,7.400710000000001,0.00066014,0.00069896
75,copper,5,395.0,7.50071,0.00066008,0.00069896
76,copper,5,395.0,7.600670000000002,0.00065988,0.00069916
77,copper,5,395.0,7.70067,0.00065984,0.0006991
78,copper,5,395.0,7.80068,0.00065988,0.0006991
79,copper,5,395.0,7.90072,0.00065984,0.0006991
80,copper,5,395.0,8.000680000000001,0.0006598,0.0006991
81,copper,5,395.0,8.10072,0.0006598,0.00069908
82,copper,5,395.0,8.20068,0.0006598,0.0006991
83,copper,5,395.0,8.30072,0.0006598,0.00069908
84,copper,5,395.0,8.400680000000001,0.00065976,0.0006991
85,copper,5,395.0,8.500680000000001,0.00065976,0.00069908
86,copper,5,395.0,8.600710000000001,0.00065978,0.0006991
87,copper,5,395.0,8.70072,0.00065974,0.0006991
88,copper,5,395.0,8.80068,0.00065976,0.0006991
89,copper,5,395.0,8.900720000000002,0.00065972,0.00069912
90,copper,5,395.0,9.000720000000001,0.00065972,0.0006991
91,copper,5,395.0,9.10068,0.00065974,0.0006991
92,copper,5,395.0,9.20068,0.00065974,0.0006991
93,copper,5,395.0,9.30068,0.0006597,0.0006991
94,copper,5,395.0,9.40068,0.0006597,0.0006991
95,copper,5,395.0,9.50071,0.00065966,0.0006991
96,copper,5,395.0,9.60071,0.00065966,0.00069912
97,copper,5,395.0,9.70072,0.00065966,0.0006991
98,copper,5,395.0,9.80068,0.00065964,0.0006991
99,copper,5,395.0,9.90072,0.00065966,0.00069912
100,copper,5,395.0,10.00072,0.00065964,0.0006991
101,copper,5,395.0,10.10071,0.00065962,0.00069914
102,copper,5,395.0,10.20072,0.00065962,0.0006991
103,copper,5,395.0,10.30071,0.00065958,0.00069912
104,copper,5,395.0,10.400720000000002,0.00065958,0.00069912
105,copper,5,395.0,10.50068,0.00065956,0.00069912
106,copper,5,395.0,10.60068,0.00065956,0.0006991
107,copper,5,395.0,10.70068,0.00065952,0.00069908
108,copper,5,395.0,10.80072,0.0006595,0.0006991
109,copper,5,395.0,10.90071,0.00065952,0.00069912
110,copper,5,395.0,11.00068,0.00065948,0.0006991
111,copper,5,395.0,11.10068,0.00065936,0.00069908
112,copper,5,395.0,11.20072,0.00065808,0.000699
113,copper,5,395.0,11.300680000000002,0.00065664,0.000699
114,copper,5,395.0,11.40068,0.00065572,0.000699
115,copper,5,395.0,11.50072,0.00065512,0.00069898
116,copper,5,395.0,11.60068,0.0006546,0.00069896
117,copper,5,395.0,11.70068,0.00065422,0.00069896
118,copper,5,395.0,11.80072,0.0006539,0.00069896
119,copper,5,395.0,11.90068,0.00065364,0.00069894
120,copper,5,395.0,12.00068,0.0006534,0.00069892
121,copper,5,395.0,12.10068,0.0006532,0.00069888
122,copper,5,395.0,12.20068,0.00065302,0.00069884
123,copper,5,395.0,12.300720000000002,0.00065286,0.00069878
124,copper,5,395.0,12.400720000000002,0.00065272,0.0006987
125,copper,5,395.0,12.50072,0.00065258,0.00069864
126,copper,5,395.0,12.60068,0.00065248,0.00069858
127,copper,5,395.0,12.70068,0.00065238,0.00069848
128,copper,5,395.0,12.800680000000002,0.00065226,0.00069838
129,copper,5,395.0,12.900720000000002,0.00065216,0.0006983
130,copper,5,395.0,13.00068,0.0006521,0.0006982
131,copper,5,395.0,13.10068,0.00065202,0.0006981
132,copper,5,395.0,13.20071,0.00065194,0.000698
133,copper,5,395.0,13.300680000000002,0.00065188,0.00069792
134,copper,5,395.0,13.40068,0.00065184,0.0006978
135,copper,5,395.0,13.50072,0.00065178,0.0006977
136,copper,5,395.0,13.60072,0.00065172,0.00069758
137,copper,5,395.0,13.70072,0.00065166,0.0006975
138,copper,5,395.0,13.800720000000002,0.00065162,0.00069736
139,copper,5,395.0,13.900720000000002,0.00065156,0.00069726
140,copper,5,395.0,14.00072,0.00065152,0.00069716
141,copper,5,395.0,14.10072,0.0006515,0.00069704
142,copper,5,395.0,14.200680000000002,0.00065142,0.0006969
143,copper,5,395.0,14.30071,0.00065142,0.0006968
144,copper,5,395.0,14.400720000000002,0.00065138,0.0006967
145,copper,5,395.0,14.50068,0.00065132,0.00069658
146,copper,5,395.0,14.60068,0.00065128,0.00069648
147,copper,5,395.0,14.70072,0.00065124,0.00069638
148,copper,5,395.0,14.800720000000002,0.00065122,0.00069628
149,copper,5,395.0,14.90068,0.0006512,0.00069616
150,copper,5,395.0,15.00068,0.00065114,0.00069604
151,copper,5,395.0,15.10072,0.00065112,0.00069596
152,copper,5,395.0,15.200680000000002,0.00065108,0.00069586
153,copper,5,395.0,15.300720000000002,0.00065106,0.00069574
154,copper,5,395.0,15.40068,0.00065106,0.00069568
155,copper,5,395.0,15.50068,0.000651,0.00069554
156,copper,5,395.0,15.60068,0.00065098,0.00069548
157,copper,5,395.0,15.700680000000002,0.00065098,0.00069536
158,copper,5,395.0,15.800680000000002,0.00065092,0.00069528
159,copper,5,395.0,15.90068,0.0006509,0.00069518
160,copper,5,395.0,16.00072,0.00065088,0.0006951
161,copper,5,395.0,16.10068,0.00065086,0.00069498
162,copper,5,395.0,16.20072,0.00065084,0.00069492
163,copper,5,395.0,16.30068,0.0006508,0.00069482
164,copper,5,395.0,16.40068,0.00065078,0.00069474
165,copper,5,395.0,16.50072,0.00065078,0.00069468
166,copper,5,395.0,16.600720000000003,0.00065076,0.00069456
167,copper,5,395.0,16.70072,0.00065072,0.00069448
168,copper,5,395.0,16.800720000000002,0.00065072,0.00069442
169,copper,5,395.0,16.90072,0.0006507,0.00069434
170,copper,5,395.0,17.00072,0.00065066,0.00069426
171,copper,5,395.0,17.10068,0.00065066,0.00069418
172,copper,5,395.0,17.200680000000002,0.00065064,0.00069412
173,copper,5,395.0,17.300720000000002,0.00065064,0.00069404
174,copper,5,395.0,17.40068,0.00065058,0.00069396
175,copper,5,395.0,17.50072,0.00065056,0.0006939
176,copper,5,395.0,17.60068,0.00065058,0.00069382
177,copper,5,395.0,17.700680000000002,0.00065052,0.00069374
178,copper,5,395.0,17.800720000000002,0.0006505,0.00069368
179,copper,5,395.0,17.90072,0.00065052,0.0006936
180,copper,5,395.0,18.00072,0.0006505,0.00069354
181,copper,5,395.0,18.10068,0.00065048,0.00069348
182,copper,5,395.0,18.20068,0.00065044,0.00069342
183,copper,5,395.0,18.30072,0.00065046,0.00069334
184,copper,5,395.0,18.40071,0.00065042,0.00069328
185,copper,5,395.0,18.500680000000003,0.00065042,0.00069324
186,copper,5,395.0,18.600720000000003,0.0006504,0.00069316
187,copper,5,395.0,18.70072,0.00065038,0.00069312
188,copper,5,395.0,18.80072,0.00065036,0.00069308
189,copper,5,395.0,18.90068,0.00065036,0.00069298
190,copper,5,395.0,19.00072,0.00065034,0.00069294
191,copper,5,395.0,19.100710000000003,0.00065036,0.00069288
192,copper,5,395.0,19.20067,0.0006503,0.00069284
193,copper,5,395.0,19.30072,0.0006503,0.0006928
194,copper,5,395.0,19.40068,0.0006503,0.00069272
195,copper,5,395.0,19.500680000000003,0.00065028,0.00069268
196,copper,5,395.0,19.600710000000003,0.00065026,0.00069266
197,copper,5,395.0,19.70072,0.00065026,0.00069258
198,copper,5,395.0,19.80072,0.00065026,0.00069252
199,copper,5,395.0,19.90068,0.00065022,0.00069248
200,copper,5,395.0,20.000680000000003,0.00065022,0.00069246
201,copper,5,395.0,20.100720000000003,0.0006502,0.00069238
202,copper,5,395.0,20.20072,0.00065018,0.00069236
203,copper,5,395.0,20.30072,0.00065016,0.00069232
204,copper,5,395.0,20.400720000000003,0.00065018,0.00069224
205,copper,5,395.0,20.50072,0.00065014,0.00069222
206,copper,5,395.0,20.60068,0.00065014,0.00069216
207,copper,5,395.0,20.70072,0.00065014,0.00069214
208,copper,5,395.0,20.80072,0.00065012,0.0006921
209,copper,5,395.0,20.90071,0.00065012,0.00069202
210,copper,5,395.0,21.00072,0.00065012,0.000692
211,copper,5,395.0,21.100710000000003,0.00065012,0.00069198
212,copper,5,395.0,21.20072,0.00065008,0.00069192
213,copper,5,395.0,21.300680000000003,0.00065008,0.00069188
214,copper,5,395.0,21.40068,0.00065008,0.00069186
215,copper,5,395.0,21.50071,0.00065006,0.00069182
216,copper,5,395.0,21.600710000000003,0.00065006,0.00069176
217,copper,5,395.0,21.70072,0.00065006,0.00069172
218,copper,5,395.0,21.80067,0.00065002,0.00069174
219,copper,5,395.0,21.90068,0.00065004,0.00069168
220,copper,5,395.0,22.000680000000003,0.00065004,0.00069164
221,copper,5,395.0,22.10068,0.00065004,0.0006916
222,copper,5,395.0,22.20068,0.00065004,0.0006916
223,copper,5,395.0,22.300680000000003,0.00064998,0.00069156
224,copper,5,395.0,22.40071,0.00065,0.00069152
225,copper,5,395.0,22.500680000000003,0.00064998,0.0006915
226,copper,5,395.0,22.600710000000003,0.00064996,0.00069144
227,copper,5,395.0,22.70067,0.00064998,0.00069144
228,copper,5,395.0,22.80067,0.00064998,0.00069138
