index,Sample,Trial,k,Time,Primary,Secondary
0,cork_fine,1,0.043,0.00937,0.00066054,0.00069816
1,cork_fine,1,0.043,0.10067,0.00066026,0.00069818
2,cork_fine,1,0.043,0.2007,0.00066024,0.00069814
3,cork_fine,1,0.043,0.30066,0.00066022,0.00069812
4,cork_fine,1,0.043,0.40066,0.00066024,0.00069814
5,cork_fine,1,0.043,0.5007,0.00066024,0.00069812
6,cork_fine,1,0.043,0.6007,0.00066022,0.00069812
7,cork_fine,1,0.043,0.7007000000000001,0.0006602,0.0006981
8,cork_fine,1,0.043,0.8007,0.00066022,0.00069808
9,cork_fine,1,0.043,0.9006600000000001,0.0006602,0.00069808
10,cork_fine,1,0.043,1.0007,0.0006602,0.00069806
11,cork_fine,1,0.043,1.1006600000000002,0.00066018,0.00069806
12,cork_fine,1,0.043,1.2007,0.00066018,0.00069804
13,cork_fine,1,0.043,1.3006600000000001,0.00066018,0.00069806
14,cork_fine,1,0.043,1.40066,0.0006602,0.00069806
15,cork_fine,1,0.043,1.50066,0.0006602,0.00069802
16,cork_fine,1,0.043,1.6006600000000002,0.0006602,0.00069806
17,cork_fine,1,0.043,1.70066,0.00066018,0.00069804
18,cork_fine,1,0.043,1.8007000000000002,0.00066016,0.00069804
19,cork_fine,1,0.043,1.90066,0.00066018,0.00069802
20,cork_fine,1,0.043,2.0007,0.00066016,0.00069804
21,cork_fine,1,0.043,2.10066,0.00066018,0.00069802
22,cork_fine,1,0.043,2.2007000000000003,0.00066016,0.00069802
23,cork_fine,1,0.043,2.3007,0.00066016,0.00069804
24,cork_fine,1,0.043,2.40066,0.00066016,0.00069802
25,cork_fine,1,0.043,2.5006600000000003,0.00066016,0.000698
26,cork_fine,1,0.043,2.6007,0.00066014,0.000698
27,cork_fine,1,0.043,2.70066,0.00066016,0.00069798
28,cork_fine,1,0.043,2.80066,0.00066016,0.000698
29,cork_fine,1,0.043,2.9007,0.00066016,0.00069798
30,cork_fine,1,0.043,3.0006600000000003,0.00066012,0.000698
31,cork_fine,1,0.043,3.1006600000000004,0.00066016,0.000698
32,cork_fine,1,0.043,3.20066,0.00066016,0.00069798
33,cork_fine,1,0.043,3.3007000000000004,0.00066012,0.00069798
34,cork_fine,1,0.043,3.4007000000000005,0.00066016,0.00069798
35,cork_fine,1,0.043,3.5006600000000003,0.00066014,0.00069798
36,cork_fine,1,0.043,3.6007,0.00066012,0.00069798
37,cork_fine,1,0.043,3.7007,0.00066012,0.000698
38,cork_fine,1,0.043,3.8007,0.00066012,0.00069796
39,cork_fine,1,0.043,3.900700000000001,0.00066014,0.00069798
40,cork_fine,1,0.043,4.000660000000001,0.00066012,0.00069796
41,cork_fine,1,0.043,4.10066,0.00066012,0.00069796
42,cork_fine,1,0.043,4.20066,0.00066012,0.00069798
43,cork_fine,1,0.043,4.3007,0.00066012,0.00069798
44,cork_fine,1,0.043,4.40066,0.00066012,0.00069794
45,cork_fine,1,0.043,4.5007,0.0006601,0.00069794
46,cork_fine,1,0.043,4.600700000000001,0.00066012,0.00069794
47,cork_fine,1,0.043,4.70066,0.00066012,0.00069794
48,cork_fine,1,0.043,4.8007,0.00066012,0.00069794
49,cork_fine,1,0.043,4.90066,0.0006601,0.00069794
50,cork_fine,1,0.043,5.0007,0.00066012,0.00069794
51,cork_fine,1,0.043,5.10066,0.0006601,0.00069794
52,cork_fine,1,0.043,5.2007,0.0006601,0.00069792
53,cork_fine,1,0.043,5.300660000000001,0.0006601,0.00069792
54,cork_fine,1,0.043,5.4007000000000005,0.00066008,0.00069794
55,cork_fine,1,0.043,5.5007,0.00066012,0.00069792
56,cork_fine,1,0.043,5.600700000000001,0.0006601,0.00069792
57,cork_fine,1,0.043,5.70066,0.00066008,0.00069792
58,cork_fine,1,0.043,5.800660000000001,0.00066008,0.0006979
59,cork_fine,1,0.043,5.9007000000000005,0.0006601,0.00069792
60,cork_fine,1,0.043,6.0007,0.00066008,0.00069792
61,cork_fine,1,0.043,6.100700000000001,0.00066008,0.00069792
