index,Sample,Trial,k,Time,Primary,Secondary
0,gypsum,5,0.17,0.00933,0.00066066,0.00069988
1,gypsum,5,0.17,0.10067,0.00066078,0.00069994
2,gypsum,5,0.17,0.2007,0.00066076,0.00069994
3,gypsum,5,0.17,0.3007,0.00066076,0.00069992
4,gypsum,5,0.17,0.4007,0.00066078,0.00069992
5,gypsum,5,0.17,0.5007,0.00066078,0.00069988
6,gypsum,5,0.17,0.6007,0.00066076,0.00069988
7,gypsum,5,0.17,0.7007000000000001,0.00066074,0.00069986
8,gypsum,5,0.17,0.80066,0.00066074,0.00069986
9,gypsum,5,0.17,0.9006600000000001,0.00066074,0.00069986
10,gypsum,5,0.17,1.00066,0.00066074,0.00069986
11,gypsum,5,0.17,1.1007,0.00066076,0.00069984
12,gypsum,5,0.17,1.20066,0.00066076,0.00069982
13,gypsum,5,0.17,1.3007000000000002,0.00066072,0.00069982
14,gypsum,5,0.17,1.4007,0.00066074,0.00069982
15,gypsum,5,0.17,1.5007,0.00066074,0.00069982
16,gypsum,5,0.17,1.6007000000000002,0.00066074,0.0006998
17,gypsum,5,0.17,1.70066,0.00066074,0.00069982
18,gypsum,5,0.17,1.8007000000000002,0.00066074,0.0006998
19,gypsum,5,0.17,1.9007,0.00066074,0.0006998
20,gypsum,5,0.17,2.0007,0.00066076,0.00069978
21,gypsum,5,0.17,2.1007,0.00066074,0.00069978
22,gypsum,5,0.17,2.2007000000000003,0.00066074,0.0006998
23,gypsum,5,0.17,2.30066,0.00066074,0.00069978
24,gypsum,5,0.17,2.4007,0.00066074,0.00069976
25,gypsum,5,0.17,2.5006600000000003,0.00066072,0.00069978
26,gypsum,5,0.17,2.6007,0.00066072,0.00069978
27,gypsum,5,0.17,2.7007000000000003,0.00066074,0.00069976
28,gypsum,5,0.17,2.8007000000000004,0.00066072,0.00069978
29,gypsum,5,0.17,2.90066,0.00066072,0.00069974
30,gypsum,5,0.17,3.0006600000000003,0.00066072,0.00069974
31,gypsum,5,0.17,3.1007,0.00066072,0.00069976
32,gypsum,5,0.17,3.2007000000000003,0.0006607,0.00069974
33,gypsum,5,0.17,3.3007000000000004,0.0006607,0.00069974
34,gypsum,5,0.17,3.40066,0.0006607,0.00069972
35,gypsum,5,0.17,3.5006600000000003,0.0006607,0.00069972
36,gypsum,5,0.17,3.6006600000000004,0.00066068,0.00069972
37,gypsum,5,0.17,3.7007,0.0006607,0.00069972
38,gypsum,5,0.17,3.80066,0.0006607,0.00069968
39,gypsum,5,0.17,3.900700000000001,0.0006607,0.00069972
40,gypsum,5,0.17,4.0007,0.0006607,0.00069972
41,gypsum,5,0.17,4.100700000000001,0.00066066,0.00069972
42,gypsum,5,0.17,4.2007,0.0006607,0.0006997
43,gypsum,5,0.17,4.300660000000001,0.00066068,0.0006997
44,gypsum,5,0.17,4.40066,0.00066068,0.00069968
45,gypsum,5,0.17,4.5007,0.00066068,0.0006997
46,gypsum,5,0.17,4.600700000000001,0.00066068,0.0006997
47,gypsum,5,0.17,4.70066,0.00066066,0.00069968
48,gypsum,5,0.17,4.8007,0.00066066,0.0006997
49,gypsum,5,0.17,4.9007000000000005,0.00066066,0.00069972
50,gypsum,5,0.17,5.000660000000001,0.00066066,0.0006997
51,gypsum,5,0.17,5.100700000000001,0.0006607,0.00069968
52,gypsum,5,0.17,5.20066,0.00066066,0.00069968
53,gypsum,5,0.17,5.300660000000001,0.00066066,0.00069968
54,gypsum,5,0.17,5.40066,0.00066066,0.00069968
55,gypsum,5,0.17,5.5007,0.00066068,0.00069968
56,gypsum,5,0.17,5.600700000000001,0.00066066,0.00069968
57,gypsum,5,0.17,5.70066,0.00066066,0.00069966
58,gypsum,5,0.17,5.800660000000001,0.00066066,0.00069966
59,gypsum,5,0.17,5.90066,0.0006607,0.00069966
60,gypsum,5,0.17,6.0007,0.00066064,0.00069966
61,gypsum,5,0.17,6.100700000000001,0.00066068,0.00069966
62,gypsum,5,0.17,6.200660000000001,0.0006607,0.00069966
63,gypsum,5,0.17,6.300660000000001,0.00066066,0.00069966
64,gypsum,5,0.17,6.40066,0.0006607,0.00069968
65,gypsum,5,0.17,6.500660000000001,0.00066068,0.00069966
66,gypsum,5,0.17,6.600700000000001,0.0006607,0.00069968
67,gypsum,5,0.17,6.700670000000001,0.0006607,0.00069966
68,gypsum,5,0.17,6.800700000000001,0.00066066,0.00069966
69,gypsum,5,0.17,6.90066,0.00066064,0.00069966
70,gypsum,5,0.17,7.0007,0.00066068,0.00069966
71,gypsum,5,0.17,7.10066,0.00066066,0.00069964
72,gypsum,5,0.17,7.200660000000001,0.00066064,0.00069964
73,gypsum,5,0.17,7.300700000000002,0.00066064,0.00069968
74,gypsum,5,0.17,7.4007,0.00066048,0.00069988
75,gypsum,5,0.17,7.500700000000001,0.00066048,0.00069988
76,gypsum,5,0.17,7.6007,0.00066046,0.00069988
77,gypsum,5,0.17,7.700660000000002,0.00066048,0.00069988
78,gypsum,5,0.17,7.80066,0.00066048,0.00069986
79,gypsum,5,0.17,7.9007,0.00066044,0.00069988
80,gypsum,5,0.17,8.00066,0.00066044,0.00069988
81,gypsum,5,0.17,8.100660000000001,0.00066044,0.0006999
82,gypsum,5,0.17,8.200660000000001,0.00066044,0.00069988
83,gypsum,5,0.17,8.30066,0.0006604,0.00069988
84,gypsum,5,0.17,8.40066,0.0006604,0.00069988
85,gypsum,5,0.17,8.50066,0.00066034,0.00069986
86,gypsum,5,0.17,8.600660000000001,0.00066038,0.00069988
87,gypsum,5,0.17,8.700700000000001,0.00066036,0.0006999
88,gypsum,5,0.17,8.8007,0.00066038,0.00069988
89,gypsum,5,0.17,8.90066,0.00066036,0.00069988
90,gypsum,5,0.17,9.00066,0.00066034,0.00069988
91,gypsum,5,0.17,9.10066,0.00066034,0.0006999
92,gypsum,5,0.17,9.2007,0.00066032,0.0006999
93,gypsum,5,0.17,9.30066,0.0006603,0.0006999
94,gypsum,5,0.17,9.4007,0.0006603,0.0006999
95,gypsum,5,0.17,9.5007,0.00066028,0.00069992
96,gypsum,5,0.17,9.6007,0.00066028,0.0006999
97,gypsum,5,0.17,9.700660000000001,0.00066028,0.00069988
98,gypsum,5,0.17,9.80066,0.00066026,0.0006999
99,gypsum,5,0.17,9.90066,0.00066026,0.0006999
100,gypsum,5,0.17,10.000660000000002,0.00066028,0.00069988
101,gypsum,5,0.17,10.10066,0.00066024,0.0006999
102,gypsum,5,0.17,10.2007,0.00066022,0.00069986
103,gypsum,5,0.17,10.3007,0.0006602,0.00069988
104,gypsum,5,0.17,10.4007,0.00066018,0.00069988
105,gypsum,5,0.17,10.5007,0.00066018,0.00069988
106,gypsum,5,0.17,10.60066,0.0006602,0.00069988
107,gypsum,5,0.17,10.70066,0.00066016,0.00069988
108,gypsum,5,0.17,10.8007,0.00066014,0.00069986
109,gypsum,5,0.17,10.90066,0.00066014,0.00069988
110,gypsum,5,0.17,11.0007,0.0006602,0.00069992
111,gypsum,5,0.17,11.10066,0.0006594,0.0006997
112,gypsum,5,0.17,11.2007,0.00065898,0.00069966
113,gypsum,5,0.17,11.3007,0.00065864,0.00069962
114,gypsum,5,0.17,11.40066,0.00065846,0.00069964
115,gypsum,5,0.17,11.5007,0.00065828,0.0006996
116,gypsum,5,0.17,11.60066,0.00065814,0.0006996
117,gypsum,5,0.17,11.7007,0.00065804,0.0006996
118,gypsum,5,0.17,11.80071,0.00065798,0.00069958
119,gypsum,5,0.17,11.9007,0.00065788,0.00069956
120,gypsum,5,0.17,12.00067,0.00065778,0.00069952
121,gypsum,5,0.17,12.100700000000002,0.00065774,0.00069952
122,gypsum,5,0.17,12.2007,0.00065764,0.00069952
123,gypsum,5,0.17,12.3007,0.0006576,0.0006995
124,gypsum,5,0.17,12.40066,0.00065754,0.00069948
125,gypsum,5,0.17,12.5007,0.0006575,0.00069946
126,gypsum,5,0.17,12.60066,0.00065746,0.00069944
127,gypsum,5,0.17,12.70066,0.00065742,0.00069942
128,gypsum,5,0.17,12.8007,0.0006574,0.00069938
129,gypsum,5,0.17,12.9007,0.00065736,0.00069936
130,gypsum,5,0.17,13.000700000000002,0.00065728,0.00069932
131,gypsum,5,0.17,13.10066,0.00065728,0.0006993
132,gypsum,5,0.17,13.2007,0.00065726,0.00069924
133,gypsum,5,0.17,13.30066,0.00065722,0.00069922
134,gypsum,5,0.17,13.4007,0.0006572,0.0006992
135,gypsum,5,0.17,13.500700000000002,0.00065718,0.00069916
136,gypsum,5,0.17,13.600700000000002,0.00065714,0.00069912
137,gypsum,5,0.17,13.70071,0.0006571,0.00069908
138,gypsum,5,0.17,13.800670000000002,0.0006571,0.00069906
139,gypsum,5,0.17,13.900670000000002,0.00065706,0.000699
140,gypsum,5,0.17,14.000700000000002,0.00065706,0.00069898
141,gypsum,5,0.17,14.100700000000002,0.00065704,0.00069896
142,gypsum,5,0.17,14.2007,0.00065704,0.00069892
143,gypsum,5,0.17,14.3007,0.000657,0.00069888
144,gypsum,5,0.17,14.4007,0.00065698,0.00069886
145,gypsum,5,0.17,14.500660000000002,0.00065696,0.00069886
146,gypsum,5,0.17,14.600700000000002,0.00065692,0.0006988
147,gypsum,5,0.17,14.70066,0.00065692,0.00069876
148,gypsum,5,0.17,14.800670000000002,0.00065692,0.00069874
149,gypsum,5,0.17,14.900660000000002,0.0006569,0.0006987
150,gypsum,5,0.17,15.000700000000002,0.00065688,0.00069866
151,gypsum,5,0.17,15.100700000000002,0.00065686,0.00069864
152,gypsum,5,0.17,15.2007,0.00065684,0.00069864
153,gypsum,5,0.17,15.30071,0.00065682,0.0006986
154,gypsum,5,0.17,15.400670000000002,0.00065682,0.00069856
155,gypsum,5,0.17,15.500710000000002,0.00065682,0.00069852
156,gypsum,5,0.17,15.60066,0.00065678,0.00069852
157,gypsum,5,0.17,15.7007,0.00065678,0.00069848
158,gypsum,5,0.17,15.802180000000002,0.00065676,0.00069848
159,gypsum,5,0.17,15.9007,0.00065676,0.00069842
160,gypsum,5,0.17,16.000700000000002,0.00065674,0.0006984
161,gypsum,5,0.17,16.1007,0.00065674,0.00069838
162,gypsum,5,0.17,16.200660000000003,0.00065672,0.00069834
163,gypsum,5,0.17,16.30066,0.00065672,0.0006983
164,gypsum,5,0.17,16.400660000000002,0.0006567,0.0006983
165,gypsum,5,0.17,16.500700000000002,0.00065666,0.00069824
166,gypsum,5,0.17,16.6007,0.00065664,0.00069824
167,gypsum,5,0.17,16.7007,0.00065664,0.00069824
168,gypsum,5,0.17,16.800700000000003,0.00065664,0.0006982
169,gypsum,5,0.17,16.900660000000002,0.00065662,0.00069816
