index,Sample,Trial,k,Time,Primary,Secondary
0,iron,1,77.5,0.00928,0.00065898,0.00069678
1,iron,1,77.5,0.10067,0.00065874,0.0006968
2,iron,1,77.5,0.2007,0.00065874,0.00069678
3,iron,1,77.5,0.3007,0.00065872,0.00069678
4,iron,1,77.5,0.40066,0.00065872,0.00069676
5,iron,1,77.5,0.50066,0.00065874,0.00069676
6,iron,1,77.5,0.60066,0.0006587,0.00069676
7,iron,1,77.5,0.70066,0.0006587,0.00069674
8,iron,1,77.5,0.8007,0.00065868,0.00069674
9,iron,1,77.5,0.9006600000000001,0.0006587,0.00069672
10,iron,1,77.5,1.00066,0.0006587,0.00069674
11,iron,1,77.5,1.1006600000000002,0.0006587,0.00069672
12,iron,1,77.5,1.2007,0.0006587,0.00069674
13,iron,1,77.5,1.3007000000000002,0.0006587,0.0006967
14,iron,1,77.5,1.40066,0.0006587,0.0006967
15,iron,1,77.5,1.5007,0.00065866,0.00069672
16,iron,1,77.5,1.6007000000000002,0.00065868,0.0006967
17,iron,1,77.5,1.70066,0.0006587,0.0006967
18,iron,1,77.5,1.8006600000000001,0.00065864,0.0006967
19,iron,1,77.5,1.90066,0.00065866,0.0006967
20,iron,1,77.5,2.0007,0.00065868,0.0006967
21,iron,1,77.5,2.10067,0.0006587,0.00069668
22,iron,1,77.5,2.2007000000000003,0.00065868,0.0006967
23,iron,1,77.5,2.30066,0.0006587,0.00069668
24,iron,1,77.5,2.40066,0.0006587,0.00069668
25,iron,1,77.5,2.5007,0.00065868,0.00069668
26,iron,1,77.5,2.6006600000000004,0.00065866,0.0006967
27,iron,1,77.5,2.70066,0.0006587,0.0006967
28,iron,1,77.5,2.80066,0.00065872,0.00069668
29,iron,1,77.5,2.9007,0.0006587,0.0006967
30,iron,1,77.5,3.0007,0.00065872,0.0006967
31,iron,1,77.5,3.1007,0.00065872,0.00069668
32,iron,1,77.5,3.2007000000000003,0.0006587,0.00069668
33,iron,1,77.5,3.3007000000000004,0.00065872,0.0006967
34,iron,1,77.5,3.4007000000000005,0.00065872,0.00069668
35,iron,1,77.5,3.5006600000000003,0.00065872,0.00069668
