index,Sample,Trial,k,Time,Primary,Secondary
0,pdms,6,0.15,0.00931,0.00066052,0.00069988
1,pdms,6,0.15,0.1007,0.00066046,0.00069994
2,pdms,6,0.15,0.2007,0.00066044,0.00069992
3,pdms,6,0.15,0.3007,0.0006604,0.0006999
4,pdms,6,0.15,0.4007,0.00066044,0.0006999
5,pdms,6,0.15,0.50066,0.00066042,0.0006999
6,pdms,6,0.15,0.60066,0.0006604,0.00069988
7,pdms,6,0.15,0.7007000000000001,0.0006604,0.00069986
8,pdms,6,0.15,0.80066,0.00066042,0.00069986
9,pdms,6,0.15,0.9007,0.0006604,0.00069988
10,pdms,6,0.15,1.0007,0.00066042,0.00069986
11,pdms,6,0.15,1.1007,0.00066038,0.00069986
12,pdms,6,0.15,1.20066,0.00066038,0.00069986
13,pdms,6,0.15,1.3006600000000001,0.0006604,0.00069984
14,pdms,6,0.15,1.40066,0.0006604,0.00069982
15,pdms,6,0.15,1.5007,0.00066038,0.00069984
16,pdms,6,0.15,1.6006600000000002,0.00066038,0.00069982
17,pdms,6,0.15,1.7007,0.00066038,0.0006998
18,pdms,6,0.15,1.8007000000000002,0.00066038,0.00069984
19,pdms,6,0.15,1.90066,0.00066036,0.00069982
20,pdms,6,0.15,2.00071,0.00066038,0.00069982
21,pdms,6,0.15,2.10067,0.00066038,0.00069982
22,pdms,6,0.15,2.20067,0.00066036,0.0006998
23,pdms,6,0.15,2.30067,0.00066038,0.0006998
24,pdms,6,0.15,2.4006700000000003,0.00066036,0.0006998
25,pdms,6,0.15,2.5007,0.00066034,0.0006998
26,pdms,6,0.15,2.6007,0.00066036,0.0006998
27,pdms,6,0.15,2.70066,0.00066036,0.00069976
28,pdms,6,0.15,2.8007000000000004,0.00066036,0.00069982
29,pdms,6,0.15,2.90066,0.00066036,0.0006998
30,pdms,6,0.15,3.0006600000000003,0.00066034,0.00069978
31,pdms,6,0.15,3.1006600000000004,0.00066036,0.0006998
32,pdms,6,0.15,3.2007000000000003,0.00066034,0.0006998
33,pdms,6,0.15,3.3007000000000004,0.00066034,0.00069978
34,pdms,6,0.15,3.4007000000000005,0.00066036,0.00069978
35,pdms,6,0.15,3.5007,0.00066036,0.00069978
36,pdms,6,0.15,3.6006600000000004,0.00066036,0.00069978
37,pdms,6,0.15,3.7007,0.00066038,0.00069974
38,pdms,6,0.15,3.8007,0.00066036,0.00069974
39,pdms,6,0.15,3.90066,0.00066036,0.00069976
40,pdms,6,0.15,4.0007,0.00066036,0.00069976
41,pdms,6,0.15,4.100700000000001,0.00066034,0.00069978
42,pdms,6,0.15,4.20066,0.00066034,0.00069976
43,pdms,6,0.15,4.300660000000001,0.00066036,0.00069976
44,pdms,6,0.15,4.4007000000000005,0.00066036,0.00069976
45,pdms,6,0.15,4.5007,0.00066034,0.00069976
46,pdms,6,0.15,4.600700000000001,0.00066036,0.00069974
47,pdms,6,0.15,4.70066,0.00066036,0.00069974
48,pdms,6,0.15,4.8007,0.00066034,0.00069974
49,pdms,6,0.15,4.9007000000000005,0.00066034,0.00069972
50,pdms,6,0.15,5.0007,0.00066032,0.00069976
51,pdms,6,0.15,5.100700000000001,0.00066034,0.00069974
52,pdms,6,0.15,5.20066,0.00066034,0.00069974
53,pdms,6,0.15,5.300660000000001,0.00066036,0.00069974
54,pdms,6,0.15,5.4007000000000005,0.00066032,0.00069974
55,pdms,6,0.15,5.500660000000001,0.00066032,0.00069974
56,pdms,6,0.15,5.60066,0.00066034,0.00069976
57,pdms,6,0.15,5.70066,0.00066032,0.00069974
58,pdms,6,0.15,5.800660000000001,0.00066032,0.00069972
59,pdms,6,0.15,5.9007000000000005,0.00066034,0.00069972
60,pdms,6,0.15,6.0007,0.00066034,0.00069972
61,pdms,6,0.15,6.10066,0.0006603,0.00069972
