index,Sample,Trial,k,Time,Primary,Secondary
0,carbon,4,8.5,0.0094,0.00066042,0.00069972
1,carbon,4,8.5,0.10071,0.0006603,0.00069962
2,carbon,4,8.5,0.2007,0.00066028,0.00069962
3,carbon,4,8.5,0.30066,0.0006603,0.0006996
4,carbon,4,8.5,0.40066,0.0006603,0.0006996
5,carbon,4,8.5,0.5007,0.00066028,0.0006996
6,carbon,4,8.5,0.6007,0.0006603,0.00069958
7,carbon,4,8.5,0.7007000000000001,0.00066028,0.00069958
8,carbon,4,8.5,0.8007,0.0006603,0.00069958
9,carbon,4,8.5,0.9007,0.0006603,0.00069956
10,carbon,4,8.5,1.00066,0.00066032,0.00069958
11,carbon,4,8.5,1.1006600000000002,0.00066034,0.00069956
12,carbon,4,8.5,1.2007,0.00066032,0.00069958
13,carbon,4,8.5,1.3006600000000001,0.00066032,0.00069952
14,carbon,4,8.5,1.40066,0.00066032,0.00069956
15,carbon,4,8.5,1.5007,0.00066032,0.00069952
16,carbon,4,8.5,1.6007000000000002,0.00066036,0.00069954
17,carbon,4,8.5,1.70066,0.00066034,0.00069952
18,carbon,4,8.5,1.8007000000000002,0.00066034,0.00069954
19,carbon,4,8.5,1.9007,0.0006603,0.00069952
20,carbon,4,8.5,2.0007,0.00066032,0.00069952
21,carbon,4,8.5,2.10066,0.00066034,0.00069952
22,carbon,4,8.5,2.20066,0.00066032,0.0006995
23,carbon,4,8.5,2.30066,0.00066034,0.0006995
24,carbon,4,8.5,2.40066,0.0006603,0.00069952
25,carbon,4,8.5,2.5006600000000003,0.0006603,0.00069952
26,carbon,4,8.5,2.6006600000000004,0.00066034,0.00069948
27,carbon,4,8.5,2.7007000000000003,0.00066032,0.0006995
28,carbon,4,8.5,2.80066,0.00066032,0.0006995
29,carbon,4,8.5,2.9007,0.00066034,0.0006995
30,carbon,4,8.5,3.0007,0.00066034,0.00069946
31,carbon,4,8.5,3.1007,0.00066032,0.0006995
32,carbon,4,8.5,3.2007000000000003,0.0006603,0.00069948
