index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,aluminum,5,215.0,1.0,1.0,2700.0,897.0,0.00931,0.0006601,0.00069922
1,aluminum,5,215.0,1.0,1.0,2700.0,897.0,0.1007,0.00066026,0.00069942
2,aluminum,5,215.0,1.0,1.0,2700.0,897.0,0.20066,0.00066024,0.00069938
3,aluminum,5,215.0,1.0,1.0,2700.0,897.0,0.3007,0.00066022,0.00069938
4,aluminum,5,215.0,1.0,1.0,2700.0,897.0,0.40066,0.00066026,0.00069936
5,aluminum,5,215.0,1.0,1.0,2700.0,897.0,0.50066,0.00066022,0.00069936
6,aluminum,5,215.0,1.0,1.0,2700.0,897.0,0.60066,0.0006602,0.00069934
7,aluminum,5,215.0,1.0,1.0,2700.0,897.0,0.7007000000000001,0.00066022,0.00069932
8,aluminum,5,215.0,1.0,1.0,2700.0,897.0,0.80066,0.00066022,0.00069936
9,aluminum,5,215.0,1.0,1.0,2700.0,897.0,0.9007,0.00066022,0.00069932
10,aluminum,5,215.0,1.0,1.0,2700.0,897.0,1.0006700000000002,0.00066022,0.0006993
11,aluminum,5,215.0,1.0,1.0,2700.0,897.0,1.1007,0.00066022,0.00069932
12,aluminum,5,215.0,1.0,1.0,2700.0,897.0,1.20067,0.00066022,0.0006993
13,aluminum,5,215.0,1.0,1.0,2700.0,897.0,1.3006600000000001,0.0006602,0.00069926
14,aluminum,5,215.0,1.0,1.0,2700.0,897.0,1.40066,0.0006602,0.00069928
15,aluminum,5,215.0,1.0,1.0,2700.0,897.0,1.5006700000000002,0.0006602,0.00069926
16,aluminum,5,215.0,1.0,1.0,2700.0,897.0,1.6007000000000002,0.0006602,0.00069928
17,aluminum,5,215.0,1.0,1.0,2700.0,897.0,1.70066,0.0006602,0.00069926
18,aluminum,5,215.0,1.0,1.0,2700.0,897.0,1.8006600000000001,0.00066018,0.00069924
19,aluminum,5,215.0,1.0,1.0,2700.0,897.0,1.90066,0.00066016,0.00069922
20,aluminum,5,215.0,1.0,1.0,2700.0,897.0,2.0007,0.00066016,0.00069922
21,aluminum,5,215.0,1.0,1.0,2700.0,897.0,2.1007,0.00066016,0.00069924
22,aluminum,5,215.0,1.0,1.0,2700.0,897.0,2.2007000000000003,0.00066016,0.00069922
23,aluminum,5,215.0,1.0,1.0,2700.0,897.0,2.3007,0.00066016,0.00069922
24,aluminum,5,215.0,1.0,1.0,2700.0,897.0,2.40066,0.00066016,0.0006992
25,aluminum,5,215.0,1.0,1.0,2700.0,897.0,2.5007,0.00066014,0.0006992
26,aluminum,5,215.0,1.0,1.0,2700.0,897.0,2.6006600000000004,0.00066016,0.00069916
27,aluminum,5,215.0,1.0,1.0,2700.0,897.0,2.70066,0.00066018,0.00069916
28,aluminum,5,215.0,1.0,1.0,2700.0,897.0,2.80066,0.00066016,0.00069918
29,aluminum,5,215.0,1.0,1.0,2700.0,897.0,2.9007,0.00066016,0.00069916
30,aluminum,5,215.0,1.0,1.0,2700.0,897.0,3.0007,0.00066016,0.0006992
31,aluminum,5,215.0,1.0,1.0,2700.0,897.0,3.1007,0.00066018,0.00069916
32,aluminum,5,215.0,1.0,1.0,2700.0,897.0,3.2007000000000003,0.00066014,0.00069916
33,aluminum,5,215.0,1.0,1.0,2700.0,897.0,3.3007000000000004,0.00066016,0.00069914
34,aluminum,5,215.0,1.0,1.0,2700.0,897.0,3.40066,0.00066016,0.00069914
35,aluminum,5,215.0,1.0,1.0,2700.0,897.0,3.5006600000000003,0.00066016,0.00069914
36,aluminum,5,215.0,1.0,1.0,2700.0,897.0,3.6006600000000004,0.00066016,0.00069914
37,aluminum,5,215.0,1.0,1.0,2700.0,897.0,3.700660000000001,0.0006602,0.00069914
