index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,carbon,6,8.5,1.0,1.0,2300.0,717.0,0.00932,0.00066022,0.00069972
1,carbon,6,8.5,1.0,1.0,2300.0,717.0,0.10071,0.00066032,0.00069938
2,carbon,6,8.5,1.0,1.0,2300.0,717.0,0.20066,0.0006603,0.00069942
3,carbon,6,8.5,1.0,1.0,2300.0,717.0,0.30066,0.00066028,0.00069936
4,carbon,6,8.5,1.0,1.0,2300.0,717.0,0.40066,0.0006603,0.00069936
5,carbon,6,8.5,1.0,1.0,2300.0,717.0,0.5007,0.00066028,0.00069934
6,carbon,6,8.5,1.0,1.0,2300.0,717.0,0.6007,0.0006603,0.00069932
7,carbon,6,8.5,1.0,1.0,2300.0,717.0,0.70066,0.00066026,0.0006993
8,carbon,6,8.5,1.0,1.0,2300.0,717.0,0.80066,0.00066026,0.0006993
9,carbon,6,8.5,1.0,1.0,2300.0,717.0,0.9006600000000001,0.00066026,0.0006993
10,carbon,6,8.5,1.0,1.0,2300.0,717.0,1.00066,0.00066026,0.0006993
11,carbon,6,8.5,1.0,1.0,2300.0,717.0,1.1006600000000002,0.00066026,0.00069926
12,carbon,6,8.5,1.0,1.0,2300.0,717.0,1.20067,0.00066024,0.00069928
13,carbon,6,8.5,1.0,1.0,2300.0,717.0,1.3006600000000001,0.00066026,0.00069926
14,carbon,6,8.5,1.0,1.0,2300.0,717.0,1.4007,0.00066024,0.00069926
15,carbon,6,8.5,1.0,1.0,2300.0,717.0,1.5007,0.00066026,0.00069926
16,carbon,6,8.5,1.0,1.0,2300.0,717.0,1.6006600000000002,0.00066022,0.00069924
17,carbon,6,8.5,1.0,1.0,2300.0,717.0,1.7007,0.00066022,0.00069924
18,carbon,6,8.5,1.0,1.0,2300.0,717.0,1.8007000000000002,0.0006602,0.00069924
19,carbon,6,8.5,1.0,1.0,2300.0,717.0,1.9007,0.0006602,0.00069922
20,carbon,6,8.5,1.0,1.0,2300.0,717.0,2.0006600000000003,0.00066022,0.00069922
21,carbon,6,8.5,1.0,1.0,2300.0,717.0,2.10066,0.00066022,0.00069924
22,carbon,6,8.5,1.0,1.0,2300.0,717.0,2.20066,0.00066022,0.00069922
23,carbon,6,8.5,1.0,1.0,2300.0,717.0,2.3007,0.00066022,0.00069922
24,carbon,6,8.5,1.0,1.0,2300.0,717.0,2.4007,0.0006602,0.0006992
25,carbon,6,8.5,1.0,1.0,2300.0,717.0,2.5007,0.00066022,0.0006992
26,carbon,6,8.5,1.0,1.0,2300.0,717.0,2.6006600000000004,0.00066022,0.00069918
27,carbon,6,8.5,1.0,1.0,2300.0,717.0,2.7007000000000003,0.00066022,0.0006992
28,carbon,6,8.5,1.0,1.0,2300.0,717.0,2.8007000000000004,0.00066022,0.00069916
29,carbon,6,8.5,1.0,1.0,2300.0,717.0,2.90066,0.00066022,0.00069916
30,carbon,6,8.5,1.0,1.0,2300.0,717.0,3.0006700000000004,0.0006602,0.00069914
31,carbon,6,8.5,1.0,1.0,2300.0,717.0,3.1007,0.0006602,0.00069916
32,carbon,6,8.5,1.0,1.0,2300.0,717.0,3.2007000000000003,0.0006602,0.00069916
33,carbon,6,8.5,1.0,1.0,2300.0,717.0,3.3007000000000004,0.0006602,0.00069914
