index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,cement,1,1.73,1.0,1.0,2700.0,880.0,0.00924,0.00066056,0.00069888
1,cement,1,1.73,1.0,1.0,2700.0,880.0,0.1007,0.0006608,0.00069874
2,cement,1,1.73,1.0,1.0,2700.0,880.0,0.20066,0.00066082,0.00069872
3,cement,1,1.73,1.0,1.0,2700.0,880.0,0.30066,0.0006608,0.00069872
4,cement,1,1.73,1.0,1.0,2700.0,880.0,0.4007,0.0006608,0.0006987
5,cement,1,1.73,1.0,1.0,2700.0,880.0,0.50066,0.0006608,0.0006987
6,cement,1,1.73,1.0,1.0,2700.0,880.0,0.60066,0.0006608,0.00069866
7,cement,1,1.73,1.0,1.0,2700.0,880.0,0.7007000000000001,0.00066078,0.0006987
8,cement,1,1.73,1.0,1.0,2700.0,880.0,0.80066,0.00066076,0.00069866
9,cement,1,1.73,1.0,1.0,2700.0,880.0,0.9007,0.00066076,0.00069866
10,cement,1,1.73,1.0,1.0,2700.0,880.0,1.0007,0.00066078,0.00069866
11,cement,1,1.73,1.0,1.0,2700.0,880.0,1.1006600000000002,0.00066074,0.00069866
12,cement,1,1.73,1.0,1.0,2700.0,880.0,1.2007,0.00066076,0.00069866
13,cement,1,1.73,1.0,1.0,2700.0,880.0,1.3007000000000002,0.00066074,0.00069866
14,cement,1,1.73,1.0,1.0,2700.0,880.0,1.40066,0.00066076,0.00069866
15,cement,1,1.73,1.0,1.0,2700.0,880.0,1.5007,0.00066074,0.00069864
16,cement,1,1.73,1.0,1.0,2700.0,880.0,1.6006600000000002,0.00066072,0.00069864
17,cement,1,1.73,1.0,1.0,2700.0,880.0,1.70066,0.00066078,0.00069866
18,cement,1,1.73,1.0,1.0,2700.0,880.0,1.8007000000000002,0.00066074,0.00069864
19,cement,1,1.73,1.0,1.0,2700.0,880.0,1.9007,0.00066074,0.00069864
20,cement,1,1.73,1.0,1.0,2700.0,880.0,2.0006600000000003,0.00066074,0.00069864
21,cement,1,1.73,1.0,1.0,2700.0,880.0,2.1007,0.00066076,0.00069864
22,cement,1,1.73,1.0,1.0,2700.0,880.0,2.2007000000000003,0.00066072,0.00069864
23,cement,1,1.73,1.0,1.0,2700.0,880.0,2.30066,0.00066074,0.00069862
24,cement,1,1.73,1.0,1.0,2700.0,880.0,2.4007,0.00066074,0.00069862
25,cement,1,1.73,1.0,1.0,2700.0,880.0,2.5007,0.00066074,0.00069858
26,cement,1,1.73,1.0,1.0,2700.0,880.0,2.6007,0.00066072,0.00069862
27,cement,1,1.73,1.0,1.0,2700.0,880.0,2.70066,0.00066074,0.0006986
28,cement,1,1.73,1.0,1.0,2700.0,880.0,2.80066,0.00066074,0.00069862
29,cement,1,1.73,1.0,1.0,2700.0,880.0,2.90066,0.00066074,0.00069858
30,cement,1,1.73,1.0,1.0,2700.0,880.0,3.0007,0.00066072,0.0006986
31,cement,1,1.73,1.0,1.0,2700.0,880.0,3.1006600000000004,0.00066072,0.0006986
32,cement,1,1.73,1.0,1.0,2700.0,880.0,3.2007000000000003,0.00066072,0.00069858
33,cement,1,1.73,1.0,1.0,2700.0,880.0,3.30066,0.00066072,0.00069858
34,cement,1,1.73,1.0,1.0,2700.0,880.0,3.4007000000000005,0.00066072,0.00069858
35,cement,1,1.73,1.0,1.0,2700.0,880.0,3.5007,0.00066072,0.00069856
