index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,0.00936,0.00066034,0.000698
1,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,0.10066,0.00066008,0.00069804
2,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,0.20066,0.00066004,0.00069804
3,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,0.3007,0.00066002,0.00069804
4,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,0.40066,0.00066004,0.000698
5,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,0.5007,0.00066002,0.000698
6,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,0.6007,0.00066,0.000698
7,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,0.70066,0.00066,0.00069798
8,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,0.8007,0.00066,0.00069798
9,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,0.9006600000000001,0.00066,0.00069796
10,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,1.0007,0.00066,0.00069796
11,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,1.1007,0.00066,0.00069794
12,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,1.2007,0.00066,0.00069794
13,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,1.3007000000000002,0.00065996,0.00069794
14,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,1.4007,0.00066,0.00069792
15,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,1.50066,0.00065996,0.0006979
16,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,1.6006600000000002,0.00066,0.0006979
17,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,1.70066,0.00066,0.0006979
18,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,1.8007000000000002,0.00066,0.0006979
19,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,1.9007,0.00065998,0.00069788
20,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,2.0007,0.00066,0.00069792
21,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,2.1007,0.00065996,0.00069788
22,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,2.2007000000000003,0.00065996,0.0006979
23,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,2.3007,0.00065996,0.00069786
24,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,2.4007,0.00065994,0.00069788
25,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,2.5007,0.00065994,0.00069786
26,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,2.6007,0.00065994,0.00069786
27,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,2.7007000000000003,0.00065996,0.00069786
28,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,2.8007000000000004,0.00065994,0.00069786
29,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,2.9007,0.00065996,0.00069784
30,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,3.0007,0.00065994,0.00069784
31,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,3.1007,0.00065994,0.00069786
32,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,3.2007000000000003,0.00065996,0.00069784
33,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,3.30066,0.00065994,0.00069784
34,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,3.4007000000000005,0.00065994,0.00069784
35,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,3.5007,0.00065994,0.00069784
36,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,3.6007,0.00065994,0.00069782
37,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,3.7007,0.00065994,0.00069784
38,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,3.80066,0.00065994,0.00069784
39,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,3.90067,0.00065994,0.00069782
40,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,4.0007,0.00065992,0.0006978
41,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,4.100700000000001,0.00065994,0.0006978
42,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,4.2007,0.00065994,0.00069782
43,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,4.3007,0.00065994,0.0006978
44,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,4.4007000000000005,0.0006599,0.00069782
45,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,4.500660000000001,0.00065994,0.0006978
46,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,4.60066,0.00065994,0.0006978
47,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,4.700670000000001,0.00065994,0.0006978
48,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,4.8007,0.00065994,0.0006978
49,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,4.90066,0.0006599,0.0006978
50,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,5.0007,0.0006599,0.0006978
51,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,5.10067,0.00065994,0.0006978
52,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,5.20066,0.0006599,0.00069778
53,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,5.300660000000001,0.00065992,0.0006978
54,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,5.40066,0.00065992,0.00069778
55,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,5.5007,0.0006599,0.00069782
56,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,5.600700000000001,0.0006599,0.00069778
57,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,5.70066,0.00065992,0.00069778
58,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,5.800700000000001,0.0006599,0.0006978
59,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,5.9007000000000005,0.0006599,0.00069778
60,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,6.000660000000001,0.0006599,0.00069778
61,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,6.10066,0.0006599,0.00069778
62,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,6.200660000000001,0.0006599,0.0006978
63,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,6.300700000000001,0.00065992,0.00069778
64,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,6.4007000000000005,0.0006599,0.00069778
65,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,6.500660000000001,0.0006599,0.0006978
66,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,6.60066,0.00065988,0.00069778
67,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,6.7007,0.0006599,0.00069776
68,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,6.800660000000001,0.00065988,0.00069778
69,cork_fine,2,0.043,1.0,1.0,240.0,2000.0,6.90066,0.0006599,0.00069778
