index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,nickel,1,90.9,1.0,1.0,8900.0,461.0,0.00931,0.00065946,0.00069772
1,nickel,1,90.9,1.0,1.0,8900.0,461.0,0.1007,0.00065946,0.00069748
2,nickel,1,90.9,1.0,1.0,8900.0,461.0,0.2007,0.00065944,0.00069748
3,nickel,1,90.9,1.0,1.0,8900.0,461.0,0.3007,0.00065944,0.00069746
4,nickel,1,90.9,1.0,1.0,8900.0,461.0,0.40066,0.00065944,0.00069744
5,nickel,1,90.9,1.0,1.0,8900.0,461.0,0.5007,0.00065944,0.00069744
6,nickel,1,90.9,1.0,1.0,8900.0,461.0,0.60066,0.00065946,0.00069744
7,nickel,1,90.9,1.0,1.0,8900.0,461.0,0.7007000000000001,0.00065944,0.00069742
8,nickel,1,90.9,1.0,1.0,8900.0,461.0,0.8007,0.00065946,0.00069744
9,nickel,1,90.9,1.0,1.0,8900.0,461.0,0.9007,0.00065946,0.00069744
10,nickel,1,90.9,1.0,1.0,8900.0,461.0,1.0007,0.00065944,0.00069742
11,nickel,1,90.9,1.0,1.0,8900.0,461.0,1.1007,0.00065944,0.00069744
12,nickel,1,90.9,1.0,1.0,8900.0,461.0,1.20066,0.00065944,0.00069744
13,nickel,1,90.9,1.0,1.0,8900.0,461.0,1.3007000000000002,0.00065946,0.00069744
14,nickel,1,90.9,1.0,1.0,8900.0,461.0,1.4007,0.00065944,0.00069744
15,nickel,1,90.9,1.0,1.0,8900.0,461.0,1.5007,0.0006595,0.00069742
16,nickel,1,90.9,1.0,1.0,8900.0,461.0,1.6006600000000002,0.00065946,0.00069742
17,nickel,1,90.9,1.0,1.0,8900.0,461.0,1.70066,0.00065944,0.00069746
18,nickel,1,90.9,1.0,1.0,8900.0,461.0,1.8007000000000002,0.00065946,0.00069744
19,nickel,1,90.9,1.0,1.0,8900.0,461.0,1.9007,0.00065948,0.00069744
20,nickel,1,90.9,1.0,1.0,8900.0,461.0,2.0007,0.00065946,0.00069744
21,nickel,1,90.9,1.0,1.0,8900.0,461.0,2.1007,0.00065946,0.00069744
22,nickel,1,90.9,1.0,1.0,8900.0,461.0,2.20066,0.00065944,0.00069744
23,nickel,1,90.9,1.0,1.0,8900.0,461.0,2.3007,0.00065944,0.00069744
24,nickel,1,90.9,1.0,1.0,8900.0,461.0,2.4007,0.00065946,0.00069744
25,nickel,1,90.9,1.0,1.0,8900.0,461.0,2.5006600000000003,0.00065946,0.00069744
26,nickel,1,90.9,1.0,1.0,8900.0,461.0,2.6006600000000004,0.00065946,0.00069742
27,nickel,1,90.9,1.0,1.0,8900.0,461.0,2.7007000000000003,0.00065944,0.00069744
28,nickel,1,90.9,1.0,1.0,8900.0,461.0,2.8007000000000004,0.00065944,0.00069742
29,nickel,1,90.9,1.0,1.0,8900.0,461.0,2.9007,0.00065944,0.00069742
30,nickel,1,90.9,1.0,1.0,8900.0,461.0,3.0007,0.00065946,0.00069744
31,nickel,1,90.9,1.0,1.0,8900.0,461.0,3.1006600000000004,0.00065944,0.00069744
32,nickel,1,90.9,1.0,1.0,8900.0,461.0,3.20066,0.00065946,0.00069744
33,nickel,1,90.9,1.0,1.0,8900.0,461.0,3.3007000000000004,0.00065946,0.00069744
34,nickel,1,90.9,1.0,1.0,8900.0,461.0,3.40066,0.00065946,0.00069746
35,nickel,1,90.9,1.0,1.0,8900.0,461.0,3.5006600000000003,0.00065946,0.00069746
36,nickel,1,90.9,1.0,1.0,8900.0,461.0,3.6006600000000004,0.00065946,0.00069748
37,nickel,1,90.9,1.0,1.0,8900.0,461.0,3.7007,0.00065946,0.00069744
38,nickel,1,90.9,1.0,1.0,8900.0,461.0,3.8007,0.00065948,0.00069746
39,nickel,1,90.9,1.0,1.0,8900.0,461.0,3.900700000000001,0.00065946,0.0006975
40,nickel,1,90.9,1.0,1.0,8900.0,461.0,4.0007,0.00065946,0.0006975
41,nickel,1,90.9,1.0,1.0,8900.0,461.0,4.10066,0.00065948,0.0006975
42,nickel,1,90.9,1.0,1.0,8900.0,461.0,4.2007,0.00065948,0.00069748
43,nickel,1,90.9,1.0,1.0,8900.0,461.0,4.3007,0.00065946,0.0006975
44,nickel,1,90.9,1.0,1.0,8900.0,461.0,4.4007000000000005,0.00065946,0.00069748
45,nickel,1,90.9,1.0,1.0,8900.0,461.0,4.5007,0.0006595,0.00069752
46,nickel,1,90.9,1.0,1.0,8900.0,461.0,4.60066,0.00065946,0.0006975
47,nickel,1,90.9,1.0,1.0,8900.0,461.0,4.70066,0.0006595,0.00069752
48,nickel,1,90.9,1.0,1.0,8900.0,461.0,4.8007,0.00065946,0.00069752
49,nickel,1,90.9,1.0,1.0,8900.0,461.0,4.9007000000000005,0.00065946,0.00069752
50,nickel,1,90.9,1.0,1.0,8900.0,461.0,5.0007,0.00065948,0.0006975
51,nickel,1,90.9,1.0,1.0,8900.0,461.0,5.10066,0.00065948,0.00069754
52,nickel,1,90.9,1.0,1.0,8900.0,461.0,5.2007,0.00065946,0.00069752
53,nickel,1,90.9,1.0,1.0,8900.0,461.0,5.300700000000001,0.00065946,0.00069754
54,nickel,1,90.9,1.0,1.0,8900.0,461.0,5.40066,0.0006595,0.00069752
55,nickel,1,90.9,1.0,1.0,8900.0,461.0,5.500660000000001,0.00065946,0.00069752
56,nickel,1,90.9,1.0,1.0,8900.0,461.0,5.600700000000001,0.00065948,0.00069754
57,nickel,1,90.9,1.0,1.0,8900.0,461.0,5.7007,0.0006595,0.00069756
