index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,pdms,2,0.15,1.0,1.0,965.0,1460.0,0.00932,0.00066076,0.0006984
1,pdms,2,0.15,1.0,1.0,965.0,1460.0,0.10067,0.00066046,0.00069844
2,pdms,2,0.15,1.0,1.0,965.0,1460.0,0.2007,0.00066046,0.00069842
3,pdms,2,0.15,1.0,1.0,965.0,1460.0,0.30066,0.00066046,0.00069842
4,pdms,2,0.15,1.0,1.0,965.0,1460.0,0.40066,0.00066046,0.0006984
5,pdms,2,0.15,1.0,1.0,965.0,1460.0,0.5007,0.00066046,0.0006984
6,pdms,2,0.15,1.0,1.0,965.0,1460.0,0.60066,0.00066046,0.00069836
7,pdms,2,0.15,1.0,1.0,965.0,1460.0,0.70066,0.00066044,0.00069836
8,pdms,2,0.15,1.0,1.0,965.0,1460.0,0.80066,0.00066042,0.00069838
9,pdms,2,0.15,1.0,1.0,965.0,1460.0,0.9007,0.00066042,0.0006984
10,pdms,2,0.15,1.0,1.0,965.0,1460.0,1.0007,0.00066044,0.00069834
11,pdms,2,0.15,1.0,1.0,965.0,1460.0,1.1007,0.0006604,0.00069834
12,pdms,2,0.15,1.0,1.0,965.0,1460.0,1.20067,0.00066044,0.00069834
13,pdms,2,0.15,1.0,1.0,965.0,1460.0,1.3006600000000001,0.00066042,0.00069834
14,pdms,2,0.15,1.0,1.0,965.0,1460.0,1.40066,0.00066042,0.00069834
15,pdms,2,0.15,1.0,1.0,965.0,1460.0,1.5007,0.00066042,0.00069834
16,pdms,2,0.15,1.0,1.0,965.0,1460.0,1.6007000000000002,0.0006604,0.00069834
17,pdms,2,0.15,1.0,1.0,965.0,1460.0,1.70066,0.00066042,0.00069834
18,pdms,2,0.15,1.0,1.0,965.0,1460.0,1.8006600000000001,0.0006604,0.0006983
19,pdms,2,0.15,1.0,1.0,965.0,1460.0,1.9007,0.0006604,0.00069836
20,pdms,2,0.15,1.0,1.0,965.0,1460.0,2.0006600000000003,0.0006604,0.00069834
