index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,0.00928,0.00066034,0.00069872
1,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,0.1007,0.00066062,0.00069862
2,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,0.2007,0.0006606,0.00069858
3,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,0.3007,0.00066064,0.00069858
4,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,0.40066,0.0006606,0.00069858
5,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,0.50066,0.00066062,0.00069858
6,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,0.60066,0.0006606,0.00069856
7,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,0.70066,0.0006606,0.00069856
8,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,0.8007,0.0006606,0.00069856
9,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,0.9007,0.00066058,0.00069858
10,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,1.0007,0.00066058,0.00069856
11,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,1.1006600000000002,0.00066058,0.00069856
12,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,1.20066,0.00066058,0.00069854
13,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,1.3007000000000002,0.00066054,0.00069854
14,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,1.40066,0.00066052,0.00069852
15,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,1.50066,0.00066052,0.00069854
16,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,1.6006600000000002,0.00066048,0.00069852
17,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,1.70066,0.00066048,0.00069854
18,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,1.8007000000000002,0.00066048,0.00069856
19,ps_foam,2,0.034,1.0,1.0,30.0,1400.0,1.9007,0.00066048,0.00069852
