index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,0.00932,0.0006605,0.0006981
1,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,0.10066,0.00066016,0.00069814
2,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,0.2007,0.00066018,0.00069812
3,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,0.3007,0.00066016,0.0006981
4,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,0.40066,0.00066016,0.00069806
5,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,0.50066,0.00066016,0.00069808
6,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,0.60066,0.00066016,0.00069804
7,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,0.70066,0.00066012,0.00069802
8,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,0.8007,0.00066012,0.00069802
9,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,0.9007,0.00066012,0.00069802
10,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,1.0007,0.00066012,0.00069804
11,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,1.1007,0.00066012,0.00069802
12,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,1.2007,0.00066014,0.00069802
13,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,1.3006600000000001,0.0006601,0.00069804
14,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,1.40066,0.0006601,0.00069802
15,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,1.5007,0.00066012,0.000698
16,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,1.6006600000000002,0.0006601,0.000698
17,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,1.70066,0.00066012,0.00069802
18,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,1.8007000000000002,0.00066008,0.000698
19,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,1.90066,0.00066008,0.000698
20,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,2.0007,0.00066008,0.00069802
21,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,2.10066,0.00066008,0.000698
22,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,2.20066,0.00066008,0.000698
23,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,2.3007,0.00066006,0.000698
24,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,2.4007,0.00066008,0.000698
25,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,2.5006600000000003,0.00066008,0.00069802
26,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,2.6006600000000004,0.00066008,0.00069798
27,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,2.70066,0.00066008,0.000698
28,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,2.80066,0.00066004,0.00069798
29,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,2.90066,0.00066006,0.000698
30,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,3.0007,0.00066006,0.000698
31,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,3.1006600000000004,0.00066006,0.00069798
32,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,3.2007000000000003,0.00066004,0.00069798
33,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,3.30066,0.00066002,0.00069798
34,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,3.40066,0.00066004,0.00069794
35,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,3.5006600000000003,0.00066002,0.00069796
36,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,3.6006600000000004,0.00066002,0.00069796
37,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,3.700660000000001,0.00066002,0.00069796
38,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,3.80066,0.00066002,0.00069796
39,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,3.900700000000001,0.00066002,0.00069794
40,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,4.000660000000001,0.00066002,0.00069796
41,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,4.100700000000001,0.00066,0.00069792
42,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,4.20066,0.00066,0.00069792
43,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,4.300660000000001,0.00066,0.00069794
44,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,4.40066,0.00066002,0.00069792
45,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,4.500660000000001,0.00066002,0.0006979
46,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,4.600700000000001,0.00066,0.00069792
47,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,4.70066,0.00066002,0.00069792
48,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,4.8007,0.00066,0.00069788
49,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,4.9007000000000005,0.00066,0.0006979
50,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,5.000660000000001,0.00066,0.0006979
51,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,5.100700000000001,0.00066,0.0006979
52,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,5.20066,0.00065998,0.00069786
53,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,5.300660000000001,0.00065998,0.0006979
54,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,5.4007000000000005,0.00066,0.0006979
55,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,5.5007,0.00066,0.0006979
56,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,5.600700000000001,0.00066,0.0006979
57,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,5.70066,0.00066,0.00069788
58,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,5.800700000000001,0.00066,0.00069786
59,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,5.9007000000000005,0.00066002,0.00069786
60,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,6.0007,0.00066,0.0006979
61,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,6.100700000000001,0.00066,0.00069786
62,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,6.2007,0.00065998,0.00069786
63,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,6.300700000000001,0.00066,0.0006979
64,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,6.40066,0.00066002,0.00069786
65,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,6.500660000000001,0.00066002,0.00069788
66,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,6.600700000000001,0.00066002,0.00069786
67,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,6.7007,0.00066002,0.00069786
68,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,6.800700000000001,0.00066,0.00069788
69,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,6.9007000000000005,0.00066002,0.00069786
70,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,7.000660000000001,0.00066004,0.00069786
71,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,7.10066,0.00066004,0.00069788
72,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,7.200660000000001,0.00066004,0.00069786
73,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,7.300700000000002,0.00066002,0.00069786
74,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,7.4007,0.00066004,0.00069784
75,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,7.50066,0.00066004,0.00069784
76,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,7.6007,0.00066004,0.00069784
77,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,7.700660000000002,0.00066004,0.00069782
78,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,7.800700000000002,0.00066004,0.00069782
79,pu_foam,2,0.043,1.0,1.0,30.0,1400.0,7.9007,0.00066008,0.0006978
