index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,titanium,6,21.9,1.0,1.0,4500.0,523.0,0.00938,0.00065992,0.00069948
1,titanium,6,21.9,1.0,1.0,4500.0,523.0,0.10066,0.00065996,0.00069914
2,titanium,6,21.9,1.0,1.0,4500.0,523.0,0.20066,0.00065992,0.00069914
3,titanium,6,21.9,1.0,1.0,4500.0,523.0,0.3007,0.00065994,0.00069912
4,titanium,6,21.9,1.0,1.0,4500.0,523.0,0.40066,0.0006599,0.0006991
5,titanium,6,21.9,1.0,1.0,4500.0,523.0,0.50066,0.00065988,0.00069908
6,titanium,6,21.9,1.0,1.0,4500.0,523.0,0.60066,0.0006599,0.00069908
7,titanium,6,21.9,1.0,1.0,4500.0,523.0,0.70066,0.00065988,0.00069906
8,titanium,6,21.9,1.0,1.0,4500.0,523.0,0.80066,0.0006599,0.00069906
9,titanium,6,21.9,1.0,1.0,4500.0,523.0,0.9007,0.0006599,0.00069904
10,titanium,6,21.9,1.0,1.0,4500.0,523.0,1.00066,0.00065988,0.00069902
11,titanium,6,21.9,1.0,1.0,4500.0,523.0,1.1006600000000002,0.00065992,0.00069906
12,titanium,6,21.9,1.0,1.0,4500.0,523.0,1.20067,0.0006599,0.00069904
13,titanium,6,21.9,1.0,1.0,4500.0,523.0,1.3007000000000002,0.0006599,0.00069902
14,titanium,6,21.9,1.0,1.0,4500.0,523.0,1.40066,0.0006599,0.00069902
15,titanium,6,21.9,1.0,1.0,4500.0,523.0,1.5007,0.00065988,0.00069902
16,titanium,6,21.9,1.0,1.0,4500.0,523.0,1.6007000000000002,0.0006599,0.00069904
17,titanium,6,21.9,1.0,1.0,4500.0,523.0,1.7007,0.0006599,0.000699
18,titanium,6,21.9,1.0,1.0,4500.0,523.0,1.8007000000000002,0.0006599,0.000699
19,titanium,6,21.9,1.0,1.0,4500.0,523.0,1.90066,0.00065988,0.000699
20,titanium,6,21.9,1.0,1.0,4500.0,523.0,2.00067,0.0006599,0.000699
21,titanium,6,21.9,1.0,1.0,4500.0,523.0,2.10067,0.00065988,0.000699
22,titanium,6,21.9,1.0,1.0,4500.0,523.0,2.20066,0.00065986,0.000699
23,titanium,6,21.9,1.0,1.0,4500.0,523.0,2.3007,0.0006599,0.00069898
24,titanium,6,21.9,1.0,1.0,4500.0,523.0,2.4007,0.00065986,0.000699
25,titanium,6,21.9,1.0,1.0,4500.0,523.0,2.5007,0.00065984,0.00069898
26,titanium,6,21.9,1.0,1.0,4500.0,523.0,2.6007,0.00065986,0.000699
27,titanium,6,21.9,1.0,1.0,4500.0,523.0,2.7007000000000003,0.0006599,0.000699
28,titanium,6,21.9,1.0,1.0,4500.0,523.0,2.8007000000000004,0.00065988,0.00069898
29,titanium,6,21.9,1.0,1.0,4500.0,523.0,2.9007,0.00065986,0.00069896
30,titanium,6,21.9,1.0,1.0,4500.0,523.0,3.0007,0.00065986,0.00069898
31,titanium,6,21.9,1.0,1.0,4500.0,523.0,3.1006600000000004,0.00065984,0.00069898
32,titanium,6,21.9,1.0,1.0,4500.0,523.0,3.20066,0.00065986,0.00069896
33,titanium,6,21.9,1.0,1.0,4500.0,523.0,3.3007000000000004,0.00065986,0.000699
34,titanium,6,21.9,1.0,1.0,4500.0,523.0,3.4007000000000005,0.00065986,0.00069898
35,titanium,6,21.9,1.0,1.0,4500.0,523.0,3.5006600000000003,0.00065984,0.00069896
36,titanium,6,21.9,1.0,1.0,4500.0,523.0,3.6007,0.00065986,0.00069898
37,titanium,6,21.9,1.0,1.0,4500.0,523.0,3.700660000000001,0.00065984,0.00069896
38,titanium,6,21.9,1.0,1.0,4500.0,523.0,3.8007,0.00065984,0.00069896
39,titanium,6,21.9,1.0,1.0,4500.0,523.0,3.900700000000001,0.00065986,0.00069894
40,titanium,6,21.9,1.0,1.0,4500.0,523.0,4.0007,0.00065986,0.00069898
41,titanium,6,21.9,1.0,1.0,4500.0,523.0,4.100700000000001,0.00065986,0.00069896
42,titanium,6,21.9,1.0,1.0,4500.0,523.0,4.20066,0.00065984,0.00069896
43,titanium,6,21.9,1.0,1.0,4500.0,523.0,4.3007,0.00065984,0.000699
44,titanium,6,21.9,1.0,1.0,4500.0,523.0,4.4007000000000005,0.00065984,0.00069896
45,titanium,6,21.9,1.0,1.0,4500.0,523.0,4.5007,0.00065986,0.00069896
46,titanium,6,21.9,1.0,1.0,4500.0,523.0,4.600700000000001,0.00065982,0.00069898
47,titanium,6,21.9,1.0,1.0,4500.0,523.0,4.70066,0.00065984,0.00069894
48,titanium,6,21.9,1.0,1.0,4500.0,523.0,4.800660000000001,0.00065984,0.00069896
49,titanium,6,21.9,1.0,1.0,4500.0,523.0,4.9007000000000005,0.00065982,0.00069896
50,titanium,6,21.9,1.0,1.0,4500.0,523.0,5.0007,0.0006598,0.00069898
51,titanium,6,21.9,1.0,1.0,4500.0,523.0,5.10066,0.00065984,0.00069898
52,titanium,6,21.9,1.0,1.0,4500.0,523.0,5.2007,0.0006598,0.00069898
53,titanium,6,21.9,1.0,1.0,4500.0,523.0,5.300660000000001,0.00065982,0.00069898
54,titanium,6,21.9,1.0,1.0,4500.0,523.0,5.400670000000001,0.0006598,0.00069902
55,titanium,6,21.9,1.0,1.0,4500.0,523.0,5.5007,0.00065982,0.00069902
56,titanium,6,21.9,1.0,1.0,4500.0,523.0,5.60067,0.00065984,0.00069902
57,titanium,6,21.9,1.0,1.0,4500.0,523.0,5.7007,0.00065982,0.00069904
58,titanium,6,21.9,1.0,1.0,4500.0,523.0,5.800700000000001,0.00065986,0.00069902
59,titanium,6,21.9,1.0,1.0,4500.0,523.0,5.90066,0.00065986,0.00069908
60,titanium,6,21.9,1.0,1.0,4500.0,523.0,6.0007,0.00065984,0.00069906
61,titanium,6,21.9,1.0,1.0,4500.0,523.0,6.100700000000001,0.00065986,0.00069906
62,titanium,6,21.9,1.0,1.0,4500.0,523.0,6.200660000000001,0.00065984,0.00069906
