index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary
0,wood,1,0.1,1.0,1.0,650.0,1700.0,0.00926,0.00066032,0.00069892
1,wood,1,0.1,1.0,1.0,650.0,1700.0,0.10071,0.00066062,0.0006988
2,wood,1,0.1,1.0,1.0,650.0,1700.0,0.20066,0.00066062,0.0006988
3,wood,1,0.1,1.0,1.0,650.0,1700.0,0.3007,0.0006606,0.00069878
4,wood,1,0.1,1.0,1.0,650.0,1700.0,0.4007,0.0006606,0.00069878
5,wood,1,0.1,1.0,1.0,650.0,1700.0,0.50066,0.0006606,0.00069878
6,wood,1,0.1,1.0,1.0,650.0,1700.0,0.60066,0.0006606,0.00069874
7,wood,1,0.1,1.0,1.0,650.0,1700.0,0.70066,0.00066058,0.00069876
8,wood,1,0.1,1.0,1.0,650.0,1700.0,0.8007,0.00066056,0.00069872
9,wood,1,0.1,1.0,1.0,650.0,1700.0,0.9007,0.00066058,0.00069874
10,wood,1,0.1,1.0,1.0,650.0,1700.0,1.00066,0.00066058,0.00069874
11,wood,1,0.1,1.0,1.0,650.0,1700.0,1.1007,0.00066056,0.00069872
12,wood,1,0.1,1.0,1.0,650.0,1700.0,1.20066,0.00066056,0.00069872
13,wood,1,0.1,1.0,1.0,650.0,1700.0,1.3006600000000001,0.00066054,0.00069872
14,wood,1,0.1,1.0,1.0,650.0,1700.0,1.4007,0.00066058,0.00069872
15,wood,1,0.1,1.0,1.0,650.0,1700.0,1.50066,0.00066054,0.00069872
16,wood,1,0.1,1.0,1.0,650.0,1700.0,1.6007000000000002,0.00066058,0.0006987
17,wood,1,0.1,1.0,1.0,650.0,1700.0,1.70066,0.00066056,0.0006987
18,wood,1,0.1,1.0,1.0,650.0,1700.0,1.8007000000000002,0.00066056,0.0006987
19,wood,1,0.1,1.0,1.0,650.0,1700.0,1.9007,0.00066054,0.0006987
20,wood,1,0.1,1.0,1.0,650.0,1700.0,2.0007,0.00066054,0.00069868
21,wood,1,0.1,1.0,1.0,650.0,1700.0,2.1007,0.00066052,0.0006987
22,wood,1,0.1,1.0,1.0,650.0,1700.0,2.20066,0.00066054,0.0006987
23,wood,1,0.1,1.0,1.0,650.0,1700.0,2.30066,0.00066054,0.00069868
24,wood,1,0.1,1.0,1.0,650.0,1700.0,2.40066,0.00066052,0.00069866
25,wood,1,0.1,1.0,1.0,650.0,1700.0,2.5006600000000003,0.00066054,0.00069866
26,wood,1,0.1,1.0,1.0,650.0,1700.0,2.6006600000000004,0.00066052,0.00069866
27,wood,1,0.1,1.0,1.0,650.0,1700.0,2.7007000000000003,0.00066052,0.00069868
28,wood,1,0.1,1.0,1.0,650.0,1700.0,2.80066,0.00066052,0.00069866
29,wood,1,0.1,1.0,1.0,650.0,1700.0,2.90066,0.0006605,0.00069866
30,wood,1,0.1,1.0,1.0,650.0,1700.0,3.0006600000000003,0.00066052,0.00069866
31,wood,1,0.1,1.0,1.0,650.0,1700.0,3.1006600000000004,0.00066052,0.00069864
32,wood,1,0.1,1.0,1.0,650.0,1700.0,3.20066,0.0006605,0.00069866
33,wood,1,0.1,1.0,1.0,650.0,1700.0,3.30066,0.00066052,0.00069866
34,wood,1,0.1,1.0,1.0,650.0,1700.0,3.4007000000000005,0.00066052,0.00069864
35,wood,1,0.1,1.0,1.0,650.0,1700.0,3.5007,0.00066052,0.00069864
