index,Sample,Trial,Time,Primary,Secondary
1,aluminum,1,0.00939,0.0006598,0.0006991
2,aluminum,1,0.10066,0.0006597,0.0006991
3,aluminum,1,0.2007,0.0006597,0.00069908
4,aluminum,1,0.3007,0.00065968,0.00069906
5,aluminum,1,0.4007,0.00065966,0.00069906
6,aluminum,1,0.50066,0.00065966,0.00069904
7,aluminum,1,0.60066,0.00065966,0.00069904
8,aluminum,1,0.70066,0.00065966,0.00069902
9,aluminum,1,0.8007,0.00065964,0.000699
10,aluminum,1,0.90066,0.00065964,0.000699
11,aluminum,1,1.00066,0.0006596,0.00069902
12,aluminum,1,1.1007,0.00065966,0.00069902
13,aluminum,1,1.2007,0.00065962,0.00069902
14,aluminum,1,1.30066,0.00065964,0.00069902
15,aluminum,1,1.40066,0.00065964,0.00069908
16,aluminum,1,1.5007,0.00065966,0.00069902
17,aluminum,1,1.6007,0.00065964,0.00069904
18,aluminum,1,1.7007,0.0006596,0.00069898
19,aluminum,1,1.8007,0.0006596,0.00069906
20,aluminum,1,1.9007,0.0006596,0.0006991
21,aluminum,1,2.00066,0.00065962,0.00069898
22,aluminum,1,2.10066,0.00065964,0.00069914
23,aluminum,1,2.20066,0.00065958,0.00069908
24,aluminum,1,2.30066,0.0006595,0.00069906
25,aluminum,1,2.40066,0.00065944,0.00069906
26,aluminum,1,2.50066,0.00065922,0.00069914
27,aluminum,1,2.60066,0.00065934,0.00069918
28,aluminum,1,2.7007,0.0006593,0.00069914
29,aluminum,1,2.8007,0.0006592,0.00069916
30,aluminum,1,2.90066,0.00065922,0.00069916
31,aluminum,1,3.0007,0.00065914,0.00069918
32,aluminum,1,3.10066,0.00065908,0.00069914
33,aluminum,1,3.2007,0.00065882,0.00069908
34,aluminum,1,3.30066,0.00065742,0.00069886
35,aluminum,1,3.4007,0.0006557,0.00069888
36,aluminum,1,3.5007,0.0006545,0.00069892
37,aluminum,1,3.6007,0.0006536,0.00069892
38,aluminum,1,3.7007,0.00065296,0.00069894
39,aluminum,1,3.80066,0.0006524,0.00069892
40,aluminum,1,3.90066,0.000652,0.00069888
41,aluminum,1,4.0007,0.00065164,0.00069888
42,aluminum,1,4.10066,0.00065136,0.00069882
43,aluminum,1,4.2007,0.0006511,0.0006988
44,aluminum,1,4.3007,0.0006509,0.0006987
45,aluminum,1,4.40066,0.00065072,0.00069864
46,aluminum,1,4.50066,0.00065054,0.00069856
47,aluminum,1,4.6007,0.00065036,0.0006985
48,aluminum,1,4.7007,0.00065026,0.00069838
49,aluminum,1,4.80066,0.0006501,0.00069826
50,aluminum,1,4.90066,0.00065,0.00069816
51,aluminum,1,5.0007,0.0006499,0.00069806
52,aluminum,1,5.1007,0.0006498,0.00069792
53,aluminum,1,5.20066,0.0006497,0.00069778
54,aluminum,1,5.30066,0.00064964,0.00069764
55,aluminum,1,5.4007,0.00064956,0.00069752
56,aluminum,1,5.5007,0.00064946,0.00069736
57,aluminum,1,5.60066,0.0006494,0.00069722
58,aluminum,1,5.70066,0.00064936,0.00069708
59,aluminum,1,5.80066,0.0006493,0.00069692
60,aluminum,1,5.90066,0.00064922,0.0006968
61,aluminum,1,6.00066,0.00064918,0.00069664
62,aluminum,1,6.1007,0.00064912,0.00069652
63,aluminum,1,6.2007,0.00064908,0.00069636
64,aluminum,1,6.30066,0.000649,0.0006962
65,aluminum,1,6.40066,0.00064898,0.00069608
66,aluminum,1,6.50066,0.00064892,0.00069596
67,aluminum,1,6.6007,0.0006489,0.00069582
68,aluminum,1,6.70066,0.00064892,0.00069568
69,aluminum,1,6.8007,0.00064884,0.00069556
70,aluminum,1,6.9007,0.00064878,0.0006954
71,aluminum,1,7.0007,0.00064876,0.00069526
72,aluminum,1,7.1007,0.00064872,0.00069514
73,aluminum,1,7.2007,0.0006487,0.00069502
74,aluminum,1,7.30066,0.00064864,0.00069486
75,aluminum,1,7.4007,0.0006486,0.00069478
76,aluminum,1,7.5007,0.0006486,0.00069464
77,aluminum,1,7.6007,0.00064856,0.00069454
78,aluminum,1,7.7007,0.00064854,0.0006944
79,aluminum,1,7.8007,0.0006485,0.0006943
80,aluminum,1,7.90066,0.00064844,0.00069416
81,aluminum,1,8.00066,0.00064844,0.00069406
82,aluminum,1,8.10066,0.0006484,0.00069392
83,aluminum,1,8.2007,0.00064836,0.00069384
84,aluminum,1,8.30066,0.00064836,0.00069374
85,aluminum,1,8.4007,0.00064832,0.00069362
86,aluminum,1,8.5007,0.0006483,0.00069348
87,aluminum,1,8.60066,0.00064828,0.0006934
88,aluminum,1,8.70066,0.00064826,0.00069328
89,aluminum,1,8.80066,0.00064822,0.00069318
90,aluminum,1,8.90066,0.0006482,0.00069306
91,aluminum,1,9.00066,0.00064816,0.00069298
92,aluminum,1,9.10066,0.00064812,0.00069286
93,aluminum,1,9.2007,0.00064812,0.00069278
94,aluminum,1,9.30066,0.00064808,0.00069268
95,aluminum,1,9.40066,0.00064806,0.0006926
96,aluminum,1,9.5007,0.00064804,0.00069248
97,aluminum,1,9.6007,0.00064804,0.0006924
98,aluminum,1,9.70066,0.00064802,0.00069232
99,aluminum,1,9.8007,0.00064804,0.00069224
100,aluminum,1,9.90066,0.00064796,0.00069214
101,aluminum,1,10.0007,0.00064796,0.00069204
102,aluminum,1,10.1007,0.00064794,0.00069196
103,aluminum,1,10.2007,0.00064792,0.0006919
104,aluminum,1,10.30066,0.0006479,0.0006918
105,aluminum,1,10.4007,0.00064786,0.00069176
106,aluminum,1,10.50066,0.00064784,0.00069168
107,aluminum,1,10.60066,0.00064784,0.00069158
108,aluminum,1,10.70066,0.00064782,0.0006915
109,aluminum,1,10.8007,0.00064778,0.00069144
110,aluminum,1,10.90067,0.00064778,0.00069136
111,aluminum,1,11.0007,0.00064778,0.0006913
112,aluminum,1,11.1007,0.00064774,0.00069124
113,aluminum,1,11.20067,0.00064772,0.00069116
114,aluminum,1,11.30066,0.00064768,0.00069108
115,aluminum,1,11.40066,0.00064772,0.00069104
116,aluminum,1,11.50066,0.00064768,0.00069094
117,aluminum,1,11.60066,0.00064768,0.00069088
118,aluminum,1,11.7007,0.00064768,0.00069084
119,aluminum,1,11.8007,0.00064764,0.00069078
120,aluminum,1,11.9007,0.00064768,0.00069072
121,aluminum,1,12.0007,0.00064762,0.00069062
122,aluminum,1,12.10067,0.00064762,0.0006906
123,aluminum,1,12.20066,0.00064758,0.00069052
124,aluminum,1,12.3007,0.0006476,0.0006905
125,aluminum,1,12.4007,0.00064758,0.0006904
126,aluminum,1,12.5007,0.00064756,0.00069038
127,aluminum,1,12.60066,0.00064756,0.00069032
128,aluminum,1,12.7007,0.00064758,0.00069024
129,aluminum,1,12.8007,0.00064754,0.00069018
130,aluminum,1,12.9007,0.00064754,0.00069016
131,aluminum,1,13.00066,0.00064754,0.0006901
132,aluminum,1,13.10071,0.0006475,0.00069006
133,aluminum,1,13.2007,0.0006475,0.00069
134,aluminum,1,13.3007,0.0006475,0.00068998
135,aluminum,1,13.40066,0.00064752,0.00068992
136,aluminum,1,13.50066,0.00064752,0.00068986
137,aluminum,1,13.6007,0.00064748,0.00068982
138,aluminum,1,13.7007,0.0006475,0.0006898
139,aluminum,1,13.8007,0.00064748,0.00068972
140,aluminum,1,13.9007,0.00064746,0.0006897
141,aluminum,1,14.00066,0.00064744,0.00068964
142,aluminum,1,14.10066,0.00064744,0.00068958
143,aluminum,1,14.2007,0.00064742,0.00068954
144,aluminum,1,14.3007,0.00064744,0.00068954
145,aluminum,1,14.4007,0.0006474,0.0006895
146,aluminum,1,14.5007,0.0006474,0.00068944
147,aluminum,1,14.6007,0.00064742,0.0006894
148,aluminum,1,14.7007,0.0006474,0.00068936
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
