index,Sample,Trial,Time,Primary,Secondary
1,Corkboard,1,0.00934,0.00065992,0.00069908
2,Corkboard,1,0.10066,0.00066024,0.00069908
3,Corkboard,1,0.2007,0.00066026,0.00069908
4,Corkboard,1,0.3007,0.00066024,0.00069906
5,Corkboard,1,0.4007,0.00066026,0.00069906
6,Corkboard,1,0.50066,0.00066022,0.00069914
7,Corkboard,1,0.60066,0.00066022,0.00069912
8,Corkboard,1,0.7007,0.00066024,0.00069912
9,Corkboard,1,0.8007,0.00066026,0.00069912
10,Corkboard,1,0.9007,0.00066032,0.00069914
11,Corkboard,1,1.0007,0.0006603,0.00069914
12,Corkboard,1,1.1007,0.00066024,0.0006991
13,Corkboard,1,1.20066,0.00066024,0.00069912
14,Corkboard,1,1.3007,0.00066022,0.00069908
15,Corkboard,1,1.40066,0.00066022,0.00069906
16,Corkboard,1,1.5007,0.0006602,0.00069908
17,Corkboard,1,1.6007,0.00066016,0.00069908
18,Corkboard,1,1.7007,0.00066014,0.00069906
19,Corkboard,1,1.8007,0.0006601,0.00069906
20,Corkboard,1,1.9007,0.00066006,0.00069908
21,Corkboard,1,2.0007,0.00065998,0.0006991
22,Corkboard,1,2.10066,0.00065996,0.00069914
23,Corkboard,1,2.2007,0.00066002,0.0006992
24,Corkboard,1,2.30066,0.00066006,0.00069924
25,Corkboard,1,2.4007,0.00065996,0.00069914
26,Corkboard,1,2.5007,0.00065996,0.000699
27,Corkboard,1,2.60066,0.00066,0.00069902
28,Corkboard,1,2.7007,0.00065998,0.00069906
29,Corkboard,1,2.80066,0.00066,0.00069908
30,Corkboard,1,2.90066,0.00065998,0.00069906
31,Corkboard,1,3.0007,0.00066,0.00069906
32,Corkboard,1,3.10066,0.00065998,0.0006991
33,Corkboard,1,3.2007,0.00066,0.00069908
34,Corkboard,1,3.30066,0.00065994,0.00069908
35,Corkboard,1,3.40066,0.00065998,0.00069902
36,Corkboard,1,3.50066,0.00065994,0.00069906
37,Corkboard,1,3.60066,0.00065996,0.00069902
38,Corkboard,1,3.70066,0.00065994,0.00069902
39,Corkboard,1,3.8007,0.00065996,0.00069906
40,Corkboard,1,3.9007,0.00065996,0.00069902
41,Corkboard,1,4.00066,0.00065994,0.00069908
42,Corkboard,1,4.10066,0.00065992,0.00069904
43,Corkboard,1,4.2007,0.00065988,0.00069902
44,Corkboard,1,4.30066,0.00065986,0.00069902
45,Corkboard,1,4.40066,0.00065986,0.00069906
46,Corkboard,1,4.50066,0.00065986,0.0006991
47,Corkboard,1,4.6007,0.00065992,0.0006991
48,Corkboard,1,4.7007,0.00065994,0.00069912
49,Corkboard,1,4.8007,0.00065992,0.00069912
50,Corkboard,1,4.90066,0.00065992,0.00069908
51,Corkboard,1,5.00066,0.0006599,0.0006991
52,Corkboard,1,5.1007,0.00065986,0.00069906
53,Corkboard,1,5.20066,0.00065988,0.00069904
54,Corkboard,1,5.3007,0.00065992,0.00069906
55,Corkboard,1,5.40066,0.00065988,0.00069906
56,Corkboard,1,5.50066,0.00065986,0.00069902
57,Corkboard,1,5.60066,0.00065984,0.00069906
58,Corkboard,1,5.70066,0.00065982,0.000699
59,Corkboard,1,5.8007,0.00065978,0.00069902
60,Corkboard,1,5.9007,0.0006598,0.00069902
61,Corkboard,1,6.00066,0.00065972,0.00069904
62,Corkboard,1,6.10066,0.0006598,0.00069902
63,Corkboard,1,6.2007,0.00065946,0.00069908
64,Corkboard,1,6.3007,0.00065972,0.00069906
65,Corkboard,1,6.4007,0.00065976,0.00069908
