index,Sample,Trial,Time,Primary,Secondary
1,glass,3,0.00936,0.00065972,0.00069922
2,glass,3,0.10066,0.00065972,0.00069918
3,glass,3,0.20064,0.00065964,0.00069928
4,glass,3,0.30066,0.00065966,0.0006992
5,glass,3,0.40066,0.00065968,0.00069918
6,glass,3,0.50066,0.00065964,0.00069916
7,glass,3,0.60066,0.00065966,0.00069916
8,glass,3,0.70066,0.00065958,0.00069916
9,glass,3,0.80066,0.0006595,0.0006991
10,glass,3,0.9007,0.00065956,0.00069914
11,glass,3,1.00066,0.00065952,0.00069894
12,glass,3,1.10066,0.00065952,0.0006989
13,glass,3,1.2007,0.00065946,0.00069886
14,glass,3,1.30066,0.00065952,0.00069884
15,glass,3,1.4007,0.00065938,0.00069884
16,glass,3,1.5007,0.00065944,0.00069888
17,glass,3,1.6007,0.00065936,0.00069894
18,glass,3,1.7007,0.00065944,0.00069886
19,glass,3,1.80066,0.00065936,0.000699
20,glass,3,1.90066,0.00065952,0.00069874
21,glass,3,2.0007,0.00065942,0.00069874
22,glass,3,2.1007,0.00065934,0.00069878
23,glass,3,2.2007,0.00065924,0.00069894
24,glass,3,2.30066,0.00065928,0.00069898
25,glass,3,2.4007,0.0006593,0.00069906
26,glass,3,2.5007,0.00065928,0.00069898
27,glass,3,2.6007,0.0006593,0.00069898
28,glass,3,2.70066,0.0006593,0.00069888
29,glass,3,2.8007,0.00065934,0.00069888
30,glass,3,2.9007,0.00065934,0.00069886
31,glass,3,3.0007,0.00065936,0.00069886
32,glass,3,3.1007,0.00065936,0.00069886
33,glass,3,3.20066,0.00065936,0.00069884
34,glass,3,3.3007,0.00065936,0.00069886
35,glass,3,3.40066,0.00065938,0.00069884
36,glass,3,3.50066,0.00065938,0.00069884
37,glass,3,3.6007,0.0006594,0.00069884
38,glass,3,3.7007,0.00065942,0.00069886
39,glass,3,3.80066,0.00065942,0.00069888
40,glass,3,3.9007,0.00065942,0.00069888
41,glass,3,4.0007,0.00065942,0.00069888
42,glass,3,4.10066,0.00065938,0.00069888
43,glass,3,4.2007,0.00065906,0.0006989
44,glass,3,4.30066,0.0006582,0.00069898
45,glass,3,4.4007,0.00065884,0.00069898
46,glass,3,4.50066,0.00065822,0.00069898
47,glass,3,4.60066,0.00065806,0.00069894
48,glass,3,4.70066,0.00065834,0.00069906
49,glass,3,4.8007,0.00065632,0.00069904
50,glass,3,4.9007,0.00065914,0.00069902
51,glass,3,5.00066,0.0006593,0.00069892
52,glass,3,5.1007,0.00065934,0.00069894
53,glass,3,5.20066,0.00065946,0.0006989
54,glass,3,5.3007,0.0006593,0.00069888
55,glass,3,5.4007,0.00065938,0.00069894
56,glass,3,5.5007,0.0006594,0.00069898
57,glass,3,5.60066,0.00065944,0.000699
58,glass,3,5.7007,0.00065934,0.00069894
59,glass,3,5.80066,0.00065934,0.00069894
60,glass,3,5.9007,0.00065936,0.00069892
61,glass,3,6.0007,0.00065936,0.00069894
62,glass,3,6.10066,0.00065936,0.0006989
63,glass,3,6.2007,0.00065936,0.00069892
64,glass,3,6.3007,0.00065934,0.00069892
65,glass,3,6.40066,0.00065934,0.0006989
66,glass,3,6.5007,0.00065934,0.00069888
67,glass,3,6.6007,0.00065934,0.00069888
68,glass,3,6.7007,0.00065936,0.00069888
69,glass,3,6.8007,0.00065934,0.00069886
