index,Sample,Trial,Time,Primary,Secondary
1,PDMS,1,0.00933,0.00065976,0.00069938
2,PDMS,1,0.10066,0.00065968,0.00069924
3,PDMS,1,0.2007,0.00065958,0.00069922
4,PDMS,1,0.30066,0.00065948,0.00069908
5,PDMS,1,0.40066,0.00065956,0.00069908
6,PDMS,1,0.5007,0.00065958,0.00069906
7,PDMS,1,0.6007,0.0006595,0.00069906
8,PDMS,1,0.7007,0.00065952,0.00069904
9,PDMS,1,0.80066,0.00065954,0.000699
10,PDMS,1,0.90066,0.00065956,0.00069904
11,PDMS,1,1.0007,0.00065952,0.00069904
12,PDMS,1,1.1007,0.00065954,0.00069898
13,PDMS,1,1.20066,0.00065946,0.00069902
14,PDMS,1,1.30066,0.00065932,0.000699
15,PDMS,1,1.4007,0.00065934,0.00069898
16,PDMS,1,1.5007,0.00065942,0.00069896
17,PDMS,1,1.6007,0.00065942,0.000699
18,PDMS,1,1.70066,0.00065938,0.000699
19,PDMS,1,1.8007,0.00065946,0.00069894
20,PDMS,1,1.9007,0.00065946,0.000699
21,PDMS,1,2.00066,0.00065946,0.00069898
22,PDMS,1,2.10066,0.00065952,0.00069904
23,PDMS,1,2.2007,0.0006595,0.00069902
24,PDMS,1,2.30067,0.00065954,0.00069896
25,PDMS,1,2.4007,0.00065952,0.00069902
26,PDMS,1,2.50066,0.00065938,0.000699
27,PDMS,1,2.6007,0.00065908,0.00069842
28,PDMS,1,2.7007,0.00065848,0.00069888
29,PDMS,1,2.80066,0.00065808,0.000699
30,PDMS,1,2.9007,0.0006577,0.000699
31,PDMS,1,3.0007,0.00065742,0.00069898
32,PDMS,1,3.1007,0.00065716,0.00069888
33,PDMS,1,3.2007,0.00065696,0.00069894
34,PDMS,1,3.3007,0.00065684,0.00069898
35,PDMS,1,3.4007,0.00065672,0.00069898
36,PDMS,1,3.5007,0.00065662,0.00069898
37,PDMS,1,3.60067,0.00065654,0.00069894
38,PDMS,1,3.70067,0.00065646,0.00069892
39,PDMS,1,3.80071,0.0006564,0.00069888
40,PDMS,1,3.9007,0.00065628,0.00069886
41,PDMS,1,4.00067,0.00065626,0.00069884
42,PDMS,1,4.1007,0.00065616,0.0006988
43,PDMS,1,4.2007,0.0006561,0.00069874
44,PDMS,1,4.30066,0.00065604,0.0006987
45,PDMS,1,4.40071,0.000656,0.00069864
46,PDMS,1,4.50066,0.00065596,0.0006986
47,PDMS,1,4.6007,0.00065586,0.00069856
48,PDMS,1,4.7007,0.00065584,0.0006985
49,PDMS,1,4.80067,0.00065582,0.00069842
50,PDMS,1,4.9007,0.00065576,0.00069838
51,PDMS,1,5.0007,0.00065576,0.00069834
52,PDMS,1,5.1007,0.0006557,0.00069828
53,PDMS,1,5.2007,0.00065568,0.00069824
54,PDMS,1,5.30066,0.00065564,0.00069818
55,PDMS,1,5.4007,0.00065558,0.00069814
56,PDMS,1,5.50066,0.00065554,0.00069806
57,PDMS,1,5.60066,0.00065552,0.00069802
58,PDMS,1,5.70066,0.0006555,0.00069796
59,PDMS,1,5.8007,0.00065546,0.00069788
60,PDMS,1,5.9007,0.00065544,0.00069786
61,PDMS,1,6.0007,0.00065542,0.00069782
62,PDMS,1,6.10067,0.00065538,0.00069774
63,PDMS,1,6.20067,0.00065534,0.0006977
64,PDMS,1,6.30066,0.00065532,0.00069764
65,PDMS,1,6.40066,0.00065532,0.00069758
66,PDMS,1,6.50066,0.00065526,0.00069752
67,PDMS,1,6.60066,0.00065524,0.00069746
68,PDMS,1,6.70066,0.0006552,0.00069742
69,PDMS,1,6.80066,0.00065522,0.0006974
70,PDMS,1,6.9007,0.00065518,0.00069734
71,PDMS,1,7.0007,0.00065514,0.00069728
72,PDMS,1,7.10066,0.00065512,0.00069722
73,PDMS,1,7.2007,0.00065512,0.0006972
74,PDMS,1,7.3007,0.00065508,0.00069714
75,PDMS,1,7.40066,0.00065506,0.00069706
76,PDMS,1,7.5007,0.00065504,0.00069706
77,PDMS,1,7.60066,0.00065502,0.00069702
78,PDMS,1,7.7007,0.00065502,0.00069698
79,PDMS,1,7.8007,0.00065498,0.0006969
80,PDMS,1,7.9007,0.00065496,0.00069686
81,PDMS,1,8.0007,0.00065494,0.00069684
82,PDMS,1,8.10066,0.00065492,0.00069678
83,PDMS,1,8.2007,0.00065488,0.00069672
84,PDMS,1,8.3007,0.0006549,0.00069668
85,PDMS,1,8.40066,0.00065484,0.00069668
86,PDMS,1,8.5007,0.00065484,0.0006966
87,PDMS,1,8.60067,0.0006548,0.00069658
88,PDMS,1,8.7007,0.00065478,0.00069654
89,PDMS,1,8.8007,0.00065476,0.0006965
90,PDMS,1,8.9007,0.00065476,0.00069646
91,PDMS,1,9.00066,0.00065472,0.00069642
92,PDMS,1,9.10066,0.00065472,0.00069636
93,PDMS,1,9.20066,0.0006547,0.00069636
94,PDMS,1,9.30066,0.00065468,0.00069628
95,PDMS,1,9.4007,0.00065466,0.00069626
96,PDMS,1,9.5007,0.00065462,0.0006962
97,PDMS,1,9.6007,0.00065462,0.0006962
98,PDMS,1,9.70066,0.0006546,0.00069614
99,PDMS,1,9.8007,0.00065456,0.00069612
100,PDMS,1,9.90066,0.00065456,0.00069608
101,PDMS,1,10.00066,0.00065456,0.00069606
102,PDMS,1,10.10066,0.00065454,0.000696
103,PDMS,1,10.2007,0.00065452,0.00069598
104,PDMS,1,10.30066,0.00065448,0.00069594
105,PDMS,1,10.40066,0.00065448,0.0006959
106,PDMS,1,10.50067,0.00065446,0.0006959
107,PDMS,1,10.60066,0.00065446,0.00069582
108,PDMS,1,10.7007,0.0006544,0.0006958
109,PDMS,1,10.8007,0.00065442,0.00069578
110,PDMS,1,10.9007,0.0006544,0.00069576
111,PDMS,1,11.0007,0.0006544,0.00069574
112,PDMS,1,11.1007,0.00065438,0.0006957
113,PDMS,1,11.20066,0.00065434,0.00069564
114,PDMS,1,11.30066,0.00065436,0.00069562
115,PDMS,1,11.4007,0.00065432,0.00069558
116,PDMS,1,11.50066,0.00065434,0.00069556
117,PDMS,1,11.6007,0.00065432,0.00069554
118,PDMS,1,11.7007,0.00065428,0.0006955
119,PDMS,1,11.80066,0.00065426,0.00069546
120,PDMS,1,11.9007,0.00065426,0.00069546
121,PDMS,1,12.0007,0.00065422,0.00069542
122,PDMS,1,12.1007,0.00065424,0.0006954
123,PDMS,1,12.20071,0.00065422,0.00069536
124,PDMS,1,12.3007,0.0006542,0.00069534
125,PDMS,1,12.40067,0.00065418,0.00069532
126,PDMS,1,12.5007,0.00065418,0.00069528
127,PDMS,1,12.60067,0.00065416,0.00069528
128,PDMS,1,12.70066,0.00065412,0.00069522
129,PDMS,1,12.80066,0.00065416,0.0006952
130,PDMS,1,12.90066,0.00065412,0.00069516
131,PDMS,1,13.00067,0.00065412,0.00069514
132,PDMS,1,13.1007,0.00065412,0.00069512
133,PDMS,1,13.20067,0.00065408,0.0006951
134,PDMS,1,13.3007,0.00065408,0.00069506
135,PDMS,1,13.40066,0.00065408,0.00069506
136,PDMS,1,13.50066,0.00065408,0.00069506
137,PDMS,1,13.6007,0.00065404,0.00069498
138,PDMS,1,13.7007,0.00065402,0.00069498
139,PDMS,1,13.80066,0.000654,0.00069496
140,PDMS,1,13.9007,0.00065402,0.00069492
141,PDMS,1,14.0007,0.000654,0.00069492
142,PDMS,1,14.10066,0.00065398,0.00069488
143,PDMS,1,14.20066,0.00065398,0.00069486
144,PDMS,1,14.30066,0.00065394,0.00069482
145,PDMS,1,14.40066,0.00065394,0.00069482
146,PDMS,1,14.50066,0.0006539,0.00069484
147,PDMS,1,14.60066,0.00065392,0.00069476
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
