index,Sample,Trial,Time,Primary,Secondary
1,steel,3,0.00929,0.00065794,0.0006973
2,steel,3,0.10067,0.00065804,0.00069734
3,steel,3,0.20066,0.000658,0.00069732
4,steel,3,0.3007,0.00065802,0.00069736
5,steel,3,0.40066,0.00065802,0.00069736
6,steel,3,0.50066,0.00065798,0.0006973
7,steel,3,0.60066,0.00065792,0.00069732
8,steel,3,0.70066,0.0006579,0.00069738
9,steel,3,0.80066,0.00065784,0.00069738
10,steel,3,0.9007,0.0006578,0.00069734
11,steel,3,1.0007,0.0006578,0.00069736
12,steel,3,1.1007,0.00065778,0.00069736
13,steel,3,1.2007,0.00065776,0.00069736
14,steel,3,1.30066,0.00065772,0.00069738
15,steel,3,1.4007,0.00065768,0.00069712
16,steel,3,1.5007,0.00065572,0.00069694
17,steel,3,1.6007,0.00065448,0.00069698
18,steel,3,1.7007,0.00065346,0.00069702
19,steel,3,1.80066,0.00065272,0.00069698
20,steel,3,1.9007,0.00065222,0.00069698
21,steel,3,2.00066,0.0006518,0.00069698
22,steel,3,2.1007,0.0006515,0.00069696
23,steel,3,2.2007,0.00065122,0.00069694
24,steel,3,2.30066,0.00065102,0.0006969
25,steel,3,2.40066,0.00065084,0.00069686
26,steel,3,2.50066,0.0006507,0.0006968
27,steel,3,2.6007,0.00065052,0.00069676
28,steel,3,2.7007,0.00065044,0.0006967
29,steel,3,2.80066,0.00065032,0.0006966
30,steel,3,2.90066,0.00065018,0.00069648
31,steel,3,3.0007,0.00065014,0.00069642
32,steel,3,3.10066,0.00065006,0.0006963
33,steel,3,3.20066,0.00064998,0.0006962
34,steel,3,3.30066,0.00064992,0.0006961
35,steel,3,3.40066,0.00064984,0.000696
36,steel,3,3.50066,0.00064978,0.00069584
37,steel,3,3.6007,0.00064974,0.00069576
38,steel,3,3.7007,0.0006497,0.00069562
39,steel,3,3.8007,0.00064964,0.0006955
40,steel,3,3.90066,0.00064962,0.00069536
41,steel,3,4.00066,0.00064958,0.00069526
42,steel,3,4.10066,0.0006495,0.00069512
43,steel,3,4.2007,0.0006495,0.000695
44,steel,3,4.3007,0.00064946,0.00069486
45,steel,3,4.4007,0.00064944,0.00069476
46,steel,3,4.5007,0.00064942,0.00069466
47,steel,3,4.6007,0.00064936,0.00069452
48,steel,3,4.7007,0.00064934,0.0006944
49,steel,3,4.80066,0.0006493,0.00069428
50,steel,3,4.90066,0.0006493,0.0006942
51,steel,3,5.0007,0.00064924,0.00069408
52,steel,3,5.10066,0.00064922,0.00069396
53,steel,3,5.20066,0.0006492,0.00069384
54,steel,3,5.3007,0.00064918,0.00069374
55,steel,3,5.4007,0.00064916,0.0006936
56,steel,3,5.5007,0.00064914,0.00069354
57,steel,3,5.60066,0.00064912,0.00069342
58,steel,3,5.70066,0.00064908,0.00069334
59,steel,3,5.80066,0.00064908,0.0006932
60,steel,3,5.9007,0.00064906,0.00069314
61,steel,3,6.0007,0.00064904,0.00069302
62,steel,3,6.1007,0.00064902,0.00069294
63,steel,3,6.2007,0.000649,0.00069286
64,steel,3,6.30066,0.00064894,0.00069274
65,steel,3,6.4007,0.00064894,0.00069266
66,steel,3,6.5007,0.00064892,0.00069258
67,steel,3,6.6007,0.00064892,0.0006925
68,steel,3,6.70066,0.00064892,0.00069238
69,steel,3,6.80066,0.0006489,0.00069232
70,steel,3,6.90066,0.00064886,0.00069224
71,steel,3,7.00067,0.00064886,0.00069212
72,steel,3,7.1007,0.00064884,0.00069206
73,steel,3,7.20066,0.00064882,0.000692
74,steel,3,7.30066,0.0006488,0.0006919
75,steel,3,7.40066,0.0006488,0.00069182
76,steel,3,7.5007,0.0006488,0.00069176
77,steel,3,7.60066,0.00064876,0.0006917
78,steel,3,7.7007,0.00064876,0.00069162
79,steel,3,7.8007,0.00064872,0.00069154
80,steel,3,7.90066,0.00064872,0.00069148
81,steel,3,8.0007,0.0006487,0.00069144
82,steel,3,8.10066,0.00064872,0.00069136
83,steel,3,8.20066,0.0006487,0.00069128
84,steel,3,8.30066,0.00064868,0.0006912
85,steel,3,8.4007,0.00064864,0.00069118
86,steel,3,8.5007,0.00064864,0.0006911
87,steel,3,8.60066,0.00064862,0.00069104
88,steel,3,8.70066,0.00064862,0.00069098
89,steel,3,8.8007,0.0006486,0.00069092
90,steel,3,8.9007,0.00064858,0.00069086
91,steel,3,9.0007,0.00064856,0.0006908
92,steel,3,9.1007,0.0006485,0.00069072
93,steel,3,9.2007,0.00064854,0.00069068
94,steel,3,9.30066,0.00064856,0.00069066
95,steel,3,9.40066,0.00064854,0.0006906
96,steel,3,9.5007,0.00064854,0.00069054
97,steel,3,9.6007,0.00064852,0.0006905
