index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary,Label,eff,Elbow time,Elbow value,Elbow index,Time from elbow,Primary aligned,Secondary aligned,diff,id
86,aluminum,1,215.0,1.0,1.0,2700.0,897.0,8.600660000000001,0.8906626172789907,-0.10808113401118905,metal,22819,8.600660000000001,0.00065908,86.0,0.0,0.0,3.830000000000001e-05,-1.2896894587048453,aluminum_trial_1
87,aluminum,1,215.0,1.0,1.0,2700.0,897.0,8.700660000000001,0.8854754672522233,-0.09675017438405147,metal,22819,8.600660000000001,0.00065908,86.0,0.09999999999999964,-1.9999999999989644e-08,3.832e-05,-1.2754579433553106,aluminum_trial_1
88,aluminum,1,215.0,1.0,1.0,2700.0,897.0,8.80066,0.8802883172254278,-0.09675017438405147,metal,22819,8.600660000000001,0.00065908,86.0,0.1999999999999993,-4.000000000008771e-08,3.832e-05,-1.2683421856805046,aluminum_trial_1
89,aluminum,1,215.0,1.0,1.0,2700.0,897.0,8.90066,0.6364922659672473,-0.19872881102835105,metal,22819,8.600660000000001,0.00065908,86.0,0.29999999999999893,-9.800000000000347e-07,3.8139999999999984e-05,-0.9979433940392267,aluminum_trial_1
90,aluminum,1,215.0,1.0,1.0,2700.0,897.0,9.0007,0.1748359135846953,-0.18739785140121348,metal,22819,8.600660000000001,0.00065908,86.0,0.40003999999999884,-2.7600000000000888e-06,3.8159999999999973e-05,-0.35752520330981136,aluminum_trial_1
91,aluminum,1,215.0,1.0,1.0,2700.0,897.0,9.10066,-0.11564448791441992,-0.18739785140121348,metal,22819,8.600660000000001,0.00065908,86.0,0.4999999999999982,-3.880000000000051e-06,3.8159999999999973e-05,0.04095722647735723,aluminum_trial_1
92,aluminum,1,215.0,1.0,1.0,2700.0,897.0,9.20066,-0.30756903890489823,-0.18739785140121348,metal,22819,8.600660000000001,0.00065908,86.0,0.5999999999999979,-4.619999999999993e-06,3.8159999999999973e-05,0.30424026044386765,aluminum_trial_1
93,aluminum,1,215.0,1.0,1.0,2700.0,897.0,9.3007,-0.4424349396009351,-0.19872881102835105,metal,22819,8.600660000000001,0.00065908,86.0,0.7000399999999996,-5.140000000000049e-06,3.8139999999999984e-05,0.48213420231316895,aluminum_trial_1
94,aluminum,1,215.0,1.0,1.0,2700.0,897.0,9.4007,-0.5513650901631068,-0.19872881102835105,metal,22819,8.600660000000001,0.00065908,86.0,0.8000399999999992,-5.560000000000048e-06,3.8139999999999984e-05,0.631565113483362,aluminum_trial_1
95,aluminum,1,215.0,1.0,1.0,2700.0,897.0,9.50066,-0.6395466406182089,-0.19872881102835105,metal,22819,8.600660000000001,0.00065908,86.0,0.8999999999999986,-5.900000000000089e-06,3.8139999999999984e-05,0.7525329939544854,aluminum_trial_1
