window_end_s,fold,held_out_material,rmse,nrmse_training_range,bias
1.0,1,aluminum,13157.986380863858,0.3541081109315275,-12324.12768549742
1.0,2,bismuth,10793.262230322212,0.29046858603885256,8731.245901086832
1.0,3,cement,3319.1936535872373,0.08932623582868661,1690.4307876475978
1.0,4,copper,25252.889260702937,1.0555640065426757,-24734.64842712665
1.0,5,cork,84.44264236441278,0.0022725228393013163,18.65368485415372
1.0,6,graphite,7510.440840993028,0.2021212016403098,2206.867881466998
1.0,7,gypsum,5074.878503845698,0.1365752774161053,2427.3627717128415
1.0,8,iron,6025.187950568086,0.162150032795747,-1369.363181076762
1.0,9,nickel,8236.938428164865,0.22167272576742644,-6857.571860771796
1.0,10,pdms,274.1719703271225,0.007378524013682568,-180.9915145809457
1.0,11,ps_foam,432.941551221965,0.01165384482025442,248.33389287432547
1.0,12,pu_foam,219.8172735129996,0.005915728837279495,165.82801070573865
1.0,13,titanium,7614.067823464392,0.20491001399672296,5000.88490025952
1.0,14,wood,676.547196027318,0.01820725775257467,43.33524688056654
1.5,1,aluminum,12861.151141794015,0.3461196723724332,-12220.149373322942
1.5,2,bismuth,9550.520890056296,0.25702389506257367,7944.899677891437
1.5,3,cement,2176.9836618108716,0.058587047417359935,1024.354306146336
1.5,4,copper,24925.79421689112,1.0418915213311106,-24420.246332603536
1.5,5,cork,95.30709635210636,0.0025649073399783943,30.969907497526023
1.5,6,graphite,5852.181550208488,0.15749407953381797,2267.3081077039774
1.5,7,gypsum,3895.2205869531467,0.10482828935843737,1941.038115862113
1.5,8,iron,6366.121801144308,0.17132525446611868,-2627.856650315043
1.5,9,nickel,8863.494287315181,0.23853461521271954,-5867.179892998359
1.5,10,pdms,266.30053666963573,0.007166687762899605,-178.1881436283395
1.5,11,ps_foam,446.61925448603176,0.012022018840250942,245.66986565416448
1.5,12,pu_foam,230.97715082310367,0.0062160637789736,153.92999425294934
1.5,13,titanium,6770.587749234626,0.18221025378658376,4626.103680777097
1.5,14,wood,277.8462280567716,0.007477405744219532,-106.00259004510212
2.0,1,aluminum,11951.220288222936,0.321631586862254,-10994.366109162786
2.0,2,bismuth,8819.16314145767,0.2373415741302433,7679.399610498452
2.0,3,cement,2636.289375172029,0.07094789609059736,1363.1705197541241
2.0,4,copper,25505.565133563876,1.0661257903433439,-25063.77672811135
2.0,5,cork,100.53330240918415,0.002705555148894064,33.58032409314705
2.0,6,graphite,5789.838548509684,0.15581630286477757,1305.2736024956437
2.0,7,gypsum,4402.320768886205,0.11847538415544231,1910.7245375743526
2.0,8,iron,4515.686547747075,0.12152628728261734,-92.75211743743905
2.0,9,nickel,7848.847962505182,0.21122842390485946,-5011.350404879869
2.0,10,pdms,366.27062995285695,0.009857085811468335,-153.37699911743456
2.0,11,ps_foam,243.69950005693036,0.006559860444027905,169.3372684045684
2.0,12,pu_foam,139.91588352127525,0.0037654203134827708,110.43097192806938
2.0,13,titanium,5659.209712867538,0.15230081585304922,3403.348177440508
2.0,14,wood,1220.1533459498748,0.03283680221842017,325.61999445680016
2.5,1,aluminum,12550.814965164787,0.3377678961903489,-11572.858479768254
2.5,2,bismuth,9370.829974198312,0.2521880479257681,8215.305667220457
2.5,3,cement,3556.558178639727,0.09571419680809128,1815.6813445933985
2.5,4,copper,24342.463001473923,1.0175084327850656,-23821.164769289735
2.5,5,cork,106.50103429969447,0.0028661589225358864,32.822085300727615
2.5,6,graphite,5446.969318706148,0.14658899621253382,937.9646832248104
2.5,7,gypsum,3662.4993432562273,0.09856528850148243,1645.1917378535884
2.5,8,iron,6267.369231710307,0.16866762245467615,-119.55123039316823
2.5,9,nickel,9141.410482070161,0.2460139039027496,-5962.73781536164
2.5,10,pdms,378.2595222626928,0.010179731228868349,-147.3372734958932
2.5,11,ps_foam,257.86181955033544,0.0069410792787763164,182.6328243079324
2.5,12,pu_foam,200.07967537580953,0.005384550024018925,139.17322777472876
2.5,13,titanium,6804.923881764222,0.1831343087806239,4193.253043976968
2.5,14,wood,1235.1314533036004,0.03323989347773862,387.83175450089806
3.0,1,aluminum,11755.536531777992,0.3163653399359402,-10324.292073518254
3.0,2,bismuth,8949.121529687247,0.24083901804176833,7773.858605045978
3.0,3,cement,3479.4476606712865,0.09363899631309247,1697.665333037409
3.0,4,copper,24809.882027716983,1.03704642287332,-24344.7523343939
3.0,5,cork,123.93321502309638,0.003335294275522593,27.21454262698087
3.0,6,graphite,4469.942415596122,0.12029521987204958,-699.8834206163356
3.0,7,gypsum,3987.5653568975163,0.10731347448425298,1800.7393010885535
3.0,8,iron,6071.917366512596,0.16340761619233032,3.8727808373005246
3.0,9,nickel,7579.06509513004,0.2039680195570606,-4907.221742770494
3.0,10,pdms,317.76374545633155,0.00855166712968439,-71.75993607193287
3.0,11,ps_foam,221.92648337705344,0.005973778195881649,158.3236089273345
3.0,12,pu_foam,150.6540698202711,0.004054406694461119,119.9603032942905
3.0,13,titanium,5968.748460282809,0.1606311315970101,3793.6660790518363
3.0,14,wood,974.7506192716613,0.026232516923836748,307.87691002610563
3.5,1,aluminum,11004.404847384354,0.2961508622702485,-10100.403238882836
3.5,2,bismuth,8518.354069123992,0.22924619165515137,7282.638781844481
3.5,3,cement,3735.83507405797,0.10053890181482006,1891.625434482925
3.5,4,copper,25396.776183569244,1.0615784413751368,-24964.690638023458
3.5,5,cork,127.3974521489626,0.0034285239254820583,36.45640463046933
3.5,6,graphite,5419.117485464182,0.14583944686890202,797.2872285942766
3.5,7,gypsum,3496.5175900010317,0.09409838274607144,1634.1018775732337
3.5,8,iron,6097.335372094226,0.16409166629541053,387.6602971133422
3.5,9,nickel,7365.644808687052,0.19822444662125777,-4691.215740980129
