window_end_s,fold,held_out_material,rmse,nrmse_training_range,bias
1.0,1,aluminum,12264.611329103946,0.3300655756396428,-10359.852828930038
1.0,2,bismuth,10449.012704305474,0.28120413281490436,8190.965490320229
1.0,3,cement,1896.0900438523431,0.05102763022776056,783.3356901057883
1.0,4,copper,26156.98652625684,1.0933550300600294,-25987.48652628843
1.0,5,cork,130.9429409784218,0.003523940223644103,58.517565940976944
1.0,6,graphite,6346.688417062835,0.1708022626703447,2508.778281857623
1.0,7,gypsum,5429.619505029511,0.14612207752389744,3340.25783511311
1.0,8,iron,7990.828578147819,0.21504941034904887,-6187.2544978085325
1.0,9,nickel,10000.770937354007,0.26914103738818806,-8690.503119927069
1.0,10,pdms,214.7143781385819,0.005778399569030348,-118.93297614405606
1.0,11,ps_foam,243.91547852015256,0.0065656741144594095,153.6615404013844
1.0,12,pu_foam,179.824510033493,0.00483944242712973,149.34216672939996
1.0,13,titanium,8807.81402578878,0.23703614640035156,4036.6426059479963
1.0,14,wood,5883.944583864618,0.15834888721638132,2549.9251277995427
1.5,1,aluminum,10693.310450424797,0.28777868084065356,-8448.906402538436
1.5,2,bismuth,9931.243713539918,0.2672699187253107,8605.829524337156
1.5,3,cement,1750.9490411615,0.04712159135571029,1001.104244475397
1.5,4,copper,26094.024417263234,1.0907232307699146,-25763.46376017515
1.5,5,cork,282.60299329563236,0.007605419948226265,133.4436279134392
1.5,6,graphite,7040.7751287741075,0.18948154437747614,2439.288200070513
1.5,7,gypsum,2872.3396124138762,0.07730048691834084,1736.5264227023738
1.5,8,iron,7813.181804818697,0.2102685752352397,-5633.16594596934
1.5,9,nickel,9742.771453927544,0.26219774781081606,-7687.214548251451
1.5,10,pdms,841.8689433947554,0.02265640141040076,34.32600953429883
1.5,11,ps_foam,312.58076660795194,0.008413994308385577,177.1143622918975
1.5,12,pu_foam,188.478392732761,0.005072335969208289,141.3878730015252
1.5,13,titanium,6637.504346498231,0.17862870939405712,3073.4181491608865
1.5,14,wood,8025.109054772504,0.2159719675297626,3559.7881059400556
2.0,1,aluminum,12232.503338286213,0.329201484459946,-10436.462626089868
2.0,2,bismuth,9364.738691018107,0.2520241191362363,7997.855896610919
