condition,Sample,y_true,y_pred,prediction_sd,n
baseline_centered,aluminum,23958.094665477885,15732.518473307291,4472.342429599477,24
baseline_centered,bismuth,3209.1026783199068,11536.717748006186,2697.3913150291983,24
baseline_centered,cement,559.6427431853289,1528.5002153184678,1604.4684014548172,24
baseline_centered,copper,37192.601414797544,12841.881218804252,3089.2134793583978,24
baseline_centered,cork,136.29380029920657,211.22522703806558,136.16663468378331,24
baseline_centered,graphite,11367.497525840945,12581.835340711805,4580.015015032933,24
baseline_centered,gypsum,385.01948002666046,1467.4970673455134,1593.0359995249903,24
baseline_centered,iron,16859.663413010356,16428.981167263453,5438.009518280843,24
baseline_centered,nickel,19320.68449098013,14367.6198832194,4643.56737222565,24
baseline_centered,pdms,460.90129095067635,258.2424861590068,125.23770378035303,24
baseline_centered,ps_foam,34.496376621320685,131.78784060886719,114.15408653632176,24
baseline_centered,pu_foam,42.49705872175155,216.25702640745376,513.8652678469156,24
baseline_centered,titanium,7184.035926970299,10826.100041707357,4342.106643895973,24
baseline_centered,wood,422.49260348555214,694.6913455327352,1177.759919276471,24
not_baseline_centered,aluminum,23958.094665477885,16520.00044080946,3746.2786652645473,24
not_baseline_centered,bismuth,3209.1026783199068,10446.387681749131,2885.0109997785617,24
not_baseline_centered,cement,559.6427431853289,1536.6117040846084,1551.6007672404753,24
not_baseline_centered,copper,37192.601414797544,12923.346466064453,5104.743102269157,24
not_baseline_centered,cork,136.29380029920657,223.91264486312866,150.64453045056683,24
not_baseline_centered,graphite,11367.497525840945,11799.19945610894,4423.244626785726,24
not_baseline_centered,gypsum,385.01948002666046,1550.1948261260986,1733.957792563915,24
not_baseline_centered,iron,16859.663413010356,20495.735134548613,4506.989042444147,24
not_baseline_centered,nickel,19320.68449098013,15291.690633138021,4564.679712726944,24
not_baseline_centered,pdms,460.90129095067635,279.4491099251641,122.88794183641224,24
not_baseline_centered,ps_foam,34.496376621320685,209.0338155673222,154.37444267388895,24
not_baseline_centered,pu_foam,42.49705872175155,246.94137271245322,512.0975005083116,24
not_baseline_centered,titanium,7184.035926970299,9858.639741685654,3731.6356822192834,24
not_baseline_centered,wood,422.49260348555214,405.6665880415175,442.77919705218,24
